"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-03-12",16067,"2021-03-31",136,136,15992,16072,19,"0.%"
"2021-03-13",16073,"2021-04-01",136,136,15994,16078,19,"0.%"
"2021-03-14",16078,"2021-04-01",136,136,15996,16078,18,"0.%"
"2021-03-15",16081,"2021-04-02",136,136,15997,16082,18,"0.%"
"2021-03-16",16083,"2021-04-03",136,136,16000,16090,18,"0.%"
"2021-03-17",16089,"2021-04-03",136,136,16001,16090,17,"0.%"
"2021-03-18",16095,"2021-04-04",136,136,16003,16108,17,"0.%"
"2021-03-19",16100,"2021-04-04",136,136,16006,16108,16,"0.%"
"2021-03-20",16112,"2021-04-05",136,136,16007,16120,16,"0.%"
"2021-03-21",16118,"2021-04-05",136,136,16011,16120,15,"0.%"
"2021-03-22",16129,"2021-04-06",136,136,16016,16135,15,"0.%"
"2021-03-23",16135,"2021-04-06",136,136,16020,16135,14,"0.%"
"2021-03-24",16147,"2021-04-07",136,136,16022,16149,14,"0.%"
"2021-03-25",16159,"2021-04-08",136,136,16025,16165,14,"0.%"
"2021-03-26",16177,"2021-04-10",136,137,16038,16190,15,".66%"
"2021-03-27",16185,"2021-04-10",136,137,16047,16190,14,".7%"
"2021-03-28",16199,"2021-04-11",136,137,16054,16201,14,".68%"
"2021-03-29",16216,"2021-04-12",136,137,16059,16219,14,".62%"
"2021-03-30",16224,"2021-04-13",136,137,16066,16239,14,".58%"
"2021-03-31",16240,"2021-04-14",136,137,16072,16259,14,".53%"
"2021-04-01",16257,"2021-04-14",136,137,16078,16259,13,".55%"
"2021-04-02",16278,"2021-04-16",136,137,16082,16292,14,".48%"
"2021-04-03",16300,"2021-04-17",136,137,16090,16324,14,".43%"
"2021-04-04",16314,"2021-04-17",136,137,16108,16324,13,".46%"
"2021-04-05",16348,"2021-04-18",136,138,16120,16415,13,".68%"
"2021-04-06",16364,"2021-04-18",136,138,16135,16415,12,".71%"
"2021-04-07",16407,"2021-04-18",136,138,16149,16415,11,".75%"
"2021-04-08",16454,"2021-04-19",136,138,16165,16495,11,".61%"
"2021-04-09",16533,"2021-04-20",137,138,16176,16612,11,".23%"
"2021-04-10",16635,"2021-04-21",137,138,16190,16809,11,".16%"
"2021-04-11",16785,"2021-04-21",137,138,16201,16809,10,".16%"
"2021-04-12",16924,"2021-04-22",137,139,16219,17008,10,".25%"
"2021-04-13",17012,"2021-04-23",137,139,16239,17197,10,".21%"
"2021-04-14",17256,"2021-04-24",137,140,16259,17436,10,".25%"
"2021-04-15",17425,"2021-04-24",137,140,16271,17436,9,".26%"
"2021-04-16",17707,"2021-04-26",137,144,16292,18103,10,".39%"
"2021-04-17",17968,"2021-04-26",137,144,16324,18103,9,".39%"
"2021-04-18",18206,"2021-04-27",138,144,16415,18464,9,".29%"
"2021-04-19",18509,"2021-04-28",138,145,16495,18774,9,".31%"
"2021-04-20",18680,"2021-04-28",138,145,16612,18774,8,".32%"
"2021-04-21",18960,"2021-04-29",138,146,16809,19142,8,".34%"
"2021-04-22",19319,"2021-04-30",139,146,17008,19484,8,".28%"
"2021-04-23",19722,"2021-05-01",139,148,17197,19870,8,".34%"
"2021-04-24",20130,"2021-05-02",140,149,17436,20326,8,".31%"
"2021-04-25",20565,"2021-05-03",142,150,17692,21049,8,".24%"
"2021-04-26",21076,"2021-05-04",144,152,18103,21432,8,".24%"
"2021-04-27",21315,"2021-05-04",144,152,18464,21432,7,".27%"
"2021-04-28",21914,"2021-05-06",145,154,18774,22577,8,".24%"
"2021-04-29",22491,"2021-05-06",146,154,19142,22577,7,".23%"
"2021-04-30",23092,"2021-05-07",146,154,19484,23437,7,".2%"
"2021-05-01",23731,"2021-05-08",148,159,19870,24329,7,".25%"
"2021-05-02",24414,"2021-05-09",149,160,20326,25221,7,".22%"
"2021-05-03",25123,"2021-05-09",150,160,21049,25221,6,".24%"
"2021-05-04",25482,"2021-05-11",152,164,21432,26095,7,".26%"
"2021-05-05",26230,"2021-05-12",154,166,21878,26814,7,".24%"
"2021-05-06",27031,"2021-05-13",154,172,22577,27465,7,".37%"
"2021-05-07",27886,"2021-05-14",154,176,23437,28074,7,".47%"
"2021-05-08",28744,"2021-05-16",159,182,24329,29576,8,".44%"
"2021-05-09",29635,"2021-05-17",160,187,25221,30522,8,".51%"
"2021-05-10",30428,"2021-05-17",161,187,25459,30522,7,".51%"
"2021-05-11",31062,"2021-05-19",164,193,26095,31798,8,".51%"
"2021-05-12",31826,"2021-05-20",166,197,26814,32243,8,".57%"
"2021-05-13",32318,"2021-05-21",172,203,27465,33163,8,".54%"
"2021-05-14",33209,"2021-05-22",176,214,28074,33993,8,".64%"
"2021-05-15",34106,"2021-05-23",178,220,28726,34650,8,".71%"
"2021-05-16",35021,"2021-05-25",182,235,29576,35503,9,".89%"
"2021-05-17",36051,"2021-05-26",187,243,30522,36110,9,"1.%"
"2021-05-18",37412,"2021-05-28",192,253,31033,37575,10,".93%"
"2021-05-19",38342,"2021-05-30",193,267,31798,38818,11,"1.05%"
"2021-05-20",39344,"2021-06-01",197,277,32243,39910,12,"1.04%"
"2021-05-21",40235,"2021-06-02",203,279,33163,40581,12,"1.02%"
"2021-05-22",41131,"2021-06-03",214,282,33993,41248,12,".94%"
"2021-05-23",41978,"2021-06-05",220,291,34650,42718,13,".88%"
"2021-05-24",42840,"2021-06-06",227,298,34977,43577,13,".83%"
"2021-05-25",43530,"2021-06-06",235,298,35503,43577,12,".78%"
"2021-05-26",44043,"2021-06-07",243,304,36110,44158,12,".76%"
"2021-05-27",44721,"2021-06-08",246,313,36822,44846,12,".83%"
"2021-05-28",45475,"2021-06-09",253,317,37575,45612,12,".8%"
"2021-05-29",46172,"2021-06-10",260,322,38286,46270,12,".78%"
"2021-05-30",46848,"2021-06-12",267,336,38818,47343,13,".81%"
"2021-05-31",47447,"2021-06-13",274,341,39286,48371,13,".74%"
"2021-06-01",48031,"2021-06-13",277,341,39910,48371,12,".76%"
"2021-06-02",48446,"2021-06-14",279,343,40581,49314,12,".73%"
"2021-06-03",48791,"2021-06-14",282,343,41248,49314,11,".76%"
"2021-06-04",49156,"2021-06-14",286,343,41933,49314,10,".77%"
"2021-06-05",49514,"2021-06-15",291,347,42718,49844,10,".79%"
"2021-06-06",49862,"2021-06-16",298,351,43577,50206,10,".8%"
"2021-06-07",50188,"2021-06-16",304,351,44158,50206,9,".78%"
"2021-06-08",50469,"2021-06-17",313,356,44846,50524,9,".76%"
"2021-06-09",50769,"2021-06-18",317,356,45612,50844,9,".75%"
"2021-06-10",51114,"2021-06-19",322,358,46270,51155,9,".74%"
"2021-06-11",51453,"2021-06-20",330,359,46840,51498,9,".62%"
"2021-06-12",51757,"2021-06-21",336,360,47343,51940,9,".52%"
"2021-06-13",52051,"2021-06-22",341,361,48371,52230,9,".52%"
"2021-06-14",52303,"2021-06-23",343,361,49314,52497,9,".57%"
"2021-06-15",52532,"2021-06-24",347,364,49844,52784,9,".58%"
"2021-06-16",52701,"2021-06-24",351,364,50206,52784,8,".5%"
"2021-06-17",52851,"2021-06-25",356,366,50524,53035,8,".4%"
"2021-06-18",52990,"2021-06-25",356,366,50844,53035,7,".46%"
"2021-06-19",53122,"2021-06-26",358,367,51155,53244,7,".43%"
"2021-06-20",53250,"2021-06-27",359,367,51498,53439,7,".41%"
"2021-06-21",53349,"2021-06-27",360,367,51940,53439,6,".47%"
"2021-06-22",53444,"2021-06-28",361,368,52230,53702,6,".48%"
"2021-06-23",53533,"2021-06-28",361,368,52497,53702,5,".58%"
"2021-06-24",53609,"2021-06-28",364,368,52784,53702,4,".44%"
"2021-06-25",53685,"2021-06-28",366,368,53035,53702,3,".3%"
"2021-06-26",53744,"2021-06-29",367,370,53244,53757,3,".58%"
"2021-06-27",53817,"2021-07-01",367,371,53439,53819,4,"1.05%"
"2021-06-28",53953,"2021-07-10",368,375,53702,53964,12,"2.67%"
"2021-06-29",54015,"2021-07-12",370,375,53757,54029,13,"1.84%"
"2021-06-30",54090,"2021-07-14",371,377,53796,54136,14,"1.76%"
"2021-07-01",54160,"2021-07-15",371,377,53819,54198,14,"1.58%"
"2021-07-02",54216,"2021-07-16",371,377,53843,54254,14,"1.46%"
"2021-07-03",54227,"2021-07-16",372,377,53857,54254,13,"1.26%"
"2021-07-04",54273,"2021-07-17",372,377,53872,54290,13,"1.2%"
"2021-07-05",54281,"2021-07-17",372,377,53883,54290,12,"1.23%"
"2021-07-06",54292,"2021-07-18",373,378,53897,54324,12,"1.17%"
"2021-07-07",54274,"2021-07-17",373,377,53911,54290,10,"1.06%"
"2021-07-08",54285,"2021-07-17",373,377,53930,54290,9,"1.11%"
