"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-03-20",19162,"2021-03-31",280,280,19096,19164,11,"0.%"
"2021-03-21",19167,"2021-04-01",280,280,19099,19177,11,"0.%"
"2021-03-22",19172,"2021-04-01",280,280,19103,19177,10,"0.%"
"2021-03-23",19174,"2021-04-01",280,280,19105,19177,9,"0.%"
"2021-03-24",19182,"2021-04-02",280,281,19110,19193,9,"1.2%"
"2021-03-25",19196,"2021-04-03",280,281,19120,19205,9,"1.18%"
"2021-03-26",19210,"2021-04-04",280,281,19127,19215,9,"1.14%"
"2021-03-27",19221,"2021-04-05",280,281,19131,19227,9,"1.04%"
"2021-03-28",19232,"2021-04-06",280,282,19134,19245,9,"1.8%"
"2021-03-29",19246,"2021-04-07",280,283,19142,19255,9,"2.65%"
"2021-03-30",19259,"2021-04-08",280,283,19152,19268,9,"2.59%"
"2021-03-31",19277,"2021-04-09",280,283,19164,19281,9,"2.56%"
"2021-04-01",19291,"2021-04-10",280,283,19177,19302,9,"2.4%"
"2021-04-02",19311,"2021-04-11",281,283,19193,19323,9,"1.54%"
"2021-04-03",19348,"2021-04-12",281,283,19205,19350,9,"1.38%"
"2021-04-04",19386,"2021-04-14",281,283,19215,19415,10,"1.%"
"2021-04-05",19424,"2021-04-15",281,283,19227,19433,10,".97%"
"2021-04-06",19468,"2021-04-16",282,283,19245,19481,10,".42%"
"2021-04-07",19507,"2021-04-17",283,283,19255,19540,10,"0.%"
"2021-04-08",19557,"2021-04-18",283,283,19268,19589,10,"0.%"
"2021-04-09",19626,"2021-04-19",283,285,19281,19664,10,".52%"
"2021-04-10",19702,"2021-04-20",283,286,19302,19803,10,".6%"
"2021-04-11",19779,"2021-04-20",283,286,19323,19803,9,".62%"
"2021-04-12",19892,"2021-04-21",283,286,19350,19955,9,".5%"
"2021-04-13",19946,"2021-04-21",283,286,19378,19955,8,".52%"
"2021-04-14",20025,"2021-04-22",283,287,19415,20078,8,".6%"
"2021-04-15",20116,"2021-04-23",283,287,19433,20130,8,".57%"
"2021-04-16",20246,"2021-04-25",283,290,19481,20361,9,".8%"
"2021-04-17",20368,"2021-04-26",283,292,19540,20551,9,".89%"
"2021-04-18",20529,"2021-04-26",283,292,19589,20551,8,".94%"
"2021-04-19",20706,"2021-04-27",285,294,19664,20725,8,".85%"
"2021-04-20",20809,"2021-04-28",286,295,19803,20879,8,".84%"
"2021-04-21",20952,"2021-04-29",286,296,19955,21097,8,".88%"
"2021-04-22",21161,"2021-04-30",287,297,20078,21375,8,".77%"
"2021-04-23",21342,"2021-04-30",287,297,20130,21375,7,".8%"
"2021-04-24",21734,"2021-05-01",288,299,20225,21761,7,".72%"
"2021-04-25",22103,"2021-05-02",290,301,20361,22145,7,".62%"
"2021-04-26",22441,"2021-05-03",292,302,20551,22485,7,".52%"
"2021-04-27",22748,"2021-05-04",294,305,20725,22789,7,".53%"
"2021-04-28",22956,"2021-05-05",295,306,20879,23110,7,".49%"
"2021-04-29",23186,"2021-05-06",296,308,21097,23423,7,".52%"
"2021-04-30",23404,"2021-05-06",297,308,21375,23423,6,".54%"
"2021-05-01",23609,"2021-05-07",299,312,21761,23649,6,".69%"
"2021-05-02",23795,"2021-05-08",301,313,22145,23852,6,".7%"
"2021-05-03",24006,"2021-05-09",302,317,22485,24072,6,".95%"
"2021-05-04",24235,"2021-05-10",305,323,22789,24316,6,"1.18%"
"2021-05-05",24436,"2021-05-11",306,324,23110,24497,6,"1.3%"
"2021-05-06",24751,"2021-05-12",308,331,23423,24828,6,"1.64%"
"2021-05-07",25188,"2021-05-13",312,332,23649,25254,6,"1.25%"
"2021-05-08",25543,"2021-05-15",313,339,23852,25624,7,"1.47%"
"2021-05-09",26132,"2021-05-17",317,350,24072,26488,8,"1.37%"
"2021-05-10",26822,"2021-05-18",323,354,24316,26954,8,"1.18%"
"2021-05-11",27576,"2021-05-21",324,371,24497,27851,10,"1.4%"
"2021-05-12",28188,"2021-05-22",331,373,24828,28311,10,"1.21%"
"2021-05-13",28791,"2021-05-23",332,377,25254,28814,10,"1.26%"
"2021-05-14",29207,"2021-05-24",335,378,25410,29319,10,"1.1%"
"2021-05-15",29828,"2021-05-25",339,382,25624,29965,10,".99%"
"2021-05-16",30287,"2021-05-26",343,386,26045,30455,10,".98%"
"2021-05-17",30799,"2021-05-27",350,391,26488,30925,10,".92%"
"2021-05-18",31265,"2021-05-28",354,391,26954,31409,10,".83%"
"2021-05-19",31867,"2021-05-29",358,401,27238,31999,10,".9%"
"2021-05-20",32549,"2021-05-30",363,406,27549,32632,10,".85%"
"2021-05-21",33282,"2021-05-31",371,410,27851,33284,10,".72%"
"2021-05-22",34046,"2021-06-02",373,423,28311,34546,11,".8%"
"2021-05-23",35070,"2021-06-03",377,427,28814,35132,11,".79%"
"2021-05-24",36196,"2021-06-06",378,442,29319,36617,13,".88%"
"2021-05-25",37163,"2021-06-08",382,477,29965,37667,14,"1.23%"
"2021-05-26",37866,"2021-06-09",386,483,30455,38157,14,"1.26%"
"2021-05-27",38611,"2021-06-10",391,497,30925,38635,14,"1.37%"
"2021-05-28",39173,"2021-06-12",391,515,31409,41596,15,"1.22%"
"2021-05-29",39867,"2021-06-12",401,515,31999,41596,14,"1.19%"
"2021-05-30",40421,"2021-06-12",406,515,32632,41596,13,"1.22%"
"2021-05-31",40915,"2021-06-12",410,515,33284,41596,12,"1.26%"
"2021-06-01",41346,"2021-06-12",419,515,33925,41596,11,"1.25%"
"2021-06-02",41697,"2021-06-13",423,520,34546,43377,11,"1.1%"
"2021-06-03",42138,"2021-06-13",427,520,35132,43377,10,"1.13%"
"2021-06-04",42635,"2021-06-13",434,520,35626,43377,9,"1.11%"
"2021-06-05",43117,"2021-06-13",437,520,36119,43377,8,"1.14%"
"2021-06-06",43553,"2021-06-14",442,526,36617,43806,8,"1.17%"
"2021-06-07",43916,"2021-06-15",472,533,37121,44176,8,".86%"
"2021-06-08",44256,"2021-06-16",477,535,37667,44837,8,".81%"
"2021-06-09",44574,"2021-06-16",483,535,38157,44837,7,".78%"
"2021-06-10",44886,"2021-06-17",497,540,38635,45147,7,".66%"
