"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-06-23",526,"2020-07-04",2,5,103,529,11,".7%"
"2020-06-24",580,"2020-07-06",2,5,142,679,12,".56%"
"2020-06-25",750,"2020-07-07",2,5,157,763,12,".5%"
"2020-06-26",901,"2020-07-10",2,5,203,974,14,".39%"
"2020-06-27",1011,"2020-07-11",2,5,182,1026,14,".36%"
"2020-06-28",1095,"2020-07-14",3,9,236,1340,16,".54%"
"2020-06-29",1241,"2020-07-14",3,9,276,1340,15,".56%"
"2020-06-30",1308,"2020-07-14",3,9,330,1340,14,".59%"
"2020-07-01",1384,"2020-07-15",3,13,335,1533,14,".83%"
"2020-07-02",1521,"2020-07-15",3,13,370,1533,13,".86%"
"2020-07-03",1667,"2020-07-16",3,17,433,1783,13,"1.04%"
"2020-07-04",1752,"2020-07-16",5,17,529,1783,12,".96%"
"2020-07-05",1932,"2020-07-17",5,20,571,2006,12,"1.05%"
"2020-07-06",1980,"2020-07-17",5,20,679,2006,11,"1.13%"
"2020-07-07",2097,"2020-07-18",5,24,763,2124,11,"1.4%"
"2020-07-08",2258,"2020-07-19",5,26,810,2261,11,"1.45%"
"2020-07-09",2344,"2020-07-20",5,27,889,2467,11,"1.39%"
"2020-07-10",2486,"2020-07-21",5,30,974,2759,11,"1.4%"
"2020-07-11",2622,"2020-07-21",5,30,1026,2759,10,"1.44%"
"2020-07-12",2772,"2020-07-22",5,34,1030,2901,10,"1.55%"
"2020-07-13",2902,"2020-07-23",5,38,1064,3148,10,"1.58%"
"2020-07-14",3098,"2020-07-23",9,38,1340,3148,9,"1.6%"
"2020-07-15",3191,"2020-07-24",13,39,1533,3378,9,"1.41%"
"2020-07-16",3445,"2020-07-25",17,39,1783,3708,9,"1.14%"
"2020-07-17",3628,"2020-07-25",20,39,2006,3708,8,"1.12%"
"2020-07-18",3814,"2020-07-26",24,42,2124,3865,8,"1.03%"
"2020-07-19",3948,"2020-07-27",26,48,2261,4027,8,"1.25%"
"2020-07-20",4068,"2020-07-28",27,48,2467,4080,8,"1.3%"
"2020-07-21",4226,"2020-07-29",30,52,2759,4230,8,"1.5%"
"2020-07-22",4359,"2020-07-30",34,56,2901,4408,8,"1.46%"
"2020-07-23",4472,"2020-07-31",38,60,3148,4511,8,"1.61%"
"2020-07-24",4646,"2020-08-01",39,62,3378,4666,8,"1.79%"
"2020-07-25",4854,"2020-08-02",39,64,3708,4899,8,"2.1%"
"2020-07-26",5050,"2020-08-03",42,64,3865,5145,8,"1.72%"
"2020-07-27",5236,"2020-08-04",48,66,4027,5278,8,"1.44%"
"2020-07-28",5385,"2020-08-06",48,80,4080,5507,9,"2.24%"
"2020-07-29",5492,"2020-08-06",52,80,4230,5507,8,"2.19%"
"2020-07-30",5677,"2020-08-07",56,85,4408,5723,8,"2.21%"
"2020-07-31",5875,"2020-08-08",60,87,4511,5905,8,"1.94%"
"2020-08-01",6069,"2020-08-09",62,92,4666,6115,8,"2.07%"
"2020-08-02",6242,"2020-08-10",64,97,4899,6321,8,"2.32%"
"2020-08-03",6376,"2020-08-11",64,99,5145,6414,8,"2.76%"
"2020-08-04",6526,"2020-08-12",66,100,5278,6578,8,"2.62%"
"2020-08-05",6705,"2020-08-14",73,105,5380,6756,9,"2.33%"
"2020-08-06",6897,"2020-08-15",80,109,5507,7106,9,"1.81%"
"2020-08-07",7056,"2020-08-15",85,109,5723,7106,8,"1.74%"
"2020-08-08",7206,"2020-08-16",87,110,5905,7311,8,"1.64%"
"2020-08-09",7355,"2020-08-17",92,115,6115,7394,8,"1.8%"
"2020-08-10",7546,"2020-08-19",97,119,6321,7643,9,"1.66%"
"2020-08-11",7723,"2020-08-20",99,124,6414,7785,9,"1.82%"
"2020-08-12",7770,"2020-08-20",100,124,6578,7785,8,"1.99%"
"2020-08-13",7915,"2020-08-21",101,128,6665,8009,8,"2.01%"
"2020-08-14",8078,"2020-08-22",105,131,6756,8135,8,"1.89%"
"2020-08-15",8236,"2020-08-23",109,137,7106,8360,8,"2.23%"
"2020-08-16",8498,"2020-08-24",110,138,7311,8540,8,"2.28%"
"2020-08-17",8554,"2020-08-25",115,141,7394,8609,8,"2.14%"
"2020-08-18",8641,"2020-08-26",120,146,7410,8755,8,"1.93%"
"2020-08-19",8822,"2020-08-27",119,147,7643,8943,8,"2.15%"
"2020-08-20",8932,"2020-08-27",124,147,7785,8943,7,"1.99%"
"2020-08-21",9133,"2020-08-29",128,153,8009,9372,8,"1.83%"
"2020-08-22",9377,"2020-08-30",131,156,8135,9561,8,"1.75%"
"2020-08-23",9556,"2020-08-30",137,156,8360,9561,7,"1.58%"
"2020-08-24",9715,"2020-08-31",138,164,8540,9730,7,"2.18%"
"2020-08-25",9850,"2020-09-01",141,168,8609,9885,7,"2.12%"
"2020-08-26",10008,"2020-09-03",146,170,8755,10104,8,"1.78%"
"2020-08-27",10167,"2020-09-04",147,171,8943,10243,8,"1.85%"
"2020-08-28",10320,"2020-09-05",147,171,9071,10399,8,"1.81%"
"2020-08-29",10507,"2020-09-06",153,174,9372,10552,8,"1.78%"
"2020-08-30",10671,"2020-09-07",156,176,9561,10682,8,"1.78%"
"2020-08-31",10785,"2020-09-08",164,182,9730,10832,8,"1.63%"
"2020-09-01",10919,"2020-09-09",168,182,9885,11069,8,"1.18%"
"2020-09-02",11081,"2020-09-10",170,185,9994,11194,8,"1.25%"
"2020-09-03",11217,"2020-09-11",170,187,10104,11313,8,"1.41%"
"2020-09-04",11352,"2020-09-12",171,191,10243,11458,8,"1.65%"
"2020-09-05",11517,"2020-09-13",171,193,10399,11683,8,"1.71%"
"2020-09-06",11668,"2020-09-13",174,193,10552,11683,7,"1.68%"
"2020-09-07",11815,"2020-09-16",176,196,10682,11925,9,"1.61%"
"2020-09-08",11949,"2020-09-17",182,198,10832,12172,9,"1.19%"
"2020-09-09",12089,"2020-09-17",182,198,11069,12172,8,"1.45%"
"2020-09-10",12234,"2020-09-18",185,200,11194,12309,8,"1.35%"
"2020-09-11",12416,"2020-09-19",187,204,11313,12444,8,"1.5%"
"2020-09-12",12543,"2020-09-20",191,204,11458,12594,8,"1.14%"
"2020-09-13",12629,"2020-09-21",193,208,11683,12721,8,"1.45%"
"2020-09-14",12765,"2020-09-22",194,209,11748,12836,8,"1.38%"
"2020-09-15",12899,"2020-09-23",196,209,11809,12935,8,"1.15%"
"2020-09-16",13019,"2020-09-24",196,213,11925,13070,8,"1.48%"
"2020-09-17",13162,"2020-09-25",198,220,12172,13232,8,"2.08%"
"2020-09-18",13274,"2020-09-26",200,224,12309,13380,8,"2.24%"
"2020-09-19",13420,"2020-09-27",204,225,12444,13480,8,"2.03%"
"2020-09-20",13516,"2020-09-28",204,228,12594,13636,8,"2.3%"
"2020-09-21",13651,"2020-09-29",208,237,12721,13784,8,"2.73%"
"2020-09-22",13746,"2020-09-29",209,237,12836,13784,7,"2.95%"
"2020-09-23",13889,"2020-09-30",209,241,12935,13930,7,"3.22%"
"2020-09-24",14015,"2020-10-01",213,243,13070,14056,7,"3.04%"
"2020-09-25",14141,"2020-10-02",220,245,13232,14207,7,"2.56%"
"2020-09-26",14277,"2020-10-03",224,246,13380,14336,7,"2.3%"
"2020-09-27",14397,"2020-10-04",225,247,13480,14482,7,"2.2%"
"2020-09-28",14535,"2020-10-05",228,249,13636,14614,7,"2.15%"
"2020-09-29",14655,"2020-10-06",237,252,13784,14751,7,"1.55%"
"2020-09-30",14792,"2020-10-07",241,253,13930,14857,7,"1.29%"
"2020-10-01",14939,"2020-10-08",243,260,14056,14971,7,"1.86%"
"2020-10-02",15072,"2020-10-09",245,265,14207,15134,7,"2.16%"
"2020-10-03",15207,"2020-10-10",246,266,14336,15302,7,"2.07%"
"2020-10-04",15337,"2020-10-11",247,269,14482,15468,7,"2.23%"
"2020-10-05",15480,"2020-10-12",249,273,14614,15615,7,"2.4%"
"2020-10-06",15585,"2020-10-12",252,273,14751,15615,6,"2.43%"
"2020-10-07",15738,"2020-10-13",253,275,14857,15758,6,"2.44%"
"2020-10-08",15868,"2020-10-14",260,278,14971,15896,6,"1.95%"
"2020-10-09",16009,"2020-10-16",265,283,15134,16097,7,"1.87%"
"2020-10-10",16139,"2020-10-17",266,287,15302,16201,7,"2.34%"
"2020-10-11",16274,"2020-10-18",269,291,15468,16315,7,"2.6%"
"2020-10-12",16403,"2020-10-19",273,292,15615,16406,7,"2.4%"
"2020-10-13",16500,"2020-10-21",275,296,15758,16618,8,"2.44%"
"2020-10-14",16615,"2020-10-21",278,296,15896,16618,7,"2.49%"
"2020-10-15",16731,"2020-10-22",279,296,15973,16815,7,"2.02%"
"2020-10-16",16852,"2020-10-23",283,297,16097,16899,7,"1.75%"
"2020-10-17",16944,"2020-10-24",287,299,16201,16982,7,"1.54%"
"2020-10-18",17033,"2020-10-25",291,301,16315,17075,7,"1.32%"
"2020-10-19",17125,"2020-10-26",292,302,16406,17129,7,"1.38%"
"2020-10-20",17205,"2020-10-28",293,303,16491,17263,8,"1.3%"
"2020-10-21",17279,"2020-10-29",296,304,16618,17342,8,"1.1%"
"2020-10-22",17343,"2020-10-30",296,304,16815,17407,8,"1.35%"
"2020-10-23",17398,"2020-10-30",297,304,16899,17407,7,"1.38%"
"2020-10-24",17466,"2020-10-31",299,304,16982,17478,7,"1.01%"
"2020-10-25",17511,"2020-11-01",301,306,17075,17569,7,"1.01%"
"2020-10-26",17567,"2020-11-01",302,306,17129,17569,6,".91%"
"2020-10-27",17635,"2020-11-03",302,308,17183,17688,7,"1.19%"
"2020-10-28",17714,"2020-11-04",303,310,17263,17759,7,"1.41%"
"2020-10-29",17771,"2020-11-05",304,311,17342,17822,7,"1.46%"
"2020-10-30",17834,"2020-11-06",304,312,17407,17881,7,"1.69%"
"2020-10-31",17899,"2020-11-07",304,314,17478,17948,7,"2.13%"
"2020-11-01",17972,"2020-11-08",306,316,17569,18019,7,"2.22%"
"2020-11-02",18037,"2020-11-09",307,316,17619,18075,7,"1.97%"
"2020-11-03",18096,"2020-11-10",308,316,17688,18147,7,"1.74%"
"2020-11-04",18150,"2020-11-11",310,318,17759,18218,7,"1.74%"
"2020-11-05",18210,"2020-11-11",311,318,17822,18218,6,"1.77%"
"2020-11-06",18241,"2020-11-12",312,319,17881,18291,6,"1.71%"
"2020-11-07",18293,"2020-11-13",314,319,17948,18368,6,"1.19%"
"2020-11-08",18351,"2020-11-13",316,319,18019,18368,5,".86%"
"2020-11-09",18402,"2020-11-14",316,320,18075,18423,5,"1.15%"
"2020-11-10",18453,"2020-11-15",316,321,18147,18481,5,"1.5%"
"2020-11-11",18549,"2020-11-17",318,321,18218,18577,6,".84%"
"2020-11-12",18607,"2020-11-18",319,322,18291,18639,6,".86%"
"2020-11-13",18633,"2020-11-18",319,322,18368,18639,5,"1.11%"
"2020-11-14",18681,"2020-11-19",320,323,18423,18681,5,"1.16%"
"2020-11-15",18724,"2020-11-21",321,325,18481,18771,6,"1.38%"
"2020-11-16",18769,"2020-11-21",321,325,18519,18771,5,"1.59%"
"2020-11-17",18804,"2020-11-22",321,326,18577,18819,5,"2.07%"
"2020-11-18",18875,"2020-11-24",322,329,18639,18927,6,"2.43%"
"2020-11-19",18926,"2020-11-24",323,329,18681,18927,5,"2.44%"
"2020-11-20",18979,"2020-11-26",323,329,18681,19025,6,"1.74%"
"2020-11-21",19024,"2020-11-26",325,329,18771,19025,5,"1.57%"
"2020-11-22",19062,"2020-11-27",326,330,18819,19073,5,"1.57%"
"2020-11-23",19096,"2020-11-28",327,330,18873,19099,5,"1.33%"
"2020-11-24",19128,"2020-11-29",329,330,18927,19146,5,".46%"
