"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-01",163,"2020-07-23",,1,,297,22,"-"
"2020-07-02",164,"2020-07-23",,1,,297,21,"-"
"2020-07-03",179,"2020-07-23",,1,,297,20,"-"
"2020-07-04",179,"2020-07-23",,1,,297,19,"-"
"2020-07-05",182,"2020-07-23",,1,,297,18,"-"
"2020-07-06",223,"2020-07-23",,1,,297,17,"-"
"2020-07-07",228,"2020-07-23",,1,,297,16,"-"
"2020-07-08",250,"2020-07-23",,1,,297,15,"-"
"2020-07-09",253,"2020-07-23",,1,,297,14,"-"
"2020-07-10",263,"2020-07-23",,1,,297,13,"-"
"2020-07-11",268,"2020-07-23",,1,,297,12,"-"
"2020-07-12",297,"2020-07-23",,1,,297,11,"-"
"2020-07-13",299,"2020-07-24",,2,,305,11,"-"
"2020-07-14",306,"2020-07-25",,2,,330,11,"-"
"2020-07-15",331,"2020-07-26",,3,,372,11,"-"
"2020-07-16",353,"2020-07-26",,3,,372,10,"-"
"2020-07-17",353,"2020-07-26",,3,,372,9,"-"
"2020-07-18",398,"2020-07-28",,6,,415,10,"-"
"2020-07-19",432,"2020-07-29",,6,,432,10,"-"
"2020-07-20",472,"2020-07-30",,6,,489,10,"-"
"2020-07-21",507,"2020-07-31",,6,,522,10,"-"
"2020-07-22",534,"2020-08-01",,6,,547,10,"-"
"2020-07-23",580,"2020-08-04",1,8,297,580,12,"2.47%"
"2020-07-24",603,"2020-08-07",2,9,305,606,14,"2.33%"
"2020-07-25",619,"2020-08-08",2,9,330,664,14,"2.1%"
"2020-07-26",630,"2020-08-08",3,9,372,664,13,"2.05%"
"2020-07-27",652,"2020-08-08",5,9,382,664,12,"1.42%"
"2020-07-28",691,"2020-08-10",6,9,415,749,13,".9%"
"2020-07-29",732,"2020-08-10",6,9,432,749,12,".95%"
"2020-07-30",778,"2020-08-11",6,9,489,782,12,"1.02%"
"2020-07-31",821,"2020-08-14",6,10,522,827,14,"1.31%"
"2020-08-01",859,"2020-08-17",6,13,547,882,16,"2.09%"
"2020-08-02",893,"2020-08-18",7,14,557,894,16,"2.08%"
"2020-08-04",919,"2020-08-22",8,14,580,1017,18,"1.37%"
"2020-08-05",943,"2020-08-22",8,14,583,1017,17,"1.38%"
"2020-08-06",962,"2020-08-22",9,14,596,1017,16,"1.19%"
"2020-08-07",1006,"2020-08-22",9,14,606,1017,15,"1.22%"
"2020-08-08",1021,"2020-08-23",9,15,664,1035,15,"1.62%"
"2020-08-09",1030,"2020-08-23",9,15,668,1035,14,"1.63%"
"2020-08-10",1034,"2020-08-23",9,15,749,1035,13,"2.1%"
"2020-08-11",1039,"2020-08-24",9,15,782,1074,13,"2.05%"
"2020-08-12",1071,"2020-08-24",9,15,802,1074,12,"2.21%"
"2020-08-13",1102,"2020-08-27",9,15,810,1109,14,"2.01%"
"2020-08-14",1133,"2020-08-29",10,15,827,1148,15,"1.56%"
"2020-08-15",1143,"2020-08-29",11,15,836,1148,14,"1.28%"
"2020-08-16",1160,"2020-08-31",12,15,839,1173,15,".9%"
"2020-08-17",1162,"2020-08-31",13,15,882,1173,14,".69%"
"2020-08-18",1175,"2020-09-01",14,16,894,1177,14,".71%"
"2020-08-19",1193,"2020-09-03",14,17,894,1198,15,".99%"
"2020-08-20",1208,"2020-09-04",14,17,897,1208,15,".96%"
"2020-08-21",1263,"2020-09-06",14,18,905,1305,16,"1.%"
"2020-08-22",1292,"2020-09-06",14,18,1017,1305,15,"1.39%"
"2020-08-23",1313,"2020-09-07",15,20,1035,1347,15,"1.6%"
"2020-08-24",1321,"2020-09-07",15,20,1074,1347,14,"1.83%"
"2020-08-25",1355,"2020-09-08",15,20,1077,1358,14,"1.78%"
"2020-08-26",1385,"2020-09-10",15,20,1078,1408,15,"1.52%"
"2020-08-27",1422,"2020-09-11",15,20,1109,1464,15,"1.41%"
"2020-08-28",1463,"2020-09-11",15,20,1121,1464,14,"1.46%"
"2020-08-29",1481,"2020-09-12",15,20,1148,1500,14,"1.42%"
"2020-08-30",1524,"2020-09-14",15,22,1155,1564,15,"1.71%"
"2020-08-31",1538,"2020-09-14",15,22,1173,1564,14,"1.79%"
"2020-09-01",1580,"2020-09-15",16,22,1177,1598,14,"1.43%"
"2020-09-02",1611,"2020-09-16",17,26,1188,1684,14,"1.81%"
"2020-09-03",1660,"2020-09-16",17,26,1198,1684,13,"1.85%"
"2020-09-04",1699,"2020-09-17",17,26,1208,1721,13,"1.75%"
"2020-09-05",1748,"2020-09-18",17,26,1261,1776,13,"1.75%"
"2020-09-06",1791,"2020-09-19",18,26,1305,1816,13,"1.57%"
"2020-09-07",1812,"2020-09-19",20,26,1347,1816,12,"1.28%"
"2020-09-08",1881,"2020-09-21",20,26,1358,1895,13,"1.12%"
"2020-09-09",1919,"2020-09-23",20,27,1384,1978,14,"1.18%"
"2020-09-10",1949,"2020-09-23",20,27,1408,1978,13,"1.23%"
"2020-09-11",2079,"2020-09-26",20,29,1464,2115,15,"1.38%"
"2020-09-12",2103,"2020-09-26",20,29,1500,2115,14,"1.46%"
