"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-12",78,"2020-07-26",,1,,107,14,"-"
"2020-07-13",79,"2020-07-26",,1,,107,13,"-"
"2020-07-14",95,"2020-07-26",,1,,107,12,"-"
"2020-07-15",115,"2020-07-28",,1,,127,13,"-"
"2020-07-16",123,"2020-07-28",,1,,127,12,"-"
"2020-07-17",123,"2020-07-28",,1,,127,11,"-"
"2020-07-18",139,"2020-07-30",,1,,148,12,"-"
"2020-07-19",152,"2020-07-31",,1,,200,12,"-"
"2020-07-20",168,"2020-07-31",,1,,200,11,"-"
"2020-07-21",216,"2020-08-01",,1,,265,11,"-"
"2020-07-22",233,"2020-08-01",1,1,71,265,10,"0.%"
"2020-07-23",260,"2020-08-01",1,1,72,265,9,"0.%"
"2020-07-24",265,"2020-08-01",1,1,74,265,8,"0.%"
"2020-07-25",271,"2020-08-02",1,1,76,287,8,"0.%"
"2020-07-26",279,"2020-08-02",1,1,107,287,7,"0.%"
"2020-07-27",297,"2020-08-05",1,1,107,304,9,"0.%"
"2020-07-28",318,"2020-08-08",1,2,127,330,11,".49%"
"2020-07-29",341,"2020-08-10",1,2,127,349,12,".45%"
"2020-07-30",365,"2020-08-11",1,2,148,375,12,".44%"
"2020-07-31",412,"2020-08-13",1,2,200,426,13,".44%"
"2020-08-01",444,"2020-08-17",1,2,265,471,16,".49%"
"2020-08-02",464,"2020-08-17",1,2,287,471,15,".54%"
"2020-08-04",478,"2020-08-18",1,2,288,491,14,".49%"
"2020-08-05",494,"2020-08-19",1,2,304,512,14,".48%"
"2020-08-06",502,"2020-08-19",1,2,304,512,13,".48%"
"2020-08-07",511,"2020-08-19",2,2,305,512,12,"0.%"
"2020-08-08",531,"2020-08-20",2,2,330,539,12,"0.%"
"2020-08-09",542,"2020-08-22",2,2,330,559,13,"0.%"
"2020-08-10",567,"2020-08-24",2,2,349,598,14,"0.%"
"2020-08-11",585,"2020-08-24",2,2,375,598,13,"0.%"
"2020-08-12",607,"2020-08-26",2,2,409,622,14,"0.%"
"2020-08-13",621,"2020-08-26",2,2,426,622,13,"0.%"
"2020-08-14",642,"2020-08-28",2,2,428,662,14,"0.%"
"2020-08-15",662,"2020-08-28",2,2,439,662,13,"0.%"
"2020-08-16",679,"2020-08-29",2,2,439,709,13,"0.%"
"2020-08-17",705,"2020-08-29",2,2,471,709,12,"0.%"
"2020-08-18",726,"2020-08-31",2,4,491,733,13,".83%"
"2020-08-19",774,"2020-09-03",2,5,512,776,15,"1.14%"
"2020-08-20",780,"2020-09-04",2,6,539,798,15,"1.54%"
"2020-08-21",790,"2020-09-04",2,6,539,798,14,"1.54%"
"2020-08-22",804,"2020-09-05",2,6,559,833,14,"1.46%"
"2020-08-23",824,"2020-09-05",2,6,565,833,13,"1.49%"
"2020-08-24",839,"2020-09-06",2,7,598,854,13,"1.95%"
"2020-08-25",876,"2020-09-08",2,7,598,902,14,"1.64%"
"2020-08-26",902,"2020-09-08",2,7,622,902,13,"1.79%"
"2020-08-27",934,"2020-09-10",2,7,640,950,14,"1.61%"
"2020-08-28",964,"2020-09-11",2,7,662,970,14,"1.62%"
"2020-08-29",986,"2020-09-12",2,7,709,993,14,"1.76%"
"2020-08-30",1024,"2020-09-14",4,8,723,1049,15,"1.23%"
"2020-08-31",1057,"2020-09-15",4,9,733,1083,15,"1.43%"
"2020-09-01",1080,"2020-09-15",5,9,737,1083,14,"1.16%"
"2020-09-02",1116,"2020-09-17",5,9,752,1122,15,"1.08%"
"2020-09-03",1150,"2020-09-19",5,9,776,1172,16,"1.01%"
"2020-09-04",1179,"2020-09-20",6,9,798,1274,16,".63%"
"2020-09-05",1265,"2020-09-20",6,9,833,1274,15,".68%"
"2020-09-06",1312,"2020-09-21",7,9,854,1322,15,".43%"
"2020-09-07",1341,"2020-09-22",7,9,858,1379,15,".38%"
"2020-09-08",1391,"2020-09-23",7,9,902,1452,15,".36%"
"2020-09-09",1449,"2020-09-23",7,9,925,1452,14,".38%"
"2020-09-10",1493,"2020-09-24",7,11,950,1494,14,".74%"
"2020-09-11",1546,"2020-09-25",7,14,970,1565,14,"1.18%"
"2020-09-12",1581,"2020-09-26",7,14,993,1594,14,"1.16%"
"2020-09-13",1624,"2020-09-28",7,14,1008,1660,15,"1.07%"
"2020-09-14",1671,"2020-09-29",8,14,1049,1729,15,".88%"
"2020-09-15",1695,"2020-09-29",9,14,1083,1729,14,".77%"
"2020-09-16",1724,"2020-09-29",10,14,1101,1729,13,".64%"
"2020-09-17",1749,"2020-09-30",11,14,1122,1762,13,".47%"
"2020-09-18",1761,"2020-09-30",11,14,1145,1762,12,".49%"
"2020-09-19",1783,"2020-10-02",10,15,1172,1821,13,".77%"
"2020-09-20",1838,"2020-10-04",9,15,1274,1854,14,"1.03%"
"2020-09-21",1852,"2020-10-04",9,15,1322,1854,13,"1.13%"
"2020-09-22",1904,"2020-10-07",9,15,1379,1931,15,"1.09%"
"2020-09-23",1991,"2020-10-08",9,15,1452,2025,15,"1.05%"
"2020-09-24",2032,"2020-10-09",11,15,1494,2063,15,".7%"
