"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-11-01",3971,"2020-11-12",25,27,3694,3987,11,".68%"
"2020-11-02",3992,"2020-11-13",25,27,3738,4009,11,".74%"
"2020-11-03",4029,"2020-11-14",25,27,3761,4045,11,".7%"
"2020-11-04",4059,"2020-11-16",25,27,3774,4086,12,".64%"
"2020-11-05",4100,"2020-11-17",25,27,3788,4115,12,".61%"
"2020-11-06",4138,"2020-11-18",26,27,3823,4149,12,".31%"
"2020-11-07",4160,"2020-11-19",27,27,3856,4180,12,"0.%"
"2020-11-08",4195,"2020-11-20",27,27,3861,4225,12,"0.%"
"2020-11-09",4206,"2020-11-20",27,27,3907,4225,11,"0.%"
"2020-11-10",4231,"2020-11-21",27,28,3925,4265,11,".29%"
"2020-11-11",4261,"2020-11-21",27,28,3933,4265,10,".3%"
"2020-11-12",4272,"2020-11-22",27,29,3987,4331,10,".58%"
"2020-11-13",4300,"2020-11-22",27,29,4009,4331,9,".62%"
"2020-11-14",4320,"2020-11-22",27,29,4045,4331,8,".7%"
"2020-11-15",4327,"2020-11-22",27,29,4055,4331,7,".72%"
"2020-11-16",4339,"2020-11-23",27,29,4086,4365,7,".72%"
"2020-11-17",4356,"2020-11-23",27,29,4115,4365,6,".8%"
"2020-11-18",4378,"2020-11-25",27,30,4149,4399,7,"1.2%"
"2020-11-19",4396,"2020-11-25",27,30,4180,4399,6,"1.37%"
"2020-11-20",4417,"2020-11-26",27,30,4225,4424,6,"1.51%"
"2020-11-21",4442,"2020-11-28",28,30,4265,4463,7,"1.01%"
"2020-11-22",4480,"2020-11-30",29,30,4331,4496,8,".61%"
"2020-11-23",4484,"2020-11-30",29,30,4365,4496,7,".76%"
"2020-11-24",4498,"2020-12-01",30,30,4375,4504,7,"0.%"
"2020-11-25",4512,"2020-12-28",30,30,4399,4513,33,"0.%"
"2020-11-26",4530,"2021-01-03",30,30,4424,4530,38,"0.%"
"2020-11-27",4544,"2021-02-18",30,30,4435,4544,83,"0.%"
"2020-11-28",4548,"2021-04-13",30,30,4463,4551,136,"0.%"
"2020-11-30",4561,"2021-04-26",30,30,4496,4563,147,"0.%"
"2020-12-01",4564,"2021-04-28",30,30,4504,4566,148,"0.%"
"2020-12-26",4564,"2021-04-28",30,30,4507,4566,123,"0.%"
"2020-12-27",4564,"2021-04-28",30,30,4510,4566,122,"0.%"
