"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-09-21",1507,"2020-10-01",10,16,903,1552,10,".92%"
"2020-09-22",1563,"2020-10-02",10,16,987,1600,10,".98%"
"2020-09-23",1661,"2020-10-04",10,17,1068,1702,11,"1.1%"
"2020-09-24",1702,"2020-10-04",10,17,1111,1702,10,"1.18%"
"2020-09-25",1781,"2020-10-05",10,19,1195,1792,10,"1.51%"
"2020-09-26",1794,"2020-10-06",11,19,1214,1798,10,"1.37%"
"2020-09-27",1820,"2020-10-07",11,19,1245,1846,10,"1.33%"
"2020-09-28",1842,"2020-10-07",11,19,1326,1846,9,"1.54%"
"2020-09-29",1924,"2020-10-08",13,19,1422,1928,9,"1.19%"
"2020-09-30",2065,"2020-10-12",15,19,1494,2091,12,".67%"
"2020-10-01",2114,"2020-10-14",16,19,1552,2167,13,".49%"
"2020-10-02",2138,"2020-10-14",16,19,1600,2167,12,".53%"
"2020-10-03",2156,"2020-10-14",16,19,1624,2167,11,".55%"
"2020-10-04",2203,"2020-10-15",17,20,1702,2225,11,".57%"
"2020-10-05",2252,"2020-10-16",19,20,1792,2275,11,".21%"
"2020-10-06",2300,"2020-10-18",19,20,1798,2318,12,".19%"
"2020-10-07",2346,"2020-10-19",19,21,1846,2346,12,".4%"
"2020-10-08",2433,"2020-10-22",19,21,1928,2452,14,".38%"
"2020-10-09",2470,"2020-10-23",19,23,1964,2536,14,".7%"
"2020-10-10",2525,"2020-10-23",19,23,2039,2536,13,".8%"
"2020-10-11",2561,"2020-10-24",19,23,2048,2574,13,".76%"
"2020-10-12",2575,"2020-10-25",19,23,2091,2588,13,".8%"
"2020-10-13",2598,"2020-10-26",19,23,2109,2634,13,".76%"
"2020-10-14",2628,"2020-10-26",19,23,2167,2634,12,".86%"
"2020-10-15",2644,"2020-10-27",20,23,2225,2649,12,".71%"
"2020-10-16",2661,"2020-10-28",20,23,2275,2671,12,".76%"
"2020-10-17",2682,"2020-10-29",20,23,2296,2702,12,".74%"
"2020-10-18",2707,"2020-10-30",20,23,2318,2738,12,".71%"
"2020-10-19",2718,"2020-10-30",21,23,2346,2738,11,".51%"
"2020-10-20",2748,"2020-10-31",21,23,2368,2753,11,".52%"
"2020-10-21",2764,"2020-11-01",21,23,2412,2768,11,".56%"
"2020-10-22",2774,"2020-11-02",21,23,2452,2791,11,".59%"
"2020-10-23",2805,"2020-11-04",23,23,2536,2820,12,"0.%"
"2020-10-24",2828,"2020-11-05",23,23,2574,2840,12,"0.%"
"2020-10-25",2836,"2020-11-05",23,23,2588,2840,11,"0.%"
"2020-10-26",2846,"2020-11-06",23,23,2634,2848,11,"0.%"
"2020-10-27",2855,"2020-11-07",23,23,2649,2868,11,"0.%"
"2020-10-28",2870,"2020-11-08",23,23,2671,2896,11,"0.%"
"2020-10-29",2883,"2020-11-08",23,23,2702,2896,10,"0.%"
"2020-10-30",2894,"2020-11-08",23,23,2738,2896,9,"0.%"
"2020-10-31",2899,"2020-11-09",23,23,2753,2904,9,"0.%"
"2020-11-01",2908,"2020-11-11",23,23,2768,2916,10,"0.%"
"2020-11-02",2923,"2020-11-12",23,23,2791,2935,10,"0.%"
"2020-11-03",2946,"2020-11-13",23,23,2796,2947,10,"0.%"
"2020-11-04",2956,"2020-11-14",23,23,2820,2958,10,"0.%"
"2020-11-05",2975,"2020-11-15",23,23,2840,2976,10,"0.%"
"2020-11-06",2988,"2020-11-16",23,23,2848,3003,10,"0.%"
"2020-11-07",3006,"2020-11-17",23,23,2868,3013,10,"0.%"
"2020-11-08",3012,"2020-11-17",23,23,2896,3013,9,"0.%"
"2020-11-09",3012,"2020-11-17",23,23,2904,3013,8,"0.%"
"2020-11-10",3020,"2020-11-18",23,23,2906,3032,8,"0.%"
"2020-11-11",3026,"2020-11-18",23,23,2916,3032,7,"0.%"
"2020-11-12",3033,"2020-11-19",23,23,2935,3039,7,"0.%"
"2020-11-13",3036,"2020-11-19",23,23,2947,3039,6,"0.%"
"2020-11-14",3045,"2020-11-20",23,24,2958,3047,6,"1.12%"
"2020-11-15",3045,"2020-11-20",23,24,2976,3047,5,"1.41%"
"2020-11-16",3046,"2020-11-20",23,24,3003,3047,4,"2.27%"
