"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-16",2379,"2020-07-27",3,17,308,2389,11,".67%"
"2020-07-17",2216,"2020-07-26",3,13,356,2280,9,".52%"
"2020-07-18",2668,"2020-07-30",5,21,758,2879,12,".75%"
"2020-07-19",2891,"2020-07-31",5,21,766,3236,12,".65%"
"2020-07-20",3093,"2020-07-31",7,21,1450,3236,11,".78%"
"2020-07-21",3345,"2020-08-01",8,23,1529,3373,11,".81%"
"2020-07-22",3471,"2020-08-02",9,27,1662,3519,11,".97%"
"2020-07-23",3677,"2020-08-06",10,31,1998,3708,14,"1.23%"
"2020-07-24",3777,"2020-08-07",11,36,2054,3780,14,"1.45%"
"2020-07-25",3882,"2020-08-08",11,37,2133,4005,14,"1.39%"
"2020-07-26",3919,"2020-08-08",13,37,2280,4005,13,"1.39%"
"2020-07-27",4066,"2020-08-09",17,41,2389,4100,13,"1.4%"
"2020-07-28",4287,"2020-08-10",21,42,2543,4360,13,"1.16%"
"2020-07-29",4503,"2020-08-11",21,43,2600,4573,13,"1.12%"
"2020-07-30",4722,"2020-08-12",21,43,2879,4755,13,"1.17%"
"2020-07-31",4996,"2020-08-15",21,50,3236,5006,15,"1.64%"
"2020-08-01",5248,"2020-08-18",23,62,3373,5331,17,"1.99%"
"2020-08-02",5389,"2020-08-19",27,65,3519,5427,17,"1.99%"
"2020-08-04",5520,"2020-08-21",28,69,3589,5582,17,"2.06%"
"2020-08-05",5507,"2020-08-21",30,69,3641,5582,16,"2.01%"
"2020-08-06",5740,"2020-08-22",31,70,3708,5993,16,"1.71%"
"2020-08-07",5732,"2020-08-22",36,70,3780,5993,15,"1.54%"
"2020-08-08",5878,"2020-08-22",37,70,4005,5993,14,"1.66%"
"2020-08-09",6161,"2020-08-24",41,73,4100,6267,15,"1.48%"
"2020-08-10",6223,"2020-08-24",42,73,4360,6267,14,"1.63%"
"2020-08-11",6387,"2020-08-26",43,83,4573,6476,15,"2.1%"
"2020-08-12",6497,"2020-08-27",43,85,4755,6601,15,"2.28%"
"2020-08-13",6618,"2020-08-28",44,89,4826,6926,15,"2.14%"
"2020-08-14",6782,"2020-08-28",46,89,4929,6926,14,"2.15%"
"2020-08-15",6949,"2020-08-29",50,94,5006,7129,14,"2.07%"
"2020-08-16",7076,"2020-08-29",55,94,5072,7129,13,"1.9%"
"2020-08-17",7219,"2020-08-30",59,98,5211,7328,13,"1.84%"
"2020-08-18",7424,"2020-08-31",62,103,5331,7534,13,"1.86%"
"2020-08-19",7660,"2020-09-01",65,113,5427,7765,13,"2.05%"
"2020-08-20",7850,"2020-09-02",65,118,5492,7963,13,"2.14%"
"2020-08-21",8106,"2020-09-03",69,126,5582,8157,13,"2.21%"
"2020-08-22",8386,"2020-09-05",70,136,5993,8617,14,"2.52%"
"2020-08-23",8717,"2020-09-06",72,144,6115,8887,14,"2.6%"
"2020-08-24",8917,"2020-09-07",73,149,6267,9195,14,"2.6%"
"2020-08-25",9210,"2020-09-08",79,152,6346,9492,14,"2.32%"
"2020-08-26",9539,"2020-09-09",83,161,6476,9812,14,"2.34%"
"2020-08-27",9924,"2020-09-10",85,167,6601,10158,14,"2.31%"
"2020-08-28",10433,"2020-09-12",89,182,6926,10914,15,"2.33%"
"2020-08-29",10876,"2020-09-12",94,182,7129,10914,14,"2.32%"
"2020-08-30",11323,"2020-09-13",98,194,7328,11324,14,"2.4%"
"2020-08-31",11644,"2020-09-14",103,200,7534,11734,14,"2.31%"
"2020-09-01",12153,"2020-09-16",113,217,7765,12650,15,"2.13%"
"2020-09-02",12719,"2020-09-17",118,222,7963,13176,15,"2.%"
"2020-09-03",13309,"2020-09-18",126,228,8157,13785,15,"1.81%"
"2020-09-04",13833,"2020-09-19",129,235,8339,14375,15,"1.76%"
"2020-09-05",14524,"2020-09-20",136,246,8617,15614,15,"1.57%"
"2020-09-06",15127,"2020-09-20",144,246,8887,15614,14,"1.52%"
"2020-09-07",15526,"2020-09-20",149,246,9195,15614,13,"1.51%"
"2020-09-08",16154,"2020-09-21",152,252,9492,16274,13,"1.47%"
"2020-09-09",16736,"2020-09-22",161,261,9812,17356,13,"1.33%"
"2020-09-10",17271,"2020-09-22",167,261,10158,17356,12,"1.31%"
"2020-09-11",17830,"2020-09-23",172,266,10425,18383,12,"1.18%"
"2020-09-12",18300,"2020-09-23",182,266,10914,18383,11,"1.12%"
"2020-09-13",18929,"2020-09-25",194,285,11324,19895,12,"1.06%"
"2020-09-14",19184,"2020-09-25",200,285,11734,19895,11,"1.04%"
"2020-09-15",19715,"2020-09-25",207,285,12130,19895,10,"1.%"
"2020-09-16",20169,"2020-09-26",217,288,12650,20403,10,".92%"
"2020-09-17",20696,"2020-09-27",222,290,13176,20805,10,".89%"
"2020-09-18",20969,"2020-09-28",228,293,13785,21375,10,".86%"
"2020-09-19",21504,"2020-09-29",235,299,14375,22192,10,".82%"
"2020-09-20",22564,"2020-09-30",246,303,15614,22929,10,".78%"
"2020-09-21",22807,"2020-09-30",252,303,16274,22929,9,".77%"
"2020-09-22",23609,"2020-10-02",261,312,17356,23842,10,".79%"
"2020-09-23",24672,"2020-10-04",266,322,18383,24967,11,".85%"
