"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-10-17",6668,"2020-10-27",127,134,6120,6669,10,"1.28%"
"2020-10-18",6720,"2020-10-28",127,134,6178,6720,10,"1.29%"
"2020-10-19",6766,"2020-10-30",128,135,6229,6793,11,"1.24%"
"2020-10-20",6800,"2020-10-31",129,135,6264,6814,11,"1.09%"
"2020-10-21",6850,"2020-11-02",130,136,6336,6885,12,"1.09%"
"2020-10-22",6880,"2020-11-02",132,136,6380,6885,11,".79%"
"2020-10-23",6933,"2020-11-04",132,136,6440,6961,12,".77%"
"2020-10-24",6973,"2020-11-05",132,136,6487,6984,12,".8%"
"2020-10-25",7009,"2020-11-06",132,138,6530,7041,12,"1.17%"
"2020-10-26",7025,"2020-11-06",133,138,6605,7041,11,"1.15%"
"2020-10-27",7053,"2020-11-07",134,139,6669,7100,11,"1.16%"
"2020-10-28",7093,"2020-11-07",134,139,6720,7100,10,"1.32%"
"2020-10-29",7136,"2020-11-08",135,141,6750,7207,10,"1.31%"
"2020-10-30",7184,"2020-11-08",135,141,6793,7207,9,"1.45%"
"2020-10-31",7223,"2020-11-09",135,141,6814,7262,9,"1.34%"
"2020-11-01",7276,"2020-11-10",136,143,6840,7301,9,"1.52%"
"2020-11-02",7324,"2020-11-11",136,143,6885,7369,9,"1.45%"
"2020-11-03",7388,"2020-11-12",136,145,6932,7404,9,"1.91%"
"2020-11-04",7439,"2020-11-13",136,145,6961,7474,9,"1.75%"
"2020-11-05",7509,"2020-11-14",136,147,6984,7564,9,"1.9%"
"2020-11-06",7593,"2020-11-15",138,147,7041,7626,9,"1.54%"
"2020-11-07",7649,"2020-11-16",139,147,7100,7699,9,"1.34%"
"2020-11-08",7790,"2020-11-18",141,148,7207,7826,10,"1.13%"
"2020-11-09",7856,"2020-11-19",141,150,7262,7870,10,"1.48%"
"2020-11-10",7919,"2020-11-21",143,151,7301,7992,11,"1.16%"
"2020-11-11",7983,"2020-11-21",143,151,7369,7992,10,"1.28%"
"2020-11-12",8051,"2020-11-22",145,152,7404,8065,10,"1.06%"
"2020-11-13",8144,"2020-11-25",145,154,7474,8186,12,"1.26%"
"2020-11-14",8187,"2020-11-26",147,154,7564,8238,12,"1.04%"
"2020-11-15",8213,"2020-11-26",147,154,7626,8238,11,"1.14%"
"2020-11-16",8247,"2020-11-27",147,155,7699,8306,11,"1.32%"
"2020-11-17",8307,"2020-11-28",147,155,7756,8360,11,"1.32%"
"2020-11-18",8371,"2020-11-29",148,156,7826,8440,11,"1.3%"
"2020-11-19",8446,"2020-11-30",150,156,7870,8530,11,".91%"
"2020-11-20",8498,"2020-11-30",150,156,7915,8530,10,".98%"
"2020-11-21",8593,"2020-12-01",151,156,7992,8641,10,".77%"
"2020-11-22",8659,"2020-12-26",152,156,8065,8679,34,".65%"
"2020-11-23",8757,"2020-12-29",153,156,8102,8771,36,".45%"
"2020-11-24",8830,"2021-01-01",153,156,8137,8862,38,".41%"
"2020-11-25",8906,"2021-01-03",154,156,8186,8906,39,".28%"
"2020-11-26",8976,"2021-01-09",154,157,8238,8994,44,".4%"
"2020-11-27",9087,"2021-01-16",155,157,8306,9100,50,".25%"
"2020-11-28",9143,"2021-01-21",155,157,8360,9144,54,".26%"
"2020-11-29",9205,"2021-01-30",156,158,8440,9206,62,".26%"
"2020-11-30",9283,"2021-02-28",156,159,8530,9286,90,".4%"
"2020-12-01",9392,"2021-04-04",156,165,8641,9415,124,"1.16%"
"2020-12-26",9408,"2021-04-04",156,165,8679,9415,99,"1.22%"
"2020-12-27",9428,"2021-04-06",156,165,8719,9440,100,"1.25%"
"2020-12-28",9449,"2021-04-07",156,165,8750,9451,100,"1.28%"
"2020-12-29",9458,"2021-04-08",156,165,8771,9466,100,"1.29%"
"2020-12-30",9484,"2021-04-10",156,165,8807,9492,101,"1.31%"
"2021-01-01",9529,"2021-04-11",156,165,8862,9554,100,"1.3%"
"2021-01-02",9547,"2021-04-11",156,165,8885,9554,99,"1.35%"
"2021-01-03",9560,"2021-04-12",156,165,8906,9613,99,"1.27%"
"2021-01-04",9568,"2021-04-12",156,165,8918,9613,98,"1.29%"
"2021-01-05",9574,"2021-04-12",156,165,8933,9613,97,"1.32%"
"2021-01-06",9595,"2021-04-12",156,165,8955,9613,96,"1.37%"
"2021-01-07",9612,"2021-04-12",156,165,8961,9613,95,"1.38%"
"2021-01-08",9621,"2021-04-13",157,167,8975,9648,95,"1.49%"
"2021-01-09",9641,"2021-04-13",157,167,8994,9648,94,"1.53%"
"2021-01-10",9645,"2021-04-13",157,167,9009,9648,93,"1.56%"
