"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-10-26",9344,"2020-11-05",45,48,9100,9348,10,"1.21%"
"2020-10-27",9378,"2020-11-07",45,48,9118,9392,11,"1.09%"
"2020-10-28",9396,"2020-11-08",46,48,9139,9441,11,".66%"
"2020-10-29",9423,"2020-11-08",46,48,9159,9441,10,".71%"
"2020-10-30",9464,"2020-11-10",46,48,9192,9520,11,".61%"
"2020-10-31",9495,"2020-11-10",47,48,9223,9520,10,".34%"
"2020-11-01",9528,"2020-11-11",47,49,9240,9552,10,".64%"
"2020-11-02",9572,"2020-11-12",47,49,9263,9590,10,".61%"
"2020-11-03",9603,"2020-11-13",47,49,9306,9627,10,".62%"
"2020-11-04",9631,"2020-11-14",48,49,9331,9672,10,".29%"
"2020-11-05",9657,"2020-11-14",48,49,9348,9672,9,".31%"
"2020-11-06",9698,"2020-11-15",48,49,9369,9725,9,".28%"
"2020-11-07",9747,"2020-11-16",48,49,9392,9784,9,".26%"
"2020-11-08",9829,"2020-11-17",48,49,9441,9834,9,".25%"
"2020-11-09",9852,"2020-11-19",48,50,9450,9857,10,".49%"
"2020-11-10",9902,"2020-11-20",48,50,9520,9902,10,".52%"
"2020-11-11",9945,"2020-11-23",49,50,9552,9962,12,".24%"
"2020-11-12",9987,"2020-11-24",49,50,9590,10001,12,".24%"
"2020-11-13",10025,"2020-11-26",49,50,9627,10054,13,".23%"
"2020-11-14",10056,"2020-11-27",49,50,9672,10058,13,".26%"
"2020-11-15",10079,"2020-11-28",49,50,9725,10097,13,".27%"
"2020-11-16",10112,"2020-11-29",49,50,9784,10121,13,".3%"
"2020-11-17",10135,"2020-11-30",49,50,9834,10204,13,".27%"
"2020-11-18",10173,"2020-11-30",49,50,9836,10204,12,".27%"
"2020-11-19",10205,"2020-12-01",50,50,9857,10226,12,"0.%"
"2020-11-20",10258,"2020-12-27",50,50,9902,10269,37,"0.%"
"2020-11-21",10300,"2020-12-29",50,50,9925,10312,38,"0.%"
"2020-11-22",10346,"2021-01-01",50,50,9943,10353,40,"0.%"
"2020-11-23",10389,"2021-01-04",50,50,9962,10390,42,"0.%"
"2020-11-24",10416,"2021-01-06",50,50,10001,10416,43,"0.%"
"2020-11-25",10447,"2021-01-08",50,50,10009,10459,44,"0.%"
"2020-11-26",10503,"2021-01-11",50,50,10054,10503,46,"0.%"
"2020-11-27",10543,"2021-01-15",50,50,10058,10543,49,"0.%"
"2020-11-28",10583,"2021-01-25",50,50,10097,10583,58,"0.%"
"2020-11-29",10613,"2021-01-29",50,50,10121,10613,61,"0.%"
"2020-11-30",10644,"2021-02-02",50,51,10204,10655,64,".22%"
"2020-12-01",10677,"2021-02-06",50,51,10226,10685,67,".22%"
"2020-12-26",10686,"2021-02-07",50,51,10245,10697,43,".22%"
"2020-12-27",10685,"2021-02-06",50,51,10269,10685,41,".24%"
"2020-12-28",10694,"2021-02-07",50,51,10294,10697,41,".25%"
"2020-12-29",10719,"2021-02-10",50,51,10312,10721,43,".24%"
"2020-12-30",10762,"2021-03-14",50,51,10335,10767,74,".23%"
"2021-01-01",10818,"2021-03-21",50,51,10353,10823,79,".21%"
"2021-01-02",10830,"2021-03-24",50,51,10367,10837,81,".21%"
