"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-11-15",1760,"2020-12-28",36,38,1706,1763,43,"3.51%"
"2020-11-16",1760,"2020-12-28",36,38,1705,1763,42,"3.45%"
"2020-11-17",1763,"2020-12-28",36,38,1709,1763,41,"3.7%"
"2020-11-18",1764,"2020-12-29",36,38,1711,1776,41,"3.08%"
"2020-11-19",1768,"2020-12-29",36,38,1712,1776,40,"3.12%"
"2020-11-20",1768,"2020-12-29",36,38,1722,1776,39,"3.7%"
"2020-11-21",1770,"2020-12-29",36,38,1726,1776,38,"4.%"
"2020-11-22",1772,"2020-12-29",36,38,1733,1776,37,"4.65%"
"2020-11-23",1777,"2020-12-30",36,38,1735,1791,37,"3.57%"
"2020-11-24",1780,"2020-12-30",36,38,1735,1791,36,"3.57%"
"2020-11-25",1785,"2020-12-30",36,38,1737,1791,35,"3.7%"
"2020-11-26",1787,"2020-12-30",37,38,1739,1791,34,"1.92%"
"2020-11-27",1789,"2020-12-30",37,38,1742,1791,33,"2.04%"
"2020-11-28",1796,"2021-01-03",37,38,1746,1797,36,"1.96%"
"2020-11-29",1801,"2021-01-06",37,38,1749,1802,38,"1.89%"
"2020-11-30",1802,"2021-01-06",38,38,1753,1802,37,"0.%"
"2020-12-01",1808,"2021-01-13",38,39,1755,1811,43,"1.79%"
"2020-12-26",1809,"2021-01-13",38,39,1757,1811,18,"1.85%"
"2020-12-27",1811,"2021-01-13",38,39,1759,1811,17,"1.92%"
"2020-12-28",1813,"2021-01-16",38,39,1763,1815,19,"1.92%"
"2020-12-29",1809,"2021-01-13",38,39,1776,1811,15,"2.86%"
"2020-12-30",1808,"2021-01-13",38,39,1791,1811,14,"5.%"
"2021-01-01",1816,"2021-01-17",38,39,1793,1816,16,"4.35%"
"2021-01-02",1814,"2021-01-16",38,39,1795,1815,14,"5.%"
"2021-01-03",1816,"2021-01-17",38,39,1797,1816,14,"5.26%"
"2021-01-04",1818,"2021-01-18",38,39,1799,1820,14,"4.76%"
"2021-01-05",1820,"2021-01-18",38,39,1800,1820,13,"5.%"
"2021-01-06",1820,"2021-01-18",38,39,1802,1820,12,"5.56%"
"2021-01-07",1823,"2021-01-19",38,39,1802,1825,12,"4.35%"
"2021-01-08",1825,"2021-01-19",38,39,1803,1825,11,"4.55%"
"2021-01-09",1834,"2021-01-26",38,39,1803,1835,17,"3.12%"
"2021-01-10",1837,"2021-01-30",38,39,1804,1837,20,"3.03%"
"2021-01-11",1838,"2021-01-31",38,39,1805,1841,20,"2.78%"
"2021-01-12",1838,"2021-01-31",38,39,1807,1841,19,"2.94%"
"2021-01-13",1842,"2021-02-02",39,39,1811,1843,20,"0.%"
"2021-01-14",1844,"2021-02-03",39,39,1812,1852,20,"0.%"
"2021-01-15",1845,"2021-02-03",39,39,1812,1852,19,"0.%"
"2021-01-16",1850,"2021-02-03",39,39,1815,1852,18,"0.%"
"2021-01-17",1849,"2021-02-03",39,39,1816,1852,17,"0.%"
"2021-01-18",1851,"2021-02-03",39,39,1820,1852,16,"0.%"
"2021-01-19",1852,"2021-02-03",39,39,1825,1852,15,"0.%"
"2021-01-20",1853,"2021-02-04",39,39,1827,1854,15,"0.%"
"2021-01-22",1856,"2021-02-05",39,39,1831,1856,14,"0.%"
"2021-01-24",1856,"2021-02-05",39,39,1832,1856,12,"0.%"
"2021-01-25",1856,"2021-02-05",39,39,1833,1856,11,"0.%"
"2021-01-26",1857,"2021-02-07",39,39,1835,1858,12,"0.%"
"2021-01-28",1858,"2021-02-07",39,39,1836,1858,10,"0.%"
"2021-01-29",1859,"2021-02-08",39,39,1836,1860,10,"0.%"
"2021-01-30",1860,"2021-02-08",39,39,1837,1860,9,"0.%"
"2021-01-31",1860,"2021-02-08",39,39,1841,1860,8,"0.%"
"2021-02-02",1860,"2021-02-08",39,39,1843,1860,6,"0.%"
"2021-02-03",1860,"2021-02-08",39,39,1852,1860,5,"0.%"
"2021-02-04",1863,"2021-02-21",39,39,1854,1866,17,"0.%"
"2021-02-05",1863,"2021-02-21",39,39,1856,1866,16,"0.%"
"2021-02-06",1864,"2021-02-21",39,39,1856,1866,15,"0.%"
"2021-02-07",1864,"2021-02-21",39,39,1858,1866,14,"0.%"
"2021-02-08",1864,"2021-02-21",39,39,1860,1866,13,"0.%"
"2021-02-11",1865,"2021-02-21",39,39,1860,1866,10,"0.%"
"2021-02-14",1864,"2021-02-21",39,39,1861,1866,7,"0.%"
"2021-02-15",1865,"2021-02-21",39,39,1861,1866,6,"0.%"
"2021-02-21",1865,"2021-02-21",39,39,1866,1866,0,"-"
"2021-02-23",1866,"2021-02-23",39,39,1874,1874,0,"-"
"2021-02-24",1866,"2021-02-24",39,39,1876,1876,0,"-"
"2021-02-25",1866,"2021-02-25",39,39,1877,1877,0,"-"
"2021-03-01",1867,"2021-03-01",39,39,1877,1877,0,"-"
"2021-03-05",1868,"2021-03-05",39,39,1878,1878,0,"-"
"2021-03-10",1868,"2021-03-10",39,39,1879,1879,0,"-"
"2021-03-16",1869,"2021-03-16",39,39,1879,1879,0,"-"
"2021-03-18",1870,"2021-03-18",39,39,1879,1879,0,"-"
"2021-03-19",1871,"2021-03-19",39,39,1879,1879,0,"-"
"2021-03-20",1872,"2021-03-20",39,39,1879,1879,0,"-"
"2021-03-21",1873,"2021-03-21",39,39,1879,1879,0,"-"
"2021-03-22",1873,"2021-03-22",39,39,1880,1880,0,"-"
"2021-03-23",1874,"2021-03-23",39,39,1880,1880,0,"-"
"2021-03-24",1875,"2021-03-24",39,39,1880,1880,0,"-"
"2021-03-25",1879,"2021-03-25",39,39,1880,1880,0,"-"
"2021-03-26",1883,"2021-03-29",39,39,1881,1883,3,"0.%"
"2021-03-28",1886,"2021-03-31",39,39,1882,1886,3,"0.%"
"2021-03-29",1886,"2021-03-31",39,39,1883,1886,2,"0.%"
"2021-03-30",1887,"2021-04-03",39,39,1884,1887,4,"0.%"
"2021-03-31",1889,"2021-04-05",39,39,1886,1892,5,"0.%"
"2021-04-01",1890,"2021-04-05",39,39,1886,1892,4,"0.%"
"2021-04-02",1907,"2021-04-11",39,40,1886,1908,9,"4.55%"
