"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-12-26",4017,"2021-01-01",47,47,3979,4024,6,"0.%"
"2020-12-27",4020,"2021-01-01",47,47,3995,4024,5,"0.%"
"2020-12-28",4023,"2021-01-01",47,47,3995,4024,4,"0.%"
"2020-12-29",4028,"2021-01-02",47,47,4003,4041,4,"0.%"
"2020-12-30",4037,"2021-01-02",47,47,4014,4041,3,"0.%"
"2021-01-01",4055,"2021-01-07",47,47,4024,4055,6,"0.%"
"2021-01-02",4060,"2021-01-08",47,47,4041,4072,6,"0.%"
"2021-01-03",4068,"2021-01-08",47,47,4045,4072,5,"0.%"
"2021-01-04",4069,"2021-01-08",47,47,4049,4072,4,"0.%"
"2021-01-05",4079,"2021-01-10",47,47,4050,4079,5,"0.%"
"2021-01-06",4086,"2021-01-11",47,47,4053,4087,5,"0.%"
"2021-01-07",4091,"2021-01-13",47,47,4055,4097,6,"0.%"
"2021-01-08",4093,"2021-01-13",47,47,4072,4097,5,"0.%"
"2021-01-09",4097,"2021-01-13",47,47,4073,4097,4,"0.%"
"2021-01-10",4101,"2021-01-14",47,47,4079,4104,4,"0.%"
"2021-01-11",4102,"2021-01-14",47,47,4087,4104,3,"0.%"
"2021-01-12",4103,"2021-01-14",47,47,4087,4104,2,"0.%"
"2021-01-13",4105,"2021-01-15",47,47,4097,4110,2,"0.%"
"2021-01-14",4110,"2021-01-15",47,47,4104,4110,1,"0.%"
"2021-01-15",4111,"2021-01-16",47,47,4110,4113,1,"0.%"
"2021-01-16",4111,"2021-01-16",47,47,4113,4113,0,"-"
"2021-01-17",4114,"2021-01-17",47,47,4114,4114,0,"-"
"2021-01-18",4116,"2021-01-18",47,47,4116,4116,0,"-"
"2021-01-19",4118,"2021-01-19",47,47,4119,4119,0,"-"
"2021-01-20",4120,"2021-01-20",47,47,4138,4138,0,"-"
"2021-01-21",4122,"2021-01-21",47,47,4138,4138,0,"-"
"2021-01-22",4122,"2021-01-22",47,47,4141,4141,0,"-"
"2021-01-24",4122,"2021-01-24",47,47,4144,4144,0,"-"
"2021-01-25",4124,"2021-01-25",47,47,4146,4146,0,"-"
"2021-01-26",4124,"2021-01-26",47,47,4153,4153,0,"-"
"2021-01-27",4124,"2021-01-27",47,47,4155,4155,0,"-"
"2021-01-28",4124,"2021-01-28",47,47,4157,4157,0,"-"
"2021-01-29",4124,"2021-01-29",47,47,4159,4159,0,"-"
"2021-01-30",4126,"2021-01-30",47,47,4159,4159,0,"-"
"2021-01-31",4126,"2021-01-31",47,47,4160,4160,0,"-"
"2021-02-02",4129,"2021-02-02",47,47,4160,4160,0,"-"
"2021-02-03",4129,"2021-02-03",47,47,4161,4161,0,"-"
"2021-02-04",4130,"2021-02-04",47,47,4161,4161,0,"-"
"2021-02-05",4132,"2021-02-05",47,47,4161,4161,0,"-"
"2021-02-06",4135,"2021-02-06",47,47,4161,4161,0,"-"
"2021-02-07",4138,"2021-02-07",47,47,4161,4161,0,"-"
"2021-02-08",4139,"2021-02-08",47,47,4162,4162,0,"-"
"2021-02-09",4142,"2021-02-09",47,47,4163,4163,0,"-"
"2021-02-10",4145,"2021-02-10",47,47,4165,4165,0,"-"
"2021-02-11",4152,"2021-02-11",47,47,4165,4165,0,"-"
"2021-02-12",4154,"2021-02-12",47,47,4166,4166,0,"-"
"2021-02-13",4155,"2021-02-13",47,47,4167,4167,0,"-"
"2021-02-14",4155,"2021-02-14",47,47,4168,4168,0,"-"
"2021-02-15",4155,"2021-02-15",47,47,4172,4172,0,"-"
"2021-02-16",4157,"2021-02-16",47,47,4175,4175,0,"-"
"2021-02-17",4159,"2021-02-17",47,47,4179,4179,0,"-"
"2021-02-19",4161,"2021-02-19",47,47,4181,4181,0,"-"
"2021-02-21",4161,"2021-02-21",47,47,4183,4183,0,"-"
"2021-02-23",4161,"2021-02-23",47,47,4186,4186,0,"-"
"2021-02-24",4161,"2021-02-24",47,47,4192,4192,0,"-"
"2021-02-27",4161,"2021-02-27",47,47,4193,4193,0,"-"
"2021-02-28",4162,"2021-02-28",47,47,4195,4195,0,"-"
"2021-03-04",4167,"2021-03-04",47,47,4195,4195,0,"-"
"2021-03-05",4168,"2021-03-05",47,47,4195,4195,0,"-"
"2021-03-06",4170,"2021-03-06",47,47,4195,4195,0,"-"
"2021-03-08",4172,"2021-03-08",47,47,4195,4195,0,"-"
"2021-03-09",4172,"2021-03-09",47,47,4196,4196,0,"-"
"2021-03-11",4173,"2021-03-11",47,47,4196,4196,0,"-"
"2021-03-12",4173,"2021-03-12",47,47,4199,4199,0,"-"
"2021-03-14",4176,"2021-03-14",47,47,4203,4203,0,"-"
"2021-03-15",4177,"2021-03-15",47,47,4204,4204,0,"-"
"2021-03-16",4180,"2021-03-16",47,47,4204,4204,0,"-"
"2021-03-18",4183,"2021-03-18",47,47,4206,4206,0,"-"
"2021-03-20",4186,"2021-03-20",47,47,4207,4207,0,"-"
"2021-03-21",4189,"2021-03-21",47,47,4207,4207,0,"-"
"2021-03-22",4191,"2021-03-22",47,47,4207,4207,0,"-"
"2021-03-23",4191,"2021-03-23",47,47,4209,4209,0,"-"
"2021-03-24",4191,"2021-03-24",47,47,4212,4212,0,"-"
"2021-03-25",4198,"2021-03-25",47,47,4214,4214,0,"-"
