"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-09-20",4196,"2020-10-04",63,68,3666,4207,14,".92%"
"2020-09-21",4253,"2020-10-06",63,71,3704,4290,15,"1.37%"
"2020-09-22",4294,"2020-10-07",63,74,3748,4326,15,"1.9%"
"2020-09-23",4326,"2020-10-07",63,74,3788,4326,14,"2.04%"
"2020-09-24",4346,"2020-10-09",63,75,3809,4360,15,"2.18%"
"2020-09-25",4376,"2020-10-10",63,78,3883,4435,15,"2.72%"
"2020-09-26",4371,"2020-10-10",64,78,3872,4435,14,"2.49%"
"2020-09-27",4391,"2020-10-10",64,78,3909,4435,13,"2.66%"
"2020-09-28",4420,"2020-10-10",64,78,3962,4435,12,"2.96%"
"2020-09-29",4446,"2020-10-11",64,78,3998,4465,12,"3.%"
"2020-09-30",4496,"2020-10-12",64,78,4033,4496,12,"3.02%"
"2020-10-01",4532,"2020-10-13",64,78,4082,4589,12,"2.76%"
"2020-10-02",4579,"2020-10-13",64,78,4126,4589,11,"3.02%"
"2020-10-03",4606,"2020-10-14",66,78,4183,4631,11,"2.68%"
"2020-10-04",4649,"2020-10-15",68,78,4207,4650,11,"2.26%"
"2020-10-05",4711,"2020-10-17",70,78,4248,4713,12,"1.72%"
"2020-10-06",4738,"2020-10-18",71,78,4290,4750,12,"1.52%"
"2020-10-07",4779,"2020-10-19",74,79,4326,4806,12,"1.04%"
"2020-10-08",4824,"2020-10-20",75,80,4334,4841,12,".99%"
"2020-10-09",4862,"2020-10-21",75,80,4360,4898,12,".93%"
"2020-10-10",4900,"2020-10-22",79,81,4435,4917,12,".41%"
"2020-10-11",4949,"2020-10-23",80,81,4465,4951,12,".21%"
"2020-10-12",4973,"2020-10-24",81,83,4496,4979,12,".41%"
"2020-10-13",5002,"2020-10-26",81,84,4589,5010,13,".71%"
"2020-10-14",5033,"2020-10-28",81,86,4631,5034,14,"1.24%"
"2020-10-15",5064,"2020-10-29",81,86,4650,5075,14,"1.18%"
"2020-10-16",5095,"2020-10-30",78,86,4674,5151,14,"1.68%"
"2020-10-17",5115,"2020-10-30",78,86,4713,5151,13,"1.83%"
"2020-10-18",5155,"2020-10-31",78,86,4750,5171,13,"1.9%"
"2020-10-19",5162,"2020-10-31",79,86,4806,5171,12,"1.92%"
"2020-10-20",5173,"2020-11-01",80,86,4841,5209,12,"1.63%"
"2020-10-21",5195,"2020-11-01",80,86,4898,5209,11,"1.93%"
