"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-11-03",6848,"2020-11-15",91,94,6579,6853,12,"1.09%"
"2020-11-04",6876,"2020-11-17",91,94,6601,6891,13,"1.03%"
"2020-11-05",6898,"2020-11-18",91,94,6620,6906,13,"1.05%"
"2020-11-06",6921,"2020-11-21",91,95,6640,6926,15,"1.4%"
"2020-11-07",6935,"2020-11-22",92,95,6661,6944,15,"1.06%"
"2020-11-08",6983,"2020-11-23",93,96,6697,7006,15,".97%"
"2020-11-09",7000,"2020-11-23",94,96,6713,7006,14,".68%"
"2020-11-10",7012,"2020-11-24",94,96,6745,7057,14,".64%"
"2020-11-11",7026,"2020-11-24",94,96,6778,7057,13,".72%"
"2020-11-12",7038,"2020-11-24",94,96,6796,7057,12,".77%"
"2020-11-13",7055,"2020-11-24",94,96,6820,7057,11,".84%"
"2020-11-14",7082,"2020-11-28",94,98,6835,7097,14,"1.53%"
"2020-11-15",7119,"2020-11-30",94,98,6853,7145,15,"1.37%"
"2020-11-16",7123,"2020-11-30",94,98,6869,7145,14,"1.45%"
"2020-11-17",7136,"2020-11-30",94,98,6891,7145,13,"1.57%"
"2020-11-18",7146,"2020-12-01",94,98,6906,7170,13,"1.52%"
"2020-11-19",7162,"2020-12-01",94,98,6911,7170,12,"1.54%"
"2020-11-20",7182,"2020-12-27",95,100,6918,7198,37,"1.79%"
"2020-11-21",7211,"2020-12-28",95,100,6926,7216,37,"1.72%"
"2020-11-22",7237,"2020-12-30",95,100,6944,7266,38,"1.55%"
"2020-11-23",7259,"2020-12-30",96,100,7006,7266,37,"1.54%"
"2020-11-24",7280,"2021-01-01",96,101,7057,7302,38,"2.04%"
"2020-11-25",7290,"2021-01-01",96,101,7065,7302,37,"2.11%"
"2020-11-26",7310,"2021-01-02",96,101,7069,7315,37,"2.03%"
"2020-11-27",7331,"2021-01-04",96,101,7080,7337,38,"1.95%"
"2020-11-28",7357,"2021-01-07",98,102,7097,7364,40,"1.5%"
"2020-11-29",7378,"2021-01-09",98,102,7118,7382,41,"1.52%"
"2020-11-30",7386,"2021-01-11",98,102,7145,7391,42,"1.63%"
"2020-12-01",7395,"2021-01-12",98,102,7170,7395,42,"1.78%"
"2020-12-26",7410,"2021-01-16",99,102,7178,7414,21,"1.27%"
"2020-12-27",7425,"2021-01-19",100,102,7198,7432,23,".85%"
"2020-12-28",7435,"2021-01-24",100,102,7216,7441,27,".89%"
"2020-12-29",7443,"2021-01-25",100,102,7235,7443,27,".96%"
"2020-12-30",7462,"2021-02-24",100,102,7266,7462,56,"1.02%"
"2021-01-01",7485,"2021-02-27",101,102,7302,7515,57,".47%"
"2021-01-02",7491,"2021-02-27",101,102,7315,7515,56,".5%"
"2021-01-03",7499,"2021-02-27",101,102,7327,7515,55,".53%"
"2021-01-04",7507,"2021-02-27",101,102,7337,7515,54,".56%"
"2021-01-05",7512,"2021-02-27",102,102,7350,7515,53,"0.%"
"2021-01-06",7514,"2021-02-27",102,102,7356,7515,52,"0.%"
"2021-01-07",7525,"2021-03-06",102,102,7364,7533,58,"0.%"
"2021-01-08",7537,"2021-03-09",102,102,7369,7537,60,"0.%"
"2021-01-09",7544,"2021-03-16",102,102,7382,7545,66,"0.%"
"2021-01-10",7553,"2021-03-24",102,102,7385,7553,73,"0.%"
"2021-01-11",7556,"2021-03-26",102,102,7391,7560,74,"0.%"
"2021-01-12",7557,"2021-03-26",102,102,7395,7560,73,"0.%"
"2021-01-13",7559,"2021-03-26",102,102,7401,7560,72,"0.%"
"2021-01-14",7562,"2021-03-27",102,102,7405,7562,72,"0.%"
"2021-01-15",7569,"2021-04-01",102,103,7407,7569,76,".62%"
"2021-01-16",7570,"2021-04-02",102,104,7414,7570,76,"1.28%"
"2021-01-17",7574,"2021-04-05",102,105,7422,7574,78,"1.97%"
"2021-01-18",7581,"2021-04-06",102,105,7422,7581,78,"1.89%"
"2021-01-19",7584,"2021-04-07",102,109,7432,7588,78,"4.49%"
"2021-01-20",7585,"2021-04-07",102,109,7433,7588,77,"4.52%"
"2021-01-21",7587,"2021-04-07",102,109,7433,7588,76,"4.52%"
"2021-01-23",7590,"2021-04-08",102,109,7433,7597,75,"4.27%"
"2021-01-24",7591,"2021-04-08",102,109,7441,7597,74,"4.49%"
"2021-01-25",7593,"2021-04-08",102,109,7443,7597,73,"4.55%"
"2021-01-26",7590,"2021-04-08",102,109,7445,7597,72,"4.61%"
"2021-01-27",7591,"2021-04-08",102,109,7448,7597,71,"4.7%"
"2021-01-28",7592,"2021-04-08",102,109,7450,7597,70,"4.76%"
"2021-01-29",7593,"2021-04-08",102,109,7450,7597,69,"4.76%"
"2021-01-30",7594,"2021-04-08",102,109,7451,7597,68,"4.79%"
"2021-01-31",7596,"2021-04-08",102,109,7452,7597,67,"4.83%"
"2021-02-01",7597,"2021-04-08",102,109,7453,7597,66,"4.86%"
"2021-02-02",7599,"2021-04-09",102,109,7453,7601,66,"4.73%"
"2021-02-03",7601,"2021-04-09",102,109,7453,7601,65,"4.73%"
"2021-02-04",7602,"2021-04-10",102,110,7453,7625,65,"4.65%"
"2021-02-07",7603,"2021-04-10",102,110,7453,7625,62,"4.65%"
"2021-02-08",7604,"2021-04-10",102,110,7453,7625,61,"4.65%"
"2021-02-09",7606,"2021-04-10",102,110,7453,7625,60,"4.65%"
"2021-02-11",7606,"2021-04-10",102,110,7454,7625,58,"4.68%"
"2021-02-12",7604,"2021-04-10",102,110,7455,7625,57,"4.71%"
"2021-02-13",7604,"2021-04-10",102,110,7457,7625,56,"4.76%"
"2021-02-17",7606,"2021-04-10",102,110,7457,7625,52,"4.76%"
"2021-02-19",7606,"2021-04-10",102,110,7458,7625,50,"4.79%"
"2021-02-21",7607,"2021-04-10",102,110,7458,7625,48,"4.79%"
"2021-02-24",7606,"2021-04-10",102,110,7462,7625,45,"4.91%"
"2021-02-25",7609,"2021-04-10",102,110,7469,7625,44,"5.13%"
"2021-02-27",7609,"2021-04-10",102,110,7515,7625,42,"7.27%"
"2021-02-28",7611,"2021-04-10",102,110,7515,7625,41,"7.27%"
"2021-03-01",7614,"2021-04-10",102,110,7516,7625,40,"7.34%"
"2021-03-02",7615,"2021-04-10",102,110,7517,7625,39,"7.41%"
"2021-03-03",7616,"2021-04-10",102,110,7517,7625,38,"7.41%"
"2021-03-04",7619,"2021-04-10",102,110,7517,7625,37,"7.41%"
"2021-03-05",7621,"2021-04-10",102,110,7517,7625,36,"7.41%"
"2021-03-06",7621,"2021-04-10",102,110,7533,7625,35,"8.7%"
"2021-03-07",7622,"2021-04-10",102,110,7534,7625,34,"8.79%"
"2021-03-08",7623,"2021-04-10",102,110,7535,7625,33,"8.89%"
"2021-03-09",7625,"2021-04-10",102,110,7537,7625,32,"9.09%"
"2021-03-10",7626,"2021-04-11",102,111,7537,7636,32,"9.09%"
"2021-03-11",7627,"2021-04-11",102,111,7539,7636,31,"9.28%"
"2021-03-14",7627,"2021-04-11",102,111,7543,7636,28,"9.68%"
"2021-03-15",7629,"2021-04-11",102,111,7543,7636,27,"9.68%"
"2021-03-16",7631,"2021-04-11",102,111,7545,7636,26,"9.89%"
"2021-03-17",7637,"2021-04-12",102,112,7546,7657,26,"9.01%"
"2021-03-18",7639,"2021-04-12",102,112,7546,7657,25,"9.01%"
"2021-03-19",7640,"2021-04-12",102,112,7546,7657,24,"9.01%"
"2021-03-20",7641,"2021-04-12",102,112,7549,7657,23,"9.26%"
"2021-03-21",7641,"2021-04-12",102,112,7550,7657,22,"9.35%"
"2021-03-22",7642,"2021-04-12",102,112,7550,7657,21,"9.35%"
"2021-03-23",7645,"2021-04-12",102,112,7551,7657,20,"9.43%"
"2021-03-24",7650,"2021-04-12",102,112,7553,7657,19,"9.62%"
"2021-03-25",7649,"2021-04-12",102,112,7554,7657,18,"9.71%"
"2021-03-26",7651,"2021-04-12",102,112,7560,7657,17,"10.31%"
"2021-03-27",7657,"2021-04-12",102,112,7562,7657,16,"10.53%"
"2021-03-28",7669,"2021-04-13",103,113,7564,7690,16,"7.94%"
"2021-03-29",7675,"2021-04-13",103,113,7564,7690,15,"7.94%"
"2021-03-30",7683,"2021-04-13",103,113,7565,7690,14,"8.%"
"2021-03-31",7686,"2021-04-13",103,113,7565,7690,13,"8.%"
"2021-04-01",7704,"2021-04-14",103,114,7569,7741,13,"6.4%"
"2021-04-02",7764,"2021-04-16",104,120,7570,7819,14,"6.43%"
"2021-04-03",7795,"2021-04-16",105,120,7572,7819,13,"6.07%"
"2021-04-04",7837,"2021-04-17",105,120,7573,7873,13,"5.%"
"2021-04-05",7879,"2021-04-18",105,122,7574,7940,13,"4.64%"
"2021-04-06",7928,"2021-04-18",105,122,7581,7940,12,"4.74%"
"2021-04-07",8025,"2021-04-19",109,127,7588,8099,12,"3.52%"
"2021-04-08",8099,"2021-04-19",109,127,7597,8099,11,"3.59%"
"2021-04-09",8208,"2021-04-20",109,130,7601,8210,11,"3.45%"
"2021-04-10",8395,"2021-04-22",110,136,7625,8497,12,"2.98%"
