"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-05-22",34,"2020-06-06",,1,,35,15,"-"
"2020-05-24",35,"2020-06-06",,1,,35,13,"-"
"2020-05-25",36,"2020-06-07",,1,,37,13,"-"
"2020-05-28",38,"2020-06-07",,1,,38,10,"-"
"2020-05-31",40,"2020-06-11",,1,,40,11,"-"
"2020-06-01",41,"2020-06-13",,1,,41,12,"-"
"2020-06-02",41,"2020-06-13",,1,,41,11,"-"
"2020-06-05",43,"2020-06-18",,1,,43,13,"-"
"2020-06-06",45,"2020-06-21",1,2,35,50,15,"6.67%"
"2020-06-07",45,"2020-06-21",1,2,38,50,14,"8.33%"
"2020-06-08",45,"2020-06-21",1,2,37,50,13,"7.69%"
"2020-06-09",48,"2020-06-21",1,2,38,50,12,"8.33%"
"2020-06-11",48,"2020-06-21",2,2,40,50,10,"0.%"
"2020-06-12",52,"2020-06-23",2,2,40,55,11,"0.%"
"2020-06-13",52,"2020-06-23",2,2,42,55,10,"0.%"
"2020-06-14",60,"2020-06-26",2,2,42,64,12,"0.%"
"2020-06-15",61,"2020-06-26",2,2,42,64,11,"0.%"
"2020-06-17",63,"2020-06-26",1,2,41,64,9,"4.35%"
"2020-06-18",63,"2020-06-26",1,2,43,64,8,"4.76%"
"2020-06-19",81,"2020-06-28",1,2,44,81,9,"2.7%"
"2020-06-20",88,"2020-07-01",1,2,44,90,11,"2.17%"
"2020-06-21",91,"2020-07-02",2,2,50,96,11,"0.%"
"2020-06-22",93,"2020-07-02",2,2,50,96,10,"0.%"
"2020-06-23",98,"2020-07-03",2,2,55,99,10,"0.%"
"2020-06-24",98,"2020-07-03",2,2,58,99,9,"0.%"
"2020-06-25",122,"2020-07-07",2,2,58,126,12,"0.%"
"2020-06-26",122,"2020-07-07",2,2,64,126,11,"0.%"
"2020-06-27",127,"2020-07-08",2,2,68,130,11,"0.%"
"2020-06-28",127,"2020-07-08",2,2,81,130,10,"0.%"
"2020-06-29",134,"2020-07-10",2,2,86,137,11,"0.%"
"2020-06-30",138,"2020-07-11",2,2,87,138,11,"0.%"
"2020-07-01",141,"2020-07-13",2,2,90,148,12,"0.%"
"2020-07-02",141,"2020-07-13",2,2,96,148,11,"0.%"
"2020-07-03",153,"2020-07-15",2,2,99,163,12,"0.%"
"2020-07-04",153,"2020-07-15",2,2,114,163,11,"0.%"
"2020-07-05",157,"2020-07-15",2,2,115,163,10,"0.%"
"2020-07-06",175,"2020-07-18",2,2,120,179,12,"0.%"
"2020-07-07",178,"2020-07-18",2,2,126,179,11,"0.%"
"2020-07-08",180,"2020-07-19",2,2,130,186,11,"0.%"
"2020-07-09",188,"2020-07-20",2,2,133,188,11,"0.%"
"2020-07-10",196,"2020-07-21",2,2,137,206,11,"0.%"
"2020-07-11",200,"2020-07-21",2,2,138,206,10,"0.%"
"2020-07-12",201,"2020-07-21",2,2,138,206,9,"0.%"
"2020-07-13",236,"2020-07-26",2,3,148,245,13,"1.03%"
"2020-07-14",242,"2020-07-26",2,3,151,245,12,"1.06%"
"2020-07-15",243,"2020-07-26",2,3,163,245,11,"1.22%"
"2020-07-16",244,"2020-07-26",2,3,170,245,10,"1.33%"
"2020-07-17",247,"2020-07-27",2,3,174,264,10,"1.11%"
"2020-07-18",250,"2020-07-27",2,3,179,264,9,"1.18%"
"2020-07-19",271,"2020-07-28",2,3,186,274,9,"1.14%"
"2020-07-20",277,"2020-07-29",2,3,188,277,9,"1.12%"
"2020-07-21",282,"2020-07-30",2,3,206,285,9,"1.27%"
"2020-07-22",289,"2020-07-31",3,3,225,292,9,"0.%"
"2020-07-23",296,"2020-08-01",3,3,235,305,9,"0.%"
"2020-07-24",297,"2020-08-01",3,3,235,305,8,"0.%"
"2020-07-25",320,"2020-08-04",3,4,235,328,10,"1.08%"
"2020-07-26",333,"2020-08-06",3,4,245,356,11,".9%"
"2020-07-27",338,"2020-08-06",3,4,264,356,10,"1.09%"
"2020-07-28",347,"2020-08-06",3,4,274,356,9,"1.22%"
"2020-07-29",350,"2020-08-06",3,4,277,356,8,"1.27%"
"2020-07-30",366,"2020-08-07",3,5,285,379,8,"2.13%"
"2020-07-31",430,"2020-08-11",3,5,292,433,11,"1.42%"
"2020-08-01",445,"2020-08-12",3,5,305,445,11,"1.43%"
"2020-08-02",461,"2020-08-14",4,6,307,553,12,".81%"
"2020-08-03",531,"2020-08-14",4,6,310,553,11,".82%"
"2020-08-04",544,"2020-08-14",4,6,328,553,10,".89%"
"2020-08-05",596,"2020-08-18",4,6,331,631,13,".67%"
"2020-08-06",600,"2020-08-18",4,6,356,631,12,".73%"
"2020-08-07",613,"2020-08-18",5,6,379,631,11,".4%"
"2020-08-08",623,"2020-08-18",5,6,390,631,10,".41%"
"2020-08-09",649,"2020-08-19",5,6,407,660,10,".4%"
"2020-08-10",666,"2020-08-20",5,6,428,688,10,".38%"
"2020-08-11",677,"2020-08-20",5,6,433,688,9,".39%"
"2020-08-12",704,"2020-08-21",5,6,445,713,9,".37%"
"2020-08-13",734,"2020-08-23",5,10,449,769,10,"1.56%"
"2020-08-14",751,"2020-08-23",6,10,553,769,9,"1.85%"
"2020-08-15",793,"2020-08-24",6,10,556,805,9,"1.61%"
"2020-08-16",809,"2020-08-25",6,10,556,818,9,"1.53%"
"2020-08-17",877,"2020-08-27",6,11,574,886,10,"1.6%"
"2020-08-18",882,"2020-08-27",6,11,631,886,9,"1.96%"
"2020-08-19",938,"2020-08-29",6,11,660,1051,10,"1.28%"
"2020-08-20",971,"2020-08-29",6,11,688,1051,9,"1.38%"
"2020-08-21",1060,"2020-08-31",6,12,713,1084,10,"1.62%"
"2020-08-22",1110,"2020-09-01",10,12,733,1203,10,".43%"
"2020-08-23",1197,"2020-09-01",10,12,769,1203,9,".46%"
"2020-08-24",1244,"2020-09-03",10,14,805,1274,10,".85%"
"2020-08-25",1314,"2020-09-04",10,14,818,1338,10,".77%"
"2020-08-26",1354,"2020-09-06",11,14,838,1384,11,".55%"
"2020-08-27",1393,"2020-09-07",11,15,886,1409,11,".76%"
"2020-08-28",1431,"2020-09-08",11,15,922,1459,11,".74%"
"2020-08-29",1455,"2020-09-08",11,15,1051,1459,10,".98%"
"2020-08-30",1492,"2020-09-10",11,16,1057,1516,11,"1.09%"
"2020-08-31",1524,"2020-09-11",12,16,1084,1531,11,".89%"
"2020-09-01",1571,"2020-09-12",12,17,1203,1602,11,"1.25%"
"2020-09-02",1603,"2020-09-13",13,21,1223,1654,11,"1.86%"
"2020-09-03",1654,"2020-09-13",14,21,1274,1654,10,"1.84%"
"2020-09-04",1708,"2020-09-15",14,22,1338,1776,11,"1.83%"
"2020-09-05",1760,"2020-09-15",14,22,1346,1776,10,"1.86%"
"2020-09-06",1813,"2020-09-17",14,22,1384,1832,11,"1.79%"
"2020-09-07",1840,"2020-09-18",15,24,1409,1898,11,"1.84%"
"2020-09-08",1893,"2020-09-18",15,24,1459,1898,10,"2.05%"
"2020-09-09",1940,"2020-09-19",15,25,1468,1950,10,"2.07%"
"2020-09-10",1988,"2020-09-21",16,28,1516,2033,11,"2.32%"
"2020-09-11",2058,"2020-09-22",16,30,1531,2073,11,"2.58%"
"2020-09-12",2100,"2020-09-23",17,30,1602,2110,11,"2.56%"
"2020-09-13",2147,"2020-09-24",21,30,1654,2157,11,"1.79%"
"2020-09-14",2193,"2020-09-25",22,30,1684,2224,11,"1.48%"
"2020-09-15",2232,"2020-09-26",22,30,1776,2271,11,"1.62%"
"2020-09-16",2276,"2020-09-27",22,30,1805,2305,11,"1.6%"
"2020-09-17",2320,"2020-09-28",22,30,1832,2380,11,"1.46%"
"2020-09-18",2404,"2020-09-29",24,30,1898,2421,11,"1.15%"
"2020-09-19",2452,"2020-10-01",25,36,1950,2486,12,"2.05%"
"2020-09-20",2493,"2020-10-02",27,36,1977,2533,12,"1.62%"
"2020-09-21",2519,"2020-10-02",28,36,2033,2533,11,"1.6%"
"2020-09-22",2550,"2020-10-03",30,36,2073,2571,11,"1.2%"
"2020-09-23",2578,"2020-10-04",30,36,2110,2598,11,"1.23%"
"2020-09-24",2605,"2020-10-05",30,37,2157,2643,11,"1.44%"
"2020-09-25",2659,"2020-10-06",30,37,2224,2663,11,"1.59%"
"2020-09-26",2687,"2020-10-07",30,38,2271,2708,11,"1.83%"
"2020-09-27",2719,"2020-10-08",30,39,2305,2725,11,"2.14%"
"2020-09-28",2744,"2020-10-09",30,39,2380,2749,11,"2.44%"
"2020-09-29",2768,"2020-10-11",30,40,2421,2783,12,"2.76%"
"2020-09-30",2783,"2020-10-11",30,40,2451,2783,11,"3.01%"
"2020-10-01",2799,"2020-10-12",36,40,2486,2799,11,"1.28%"
"2020-10-02",2808,"2020-10-13",36,40,2533,2810,11,"1.44%"
"2020-10-03",2817,"2020-10-14",36,40,2571,2825,11,"1.57%"
"2020-10-04",2836,"2020-10-16",36,40,2598,2840,12,"1.65%"
"2020-10-05",2839,"2020-10-16",37,40,2643,2840,11,"1.52%"
"2020-10-06",2850,"2020-10-17",37,40,2663,2856,11,"1.55%"
"2020-10-07",2865,"2020-10-18",38,40,2708,2878,11,"1.18%"
"2020-10-08",2873,"2020-10-18",39,40,2725,2878,10,".65%"
"2020-10-09",2889,"2020-10-20",39,40,2749,2895,11,".68%"
"2020-10-10",2901,"2020-10-21",40,41,2765,2908,11,".7%"
"2020-10-11",2921,"2020-10-22",40,41,2783,2922,11,".72%"
"2020-10-12",2940,"2020-10-25",40,41,2799,2954,13,".65%"
"2020-10-13",2948,"2020-10-25",40,41,2810,2954,12,".69%"
"2020-10-14",2949,"2020-10-25",40,41,2825,2954,11,".78%"
"2020-10-15",2959,"2020-10-26",40,41,2825,2967,11,".7%"
"2020-10-16",2969,"2020-10-27",40,41,2840,2970,11,".77%"
"2020-10-17",2979,"2020-10-30",40,41,2856,2986,13,".77%"
"2020-10-18",2986,"2020-10-30",40,41,2878,2986,12,".93%"
"2020-10-19",2992,"2020-10-31",40,41,2887,3000,12,".88%"
"2020-10-20",3001,"2020-11-01",40,41,2895,3009,12,".88%"
"2020-10-21",3006,"2020-11-01",41,41,2908,3009,11,"0.%"
"2020-10-22",3011,"2020-11-02",41,41,2922,3021,11,"0.%"
"2020-10-23",3022,"2020-11-03",41,41,2931,3037,11,"0.%"
"2020-10-24",3037,"2020-11-03",41,41,2935,3037,10,"0.%"
"2020-10-25",3046,"2020-11-06",41,41,2954,3051,12,"0.%"
"2020-10-26",3100,"2020-11-09",41,41,2967,3126,14,"0.%"
"2020-10-27",3101,"2020-11-09",41,41,2970,3126,13,"0.%"
"2020-10-28",3106,"2020-11-09",41,41,2973,3126,12,"0.%"
"2020-10-29",3120,"2020-11-09",41,41,2977,3126,11,"0.%"
"2020-10-30",3132,"2020-11-11",41,41,2986,3142,12,"0.%"
"2020-10-31",3141,"2020-11-11",41,41,3000,3142,11,"0.%"
"2020-11-01",3151,"2020-11-12",41,41,3009,3165,11,"0.%"
"2020-11-02",3159,"2020-11-12",41,41,3021,3165,10,"0.%"
"2020-11-03",3176,"2020-11-13",41,41,3037,3185,10,"0.%"
