"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-02-05",4576,"2021-03-30",59,60,4521,4580,53,"1.69%"
"2021-02-08",4577,"2021-03-30",59,60,4522,4580,50,"1.72%"
"2021-02-09",4578,"2021-03-30",59,60,4522,4580,49,"1.72%"
"2021-02-10",4581,"2021-03-31",59,61,4525,4596,49,"2.82%"
"2021-02-11",4581,"2021-03-31",59,61,4528,4596,48,"2.94%"
"2021-02-12",4581,"2021-03-31",59,61,4533,4596,47,"3.17%"
"2021-02-13",4581,"2021-03-31",59,61,4539,4596,46,"3.51%"
"2021-02-15",4584,"2021-03-31",59,61,4539,4596,44,"3.51%"
"2021-02-16",4586,"2021-03-31",59,61,4539,4596,43,"3.51%"
"2021-02-17",4587,"2021-03-31",60,61,4540,4596,42,"1.79%"
"2021-02-19",4589,"2021-03-31",60,61,4540,4596,40,"1.79%"
"2021-02-20",4590,"2021-03-31",60,61,4542,4596,39,"1.85%"
"2021-02-23",4591,"2021-03-31",60,61,4546,4596,36,"2.%"
"2021-02-25",4592,"2021-03-31",60,61,4547,4596,34,"2.04%"
"2021-02-26",4592,"2021-03-31",60,61,4548,4596,33,"2.08%"
"2021-02-27",4593,"2021-03-31",60,61,4549,4596,32,"2.13%"
"2021-02-28",4594,"2021-03-31",60,61,4549,4596,31,"2.13%"
"2021-03-01",4594,"2021-03-31",60,61,4550,4596,30,"2.17%"
"2021-03-04",4594,"2021-03-31",60,61,4551,4596,27,"2.22%"
"2021-03-05",4594,"2021-03-31",60,61,4553,4596,26,"2.33%"
"2021-03-06",4595,"2021-03-31",60,61,4554,4596,25,"2.38%"
"2021-03-08",4597,"2021-04-01",60,61,4554,4597,24,"2.33%"
"2021-03-09",4598,"2021-04-02",60,61,4555,4607,24,"1.92%"
"2021-03-10",4600,"2021-04-02",60,61,4556,4607,23,"1.96%"
"2021-03-11",4602,"2021-04-02",60,61,4556,4607,22,"1.96%"
"2021-03-14",4603,"2021-04-02",60,61,4556,4607,19,"1.96%"
"2021-03-15",4605,"2021-04-02",60,61,4556,4607,18,"1.96%"
"2021-03-16",4605,"2021-04-02",60,61,4557,4607,17,"2.%"
