"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-09-11",904,"2020-09-21",5,5,655,940,10,"0.%"
"2020-09-12",930,"2020-09-21",5,5,724,940,9,"0.%"
"2020-09-13",954,"2020-09-22",5,5,754,970,9,"0.%"
"2020-09-14",960,"2020-09-22",5,5,787,970,8,"0.%"
"2020-09-15",985,"2020-09-23",5,6,795,997,8,".5%"
"2020-09-16",1017,"2020-09-25",5,8,804,1025,9,"1.36%"
"2020-09-17",1037,"2020-09-26",5,9,833,1056,9,"1.79%"
"2020-09-18",1056,"2020-09-26",5,9,837,1056,8,"1.83%"
"2020-09-19",1098,"2020-09-29",5,10,865,1135,10,"1.85%"
"2020-09-20",1128,"2020-09-29",5,10,890,1135,9,"2.04%"
"2020-09-21",1163,"2020-10-01",5,10,940,1174,10,"2.14%"
"2020-09-22",1184,"2020-10-02",5,10,970,1205,10,"2.13%"
"2020-09-23",1200,"2020-10-02",6,10,997,1205,9,"1.92%"
"2020-09-24",1211,"2020-10-04",7,10,1000,1248,10,"1.21%"
"2020-09-25",1230,"2020-10-04",8,10,1025,1248,9,".9%"
"2020-09-26",1260,"2020-10-06",9,10,1056,1266,10,".48%"
"2020-09-27",1274,"2020-10-07",9,10,1066,1278,10,".47%"
"2020-09-28",1278,"2020-10-07",9,10,1090,1278,9,".53%"
"2020-09-29",1284,"2020-10-09",10,10,1135,1295,10,"0.%"
"2020-09-30",1293,"2020-10-09",10,10,1160,1295,9,"0.%"
"2020-10-01",1309,"2020-10-12",10,10,1174,1317,11,"0.%"
"2020-10-02",1320,"2020-10-13",10,10,1205,1330,11,"0.%"
"2020-10-03",1331,"2020-10-14",10,10,1210,1354,11,"0.%"
"2020-10-04",1348,"2020-10-14",10,10,1248,1354,10,"0.%"
"2020-10-05",1355,"2020-10-15",10,10,1250,1364,10,"0.%"
"2020-10-06",1372,"2020-10-16",10,10,1266,1375,10,"0.%"
"2020-10-07",1380,"2020-10-17",10,12,1278,1397,10,"1.68%"
"2020-10-08",1396,"2020-10-17",10,12,1279,1397,9,"1.69%"
"2020-10-09",1405,"2020-10-18",10,12,1295,1410,9,"1.74%"
"2020-10-10",1423,"2020-10-20",10,12,1296,1443,10,"1.36%"
"2020-10-11",1438,"2020-10-20",10,12,1307,1443,9,"1.47%"
"2020-10-12",1452,"2020-10-21",10,12,1317,1461,9,"1.39%"
"2020-10-13",1483,"2020-10-23",10,12,1330,1501,10,"1.17%"
"2020-10-14",1507,"2020-10-24",10,12,1354,1523,10,"1.18%"
"2020-10-15",1515,"2020-10-24",10,12,1364,1523,9,"1.26%"
"2020-10-16",1532,"2020-10-25",10,12,1375,1541,9,"1.2%"
"2020-10-17",1554,"2020-10-27",12,12,1397,1576,10,"0.%"
"2020-10-18",1565,"2020-10-27",12,12,1410,1576,9,"0.%"
"2020-10-19",1588,"2020-10-29",12,12,1416,1627,10,"0.%"
"2020-10-20",1597,"2020-10-29",12,12,1443,1627,9,"0.%"
"2020-10-21",1650,"2020-10-31",12,12,1461,1672,10,"0.%"
"2020-10-22",1666,"2020-10-31",12,12,1465,1672,9,"0.%"
"2020-10-23",1686,"2020-11-01",12,12,1501,1691,9,"0.%"
"2020-10-24",1708,"2020-11-03",12,12,1523,1718,10,"0.%"
"2020-10-25",1716,"2020-11-03",12,12,1541,1718,9,"0.%"
"2020-10-26",1726,"2020-11-06",12,12,1548,1741,11,"0.%"
"2020-10-27",1734,"2020-11-06",12,12,1576,1741,10,"0.%"
"2020-10-28",1746,"2020-11-07",12,12,1582,1760,10,"0.%"
"2020-10-29",1759,"2020-11-07",12,12,1627,1760,9,"0.%"
"2020-10-30",1774,"2020-11-08",12,12,1645,1791,9,"0.%"
"2020-10-31",1781,"2020-11-08",12,12,1672,1791,8,"0.%"
"2020-11-01",1791,"2020-11-08",12,12,1691,1791,7,"0.%"
"2020-11-02",1805,"2020-11-10",12,12,1706,1827,8,"0.%"
"2020-11-03",1817,"2020-11-10",12,12,1718,1827,7,"0.%"
"2020-11-04",1834,"2020-11-11",12,12,1721,1839,7,"0.%"
"2020-11-05",1836,"2020-11-11",12,12,1724,1839,6,"0.%"
"2020-11-06",1853,"2020-11-13",12,12,1741,1854,7,"0.%"
"2020-11-07",1869,"2020-11-15",12,12,1760,1870,8,"0.%"
"2020-11-08",1893,"2020-11-17",12,12,1791,1898,9,"0.%"
"2020-11-09",1912,"2020-11-18",12,12,1800,1913,9,"0.%"
"2020-11-10",1920,"2020-11-20",12,12,1827,1927,10,"0.%"
"2020-11-11",1930,"2020-11-21",12,12,1839,1946,10,"0.%"
"2020-11-12",1947,"2020-11-22",12,12,1850,1958,10,"0.%"
"2020-11-13",1951,"2020-11-22",12,12,1854,1958,9,"0.%"
"2020-11-14",1967,"2020-11-24",12,12,1857,1974,10,"0.%"
"2020-11-15",1967,"2020-11-24",12,12,1870,1974,9,"0.%"
"2020-11-16",1972,"2020-11-24",12,12,1880,1974,8,"0.%"
"2020-11-17",1981,"2020-11-26",12,12,1898,1990,9,"0.%"
"2020-11-18",1987,"2020-11-26",12,12,1913,1990,8,"0.%"
"2020-11-19",1991,"2020-11-27",12,12,1915,1992,8,"0.%"
"2020-11-20",2006,"2020-11-30",12,13,1927,2012,10,"1.18%"
"2020-11-21",2010,"2020-11-30",12,13,1946,2012,9,"1.52%"
"2020-11-22",2016,"2020-12-01",12,13,1958,2019,9,"1.64%"
"2020-11-23",2022,"2020-12-26",12,13,1960,2033,33,"1.37%"
"2020-11-24",2032,"2020-12-26",12,13,1974,2033,32,"1.69%"
"2020-11-25",2035,"2020-12-27",12,14,1980,2038,32,"3.45%"
