"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-11",243,"2020-07-22",8,10,162,248,11,"2.33%"
"2020-07-12",249,"2020-07-23",8,10,175,252,11,"2.6%"
"2020-07-13",258,"2020-07-24",8,10,178,263,11,"2.35%"
"2020-07-14",269,"2020-07-26",8,10,190,313,12,"1.63%"
"2020-07-15",291,"2020-07-26",9,10,191,313,11,".82%"
"2020-07-16",297,"2020-07-26",9,10,201,313,10,".89%"
"2020-07-17",305,"2020-07-26",10,10,208,313,9,"0.%"
"2020-07-18",323,"2020-07-28",10,12,218,324,10,"1.89%"
"2020-07-19",327,"2020-07-29",10,12,228,332,10,"1.92%"
"2020-07-20",335,"2020-07-30",10,12,234,335,10,"1.98%"
"2020-07-21",346,"2020-08-02",10,12,235,355,12,"1.67%"
"2020-07-22",357,"2020-08-03",10,12,248,377,12,"1.55%"
"2020-07-23",362,"2020-08-03",10,12,252,377,11,"1.6%"
"2020-07-24",367,"2020-08-03",10,12,263,377,10,"1.75%"
"2020-07-25",386,"2020-08-04",10,12,265,389,10,"1.61%"
"2020-07-26",393,"2020-08-06",10,12,313,395,11,"2.44%"
"2020-07-27",421,"2020-08-10",11,14,315,423,14,"2.78%"
"2020-07-28",441,"2020-08-11",12,14,324,454,14,"1.54%"
"2020-07-29",451,"2020-08-11",12,14,332,454,13,"1.64%"
"2020-07-30",454,"2020-08-11",12,14,335,454,12,"1.68%"
"2020-07-31",465,"2020-08-12",12,14,344,483,12,"1.44%"
"2020-08-01",491,"2020-08-13",12,14,344,491,12,"1.36%"
"2020-08-02",521,"2020-08-15",12,17,355,533,13,"2.81%"
"2020-08-03",534,"2020-08-16",12,17,377,570,13,"2.59%"
"2020-08-04",554,"2020-08-16",12,17,389,570,12,"2.76%"
"2020-08-05",571,"2020-08-17",12,17,392,594,12,"2.48%"
"2020-08-06",586,"2020-08-17",12,17,395,594,11,"2.51%"
"2020-08-07",608,"2020-08-18",13,18,401,622,11,"2.26%"
"2020-08-08",627,"2020-08-19",13,18,409,635,11,"2.21%"
"2020-08-09",642,"2020-08-20",13,19,411,664,11,"2.37%"
"2020-08-10",662,"2020-08-20",14,19,423,664,10,"2.07%"
"2020-08-11",694,"2020-08-22",14,19,454,705,11,"1.99%"
"2020-08-12",718,"2020-08-23",14,20,483,737,11,"2.36%"
"2020-08-13",736,"2020-08-23",14,20,491,737,10,"2.44%"
"2020-08-14",756,"2020-08-25",15,21,508,776,11,"2.24%"
"2020-08-15",783,"2020-08-26",17,21,533,793,11,"1.54%"
"2020-08-16",807,"2020-08-27",17,21,570,813,11,"1.65%"
"2020-08-17",830,"2020-08-28",17,21,594,848,11,"1.57%"
"2020-08-18",840,"2020-08-28",18,21,622,848,10,"1.33%"
"2020-08-19",866,"2020-08-30",18,21,635,889,11,"1.18%"
"2020-08-20",885,"2020-08-30",19,21,664,889,10,".89%"
"2020-08-21",950,"2020-09-02",19,24,679,968,12,"1.73%"
"2020-08-22",976,"2020-09-03",19,24,705,1010,12,"1.64%"
