"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-10-04",13731,"2020-10-15",56,64,12327,13973,11,".49%"
"2020-10-05",13916,"2020-10-15",56,64,12500,13973,10,".54%"
"2020-10-06",14163,"2020-10-17",56,64,12658,14348,11,".47%"
"2020-10-07",14377,"2020-10-18",56,65,12773,14613,11,".49%"
"2020-10-08",14531,"2020-10-18",56,65,12912,14613,10,".53%"
"2020-10-09",14709,"2020-10-19",56,65,13059,14833,10,".51%"
"2020-10-10",14855,"2020-10-20",58,65,13190,14996,10,".39%"
"2020-10-11",14973,"2020-10-20",59,65,13287,14996,9,".35%"
"2020-10-12",15085,"2020-10-21",60,65,13435,15147,9,".29%"
"2020-10-13",15188,"2020-10-22",60,66,13560,15313,9,".34%"
"2020-10-14",15327,"2020-10-23",61,66,13728,15458,9,".29%"
"2020-10-15",15567,"2020-10-24",64,66,13973,15606,9,".12%"
"2020-10-16",15695,"2020-10-25",64,66,14147,15711,9,".13%"
"2020-10-17",15803,"2020-10-26",64,66,14348,15843,9,".13%"
"2020-10-18",15913,"2020-10-27",65,67,14613,15980,9,".15%"
"2020-10-19",16037,"2020-10-28",65,67,14833,16135,9,".15%"
"2020-10-20",16172,"2020-10-29",65,68,14996,16265,9,".24%"
"2020-10-21",16308,"2020-10-30",65,68,15147,16429,9,".23%"
"2020-10-22",16489,"2020-10-31",66,68,15313,16543,9,".16%"
"2020-10-23",16618,"2020-11-01",66,68,15458,16680,9,".16%"
"2020-10-24",16769,"2020-11-02",66,68,15606,16810,9,".17%"
"2020-10-25",16864,"2020-11-03",66,68,15711,16988,9,".16%"
"2020-10-26",16984,"2020-11-03",66,68,15843,16988,8,".17%"
"2020-10-27",17134,"2020-11-04",67,68,15980,17165,8,".08%"
"2020-10-28",17292,"2020-11-06",67,68,16135,17426,9,".08%"
"2020-10-29",17422,"2020-11-06",68,68,16265,17426,8,"0.%"
"2020-10-30",17633,"2020-11-07",68,68,16429,17652,8,"0.%"
"2020-10-31",17839,"2020-11-08",68,69,16543,18068,8,".07%"
"2020-11-01",18012,"2020-11-08",68,69,16680,18068,7,".07%"
"2020-11-02",18170,"2020-11-09",68,69,16810,18272,7,".07%"
"2020-11-03",18339,"2020-11-10",68,70,16988,18458,7,".14%"
"2020-11-04",18679,"2020-11-12",68,72,17165,18758,8,".25%"
"2020-11-05",18829,"2020-11-13",68,72,17288,18946,8,".24%"
"2020-11-06",19016,"2020-11-14",68,73,17426,19145,8,".29%"
"2020-11-07",19162,"2020-11-15",68,73,17652,19270,8,".31%"
"2020-11-08",19396,"2020-11-17",69,73,18068,19485,9,".28%"
"2020-11-09",19560,"2020-11-18",69,73,18272,19604,9,".3%"
"2020-11-10",19677,"2020-11-19",70,73,18458,19733,9,".24%"
"2020-11-11",19760,"2020-11-20",71,74,18654,19920,9,".24%"
"2020-11-12",19974,"2020-11-21",72,75,18758,20155,9,".21%"
"2020-11-13",20108,"2020-11-21",72,75,18946,20155,8,".25%"
"2020-11-14",20300,"2020-11-22",73,76,19145,20311,8,".26%"
"2020-11-15",20482,"2020-11-23",73,77,19270,20499,8,".33%"
"2020-11-16",20570,"2020-11-24",73,80,19370,20680,8,".53%"
"2020-11-17",20712,"2020-11-25",73,80,19485,20820,8,".52%"
"2020-11-18",20895,"2020-11-26",73,81,19604,20981,8,".58%"
"2020-11-19",21135,"2020-11-27",73,81,19733,21183,8,".55%"
"2020-11-20",21312,"2020-11-28",74,81,19920,21343,8,".49%"
"2020-11-21",21453,"2020-11-29",75,82,20155,21554,8,".5%"
"2020-11-22",21625,"2020-11-30",76,83,20311,21716,8,".5%"
"2020-11-23",21792,"2020-12-01",77,83,20499,21840,8,".45%"
"2020-11-24",21947,"2020-12-27",80,83,20680,21951,33,".24%"
"2020-11-25",22168,"2021-01-01",80,85,20820,22293,37,".34%"
"2020-11-26",22257,"2021-01-01",81,85,20981,22293,36,".3%"
"2020-11-27",22456,"2021-01-06",81,86,21183,22470,40,".39%"
"2020-11-28",22613,"2021-01-09",81,86,21343,22626,42,".39%"
"2020-11-29",22738,"2021-01-14",82,86,21554,22743,46,".34%"
"2020-11-30",22843,"2021-01-18",83,86,21716,22843,49,".27%"
"2020-12-01",22958,"2021-01-23",83,86,21840,22972,53,".27%"
"2020-12-26",22987,"2021-01-26",83,86,21887,22996,31,".27%"
"2020-12-27",23006,"2021-01-27",83,86,21951,23006,31,".28%"
"2020-12-28",23033,"2021-02-02",83,86,21993,23041,36,".29%"
"2020-12-29",23057,"2021-02-05",84,86,22053,23062,38,".2%"
"2020-12-30",23129,"2021-02-20",85,86,22164,23131,52,".1%"
"2021-01-01",23234,"2021-03-07",85,86,22293,23238,65,".11%"
"2021-01-02",23252,"2021-03-09",85,86,22327,23254,66,".11%"
"2021-01-03",23277,"2021-03-12",85,86,22374,23287,68,".11%"
"2021-01-04",23292,"2021-03-14",85,86,22416,23298,69,".11%"
"2021-01-05",23313,"2021-03-16",86,86,22447,23323,70,"0.%"
"2021-01-06",23344,"2021-03-18",86,86,22470,23349,71,"0.%"
"2021-01-07",23360,"2021-03-20",86,86,22535,23366,72,"0.%"
"2021-01-08",23381,"2021-03-23",86,86,22565,23386,74,"0.%"
"2021-01-09",23437,"2021-03-28",86,86,22626,23448,78,"0.%"
"2021-01-10",23453,"2021-03-29",86,86,22635,23459,78,"0.%"
"2021-01-11",23471,"2021-03-31",86,86,22659,23484,79,"0.%"
