"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-06-22",941,"2020-07-05",47,62,529,987,13,"3.28%"
"2020-06-23",975,"2020-07-05",49,62,547,987,12,"2.95%"
"2020-06-24",1088,"2020-07-08",49,62,573,1120,14,"2.38%"
"2020-06-25",1174,"2020-07-09",49,62,585,1373,14,"1.65%"
"2020-06-26",1263,"2020-07-09",50,62,601,1373,13,"1.55%"
"2020-06-27",1332,"2020-07-09",50,62,638,1373,12,"1.63%"
"2020-06-28",1392,"2020-07-10",50,62,663,1507,12,"1.42%"
"2020-06-29",1462,"2020-07-10",51,62,703,1507,11,"1.37%"
"2020-06-30",1614,"2020-07-11",55,62,778,1795,11,".69%"
"2020-07-01",1667,"2020-07-11",56,62,802,1795,10,".6%"
"2020-07-02",1796,"2020-07-12",57,62,851,1819,10,".52%"
"2020-07-03",1936,"2020-07-13",59,62,877,2013,10,".26%"
"2020-07-04",2022,"2020-07-14",62,62,890,2148,10,"0.%"
"2020-07-05",2204,"2020-07-16",62,63,987,2253,11,".08%"
"2020-07-06",2282,"2020-07-17",62,63,1017,2327,11,".08%"
"2020-07-07",2429,"2020-07-19",63,63,1025,2631,12,"0.%"
"2020-07-08",2611,"2020-07-19",63,63,1120,2631,11,"0.%"
"2020-07-09",2739,"2020-07-21",64,64,1373,2829,12,"0.%"
"2020-07-10",2862,"2020-07-22",63,64,1507,2892,12,".07%"
"2020-07-11",3015,"2020-07-23",63,64,1795,3291,12,".07%"
"2020-07-12",3155,"2020-07-23",62,64,1819,3291,11,".14%"
"2020-07-13",3275,"2020-07-23",62,64,2013,3291,10,".16%"
"2020-07-14",3457,"2020-07-24",62,64,2148,3517,10,".15%"
"2020-07-15",3599,"2020-07-25",62,64,2178,3613,10,".14%"
"2020-07-16",3764,"2020-07-28",63,64,2253,3908,12,".06%"
"2020-07-17",3901,"2020-07-28",63,64,2327,3908,11,".06%"
"2020-07-18",3901,"2020-07-28",63,64,2353,3908,10,".06%"
"2020-07-19",3977,"2020-07-29",63,64,2631,3979,10,".07%"
"2020-07-20",4047,"2020-07-30",63,64,2727,4061,10,".07%"
"2020-07-21",4125,"2020-07-31",64,64,2829,4163,10,"0.%"
"2020-07-22",4205,"2020-08-01",64,64,2892,4217,10,"0.%"
"2020-07-23",4320,"2020-08-03",64,64,3291,4334,11,"0.%"
"2020-07-24",4440,"2020-08-05",64,64,3517,4490,12,"0.%"
"2020-07-25",4540,"2020-08-07",64,64,3613,4613,13,"0.%"
"2020-07-26",4618,"2020-08-08",64,64,3672,4709,13,"0.%"
"2020-07-27",4638,"2020-08-08",64,64,3677,4709,12,"0.%"
"2020-07-28",4707,"2020-08-08",64,64,3908,4709,11,"0.%"
"2020-07-29",4780,"2020-08-09",64,64,3979,4803,11,"0.%"
"2020-07-30",4855,"2020-08-10",64,65,4061,4905,11,".12%"
"2020-07-31",4936,"2020-08-11",64,65,4163,4978,11,".12%"
"2020-08-01",5104,"2020-08-13",64,67,4217,5170,12,".31%"
"2020-08-02",5192,"2020-08-14",64,67,4298,5222,12,".32%"
"2020-08-03",5277,"2020-08-15",64,67,4334,5410,12,".28%"
"2020-08-04",5336,"2020-08-15",64,67,4394,5410,11,".3%"
"2020-08-05",5472,"2020-08-16",64,67,4490,5490,11,".3%"
"2020-08-06",5572,"2020-08-18",64,67,4524,5704,12,".25%"
"2020-08-07",5665,"2020-08-18",64,67,4613,5704,11,".27%"
"2020-08-08",5768,"2020-08-20",64,67,4709,5837,12,".27%"
"2020-08-09",5852,"2020-08-21",64,67,4803,5898,12,".27%"
"2020-08-10",5908,"2020-08-22",65,67,4905,5969,12,".19%"
"2020-08-11",6006,"2020-08-23",65,67,4978,6121,12,".17%"
"2020-08-12",6098,"2020-08-23",66,67,5086,6121,11,".1%"
"2020-08-13",6168,"2020-08-24",67,67,5170,6256,11,"0.%"
"2020-08-14",6308,"2020-08-25",67,67,5222,6316,11,"0.%"
"2020-08-15",6450,"2020-08-27",67,67,5410,6568,12,"0.%"
"2020-08-16",6566,"2020-08-27",67,67,5490,6568,11,"0.%"
"2020-08-17",6633,"2020-08-29",67,68,5541,6664,12,".09%"
"2020-08-18",6789,"2020-08-30",67,68,5704,6809,12,".09%"
"2020-08-19",6873,"2020-08-31",67,68,5760,6885,12,".09%"
"2020-08-20",6954,"2020-09-01",67,68,5837,7029,12,".08%"
"2020-08-21",7048,"2020-09-02",67,68,5898,7107,12,".08%"
"2020-08-22",7125,"2020-09-03",67,69,5969,7503,12,".13%"
"2020-08-23",7240,"2020-09-03",67,69,6121,7503,11,".14%"
"2020-08-24",7340,"2020-09-03",67,69,6256,7503,10,".16%"
"2020-08-25",7463,"2020-09-03",67,69,6316,7503,9,".17%"
"2020-08-26",7655,"2020-09-05",67,73,6404,7828,10,".42%"
"2020-08-27",7805,"2020-09-05",67,73,6568,7828,9,".48%"
"2020-08-28",7883,"2020-09-06",68,73,6608,7898,9,".39%"
"2020-08-29",8033,"2020-09-08",68,73,6664,8112,10,".35%"
"2020-08-30",8211,"2020-09-10",68,73,6809,8317,11,".33%"
"2020-08-31",8352,"2020-09-11",68,73,6885,8562,11,".3%"
