"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-10-12",2830,"2020-10-24",37,40,2496,2844,12,".86%"
"2020-10-13",2838,"2020-10-24",38,40,2493,2844,11,".57%"
"2020-10-14",2860,"2020-10-25",39,40,2498,2863,11,".27%"
"2020-10-15",2860,"2020-10-25",38,40,2508,2863,10,".56%"
"2020-10-16",2863,"2020-10-25",38,40,2536,2863,9,".61%"
"2020-10-17",2899,"2020-10-28",38,40,2554,2901,11,".58%"
"2020-10-18",2904,"2020-10-29",39,40,2597,2917,11,".31%"
"2020-10-19",2914,"2020-10-29",39,40,2614,2917,10,".33%"
"2020-10-20",2926,"2020-10-30",39,41,2674,2926,10,".79%"
"2020-10-21",2943,"2020-11-01",39,41,2733,2949,11,".93%"
"2020-10-22",2956,"2020-11-02",39,42,2809,2957,11,"2.03%"
"2020-10-23",2968,"2020-11-04",39,42,2815,2974,12,"1.89%"
"2020-10-24",2974,"2020-11-04",40,42,2844,2974,11,"1.54%"
"2020-10-25",2979,"2020-11-06",40,42,2863,2984,12,"1.65%"
"2020-10-26",2985,"2020-11-07",40,42,2879,2997,12,"1.69%"
"2020-10-27",2990,"2020-11-07",40,42,2894,2997,11,"1.94%"
"2020-10-28",2975,"2020-11-05",40,42,2901,2978,8,"2.6%"
"2020-10-29",2987,"2020-11-07",40,42,2917,2997,9,"2.5%"
"2020-10-30",3013,"2020-11-08",41,42,2926,3023,9,"1.03%"
"2020-10-31",3030,"2020-11-09",41,42,2941,3036,9,"1.05%"
"2020-11-01",3043,"2020-11-10",41,42,2949,3050,9,".99%"
"2020-11-02",3055,"2020-11-11",42,42,2957,3062,9,"0.%"
"2020-11-03",3071,"2020-11-13",42,42,2960,3074,10,"0.%"
"2020-11-04",3068,"2020-11-13",42,42,2974,3074,9,"0.%"
"2020-11-05",3079,"2020-11-14",42,42,2978,3081,9,"0.%"
"2020-11-06",3088,"2020-11-15",42,42,2984,3093,9,"0.%"
"2020-11-07",3090,"2020-11-15",42,42,2997,3093,8,"0.%"
"2020-11-08",3103,"2020-11-16",42,43,3023,3113,8,"1.11%"
"2020-11-09",3119,"2020-11-17",42,43,3036,3124,8,"1.14%"
"2020-11-10",3139,"2020-11-20",42,43,3050,3150,10,"1.%"
"2020-11-11",3145,"2020-11-20",42,43,3062,3150,9,"1.14%"
"2020-11-12",3155,"2020-11-21",42,43,3062,3157,9,"1.05%"
"2020-11-13",3164,"2020-11-22",42,43,3074,3167,9,"1.08%"
"2020-11-14",3179,"2020-11-25",42,43,3081,3191,11,".91%"
"2020-11-15",3182,"2020-11-25",42,43,3093,3191,10,"1.02%"
"2020-11-16",3190,"2020-11-25",43,43,3113,3191,9,"0.%"
"2020-11-17",3193,"2020-11-26",43,43,3124,3196,9,"0.%"
"2020-11-18",3198,"2020-11-27",43,43,3133,3202,9,"0.%"
"2020-11-19",3213,"2020-11-28",43,43,3137,3215,9,"0.%"
"2020-11-20",3225,"2020-11-29",43,43,3150,3230,9,"0.%"
"2020-11-21",3237,"2020-12-01",43,43,3157,3250,10,"0.%"
"2020-11-22",3250,"2020-12-01",43,43,3167,3250,9,"0.%"
"2020-11-23",3266,"2020-12-28",43,43,3173,3268,35,"0.%"
"2020-11-24",3274,"2020-12-30",43,43,3178,3281,36,"0.%"
"2020-11-25",3279,"2020-12-30",43,43,3191,3281,35,"0.%"
"2020-11-26",3285,"2021-01-01",43,43,3196,3295,36,"0.%"
"2020-11-27",3296,"2021-01-02",43,43,3202,3297,36,"0.%"
"2020-11-28",3301,"2021-01-04",43,43,3215,3303,37,"0.%"
"2020-11-29",3308,"2021-01-08",43,44,3230,3310,40,"1.25%"
"2020-11-30",3312,"2021-01-09",43,44,3236,3312,40,"1.32%"
"2020-12-01",3324,"2021-01-13",43,44,3250,3324,43,"1.35%"
"2020-12-26",3328,"2021-01-15",43,44,3254,3329,20,"1.33%"
"2020-12-27",3334,"2021-01-16",43,44,3259,3334,20,"1.33%"
"2020-12-28",3336,"2021-01-17",43,44,3268,3339,20,"1.41%"
"2020-12-29",3341,"2021-01-20",43,44,3271,3341,22,"1.43%"
"2020-12-30",3347,"2021-01-24",43,44,3281,3349,25,"1.47%"
"2021-01-01",3351,"2021-01-26",43,44,3295,3351,25,"1.79%"
"2021-01-02",3353,"2021-01-29",43,44,3297,3354,27,"1.75%"
"2021-01-03",3353,"2021-01-29",43,44,3300,3354,26,"1.85%"
"2021-01-04",3357,"2021-02-02",43,45,3303,3358,29,"3.64%"
"2021-01-05",3361,"2021-02-08",43,45,3304,3361,34,"3.51%"
"2021-01-06",3366,"2021-03-20",44,45,3306,3366,73,"1.67%"
"2021-01-07",3377,"2021-04-05",44,45,3307,3377,88,"1.43%"
"2021-01-08",3381,"2021-04-07",44,46,3310,3382,89,"2.78%"
"2021-01-09",3378,"2021-04-06",44,45,3312,3380,87,"1.47%"
"2021-01-11",3378,"2021-04-06",45,45,3315,3380,85,"0.%"
"2021-01-12",3379,"2021-04-06",45,45,3320,3380,84,"0.%"
"2021-01-13",3382,"2021-04-07",45,46,3324,3382,84,"1.72%"
"2021-01-14",3382,"2021-04-07",45,46,3327,3382,83,"1.82%"
