"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-06-19",763,"2020-07-04",10,22,426,820,15,"3.05%"
"2020-06-20",790,"2020-07-04",11,22,431,820,14,"2.83%"
"2020-06-21",812,"2020-07-04",11,22,461,820,13,"3.06%"
"2020-06-22",841,"2020-07-05",12,23,471,843,13,"2.96%"
"2020-06-23",867,"2020-07-07",12,24,506,935,14,"2.8%"
"2020-06-24",929,"2020-07-07",12,24,520,935,13,"2.89%"
"2020-06-25",961,"2020-07-08",13,24,530,961,13,"2.55%"
"2020-06-26",1013,"2020-07-11",14,28,600,1034,15,"3.23%"
"2020-06-27",1042,"2020-07-12",17,29,622,1056,15,"2.76%"
"2020-06-28",1085,"2020-07-13",17,32,644,1087,15,"3.39%"
"2020-06-29",1108,"2020-07-14",18,35,666,1108,15,"3.85%"
"2020-06-30",1137,"2020-07-15",19,39,677,1168,15,"4.07%"
"2020-07-01",1191,"2020-07-16",21,42,698,1233,15,"3.93%"
"2020-07-02",1191,"2020-07-16",21,42,738,1233,14,"4.24%"
"2020-07-03",1260,"2020-07-17",21,43,761,1295,14,"4.12%"
"2020-07-04",1340,"2020-07-18",22,44,820,1435,14,"3.58%"
"2020-07-05",1423,"2020-07-18",23,44,843,1435,13,"3.55%"
"2020-07-06",1487,"2020-07-20",24,51,855,1541,14,"3.94%"
"2020-07-07",1683,"2020-07-22",25,61,935,1734,15,"4.51%"
"2020-07-08",1782,"2020-07-23",26,64,961,1898,15,"4.06%"
"2020-07-09",1871,"2020-07-23",24,64,986,1898,14,"4.39%"
"2020-07-10",2011,"2020-07-25",27,72,1009,2485,15,"3.05%"
"2020-07-11",2213,"2020-07-25",28,72,1034,2485,14,"3.03%"
"2020-07-12",2380,"2020-07-25",29,72,1056,2485,13,"3.01%"
"2020-07-13",2577,"2020-07-26",32,73,1087,3066,13,"2.07%"
"2020-07-14",2729,"2020-07-26",35,73,1108,3066,12,"1.94%"
"2020-07-15",2926,"2020-07-26",39,73,1168,3066,11,"1.79%"
"2020-07-16",3234,"2020-07-31",42,94,1233,3866,15,"1.97%"
"2020-07-17",3385,"2020-07-31",43,94,1295,3866,14,"1.98%"
"2020-07-18",3609,"2020-07-31",44,94,1435,3866,13,"2.06%"
"2020-07-19",4008,"2020-08-01",46,100,1469,4219,13,"1.96%"
"2020-07-20",4290,"2020-08-02",51,114,1541,4643,13,"2.03%"
"2020-07-21",4502,"2020-08-02",56,114,1611,4643,12,"1.91%"
"2020-07-22",4812,"2020-08-03",61,119,1734,4817,12,"1.88%"
"2020-07-23",5124,"2020-08-04",64,123,1898,5136,12,"1.82%"
"2020-07-24",5421,"2020-08-05",71,123,2002,5597,12,"1.45%"
"2020-07-25",5852,"2020-08-06",72,124,2485,5968,12,"1.49%"
"2020-07-26",6306,"2020-08-08",73,140,3066,6403,13,"2.01%"
"2020-07-27",6619,"2020-08-09",79,146,3092,6647,13,"1.88%"
"2020-07-28",6866,"2020-08-10",82,148,3120,7022,13,"1.69%"
"2020-07-29",7128,"2020-08-11",87,160,3157,7447,13,"1.7%"
"2020-07-30",7614,"2020-08-12",89,167,3203,7770,13,"1.71%"
"2020-07-31",8177,"2020-08-13",94,181,3866,8254,13,"1.98%"
"2020-08-01",8339,"2020-08-14",100,185,4219,8762,13,"1.87%"
"2020-08-02",8685,"2020-08-14",114,185,4643,8762,12,"1.72%"
"2020-08-03",9192,"2020-08-16",119,210,4817,9813,13,"1.82%"
"2020-08-04",9804,"2020-08-16",123,210,5136,9813,12,"1.86%"
"2020-08-05",10140,"2020-08-17",123,216,5597,10487,12,"1.9%"
"2020-08-06",10804,"2020-08-18",124,227,5968,11003,12,"2.05%"
"2020-08-07",11511,"2020-08-19",137,234,6197,12003,12,"1.67%"
"2020-08-08",12073,"2020-08-20",140,245,6403,13028,12,"1.58%"
"2020-08-09",12759,"2020-08-20",146,245,6647,13028,11,"1.55%"
"2020-08-10",13389,"2020-08-21",148,260,7022,13787,11,"1.66%"
"2020-08-11",14220,"2020-08-22",160,275,7447,14474,11,"1.64%"
"2020-08-12",14695,"2020-08-23",167,285,7770,15009,11,"1.63%"
"2020-08-13",15323,"2020-08-24",181,290,8254,15588,11,"1.49%"
"2020-08-14",15980,"2020-08-25",185,302,8762,16400,11,"1.53%"
"2020-08-15",16655,"2020-08-26",199,310,9163,16877,11,"1.44%"
"2020-08-16",17471,"2020-08-27",210,322,9813,17646,11,"1.43%"
"2020-08-17",17740,"2020-08-28",216,334,10487,18379,11,"1.5%"
"2020-08-18",18203,"2020-08-28",227,334,11003,18379,10,"1.45%"
"2020-08-19",18974,"2020-08-29",234,337,12003,19062,10,"1.46%"
"2020-08-20",19763,"2020-08-31",245,360,13028,20223,11,"1.6%"
"2020-08-21",20386,"2020-09-01",260,367,13787,20685,11,"1.55%"
"2020-08-22",21151,"2020-09-02",275,378,14474,21412,11,"1.48%"
"2020-08-23",21844,"2020-09-03",285,391,15009,21880,11,"1.54%"
"2020-08-24",22584,"2020-09-05",290,419,15588,23258,12,"1.68%"
"2020-08-25",23090,"2020-09-05",302,419,16400,23258,11,"1.71%"
"2020-08-26",23675,"2020-09-06",310,436,16877,23926,11,"1.79%"
"2020-08-27",24467,"2020-09-07",322,451,17646,24779,11,"1.81%"
"2020-08-28",25177,"2020-09-08",334,460,18379,25641,11,"1.74%"
"2020-08-29",25856,"2020-09-09",337,468,19062,26484,11,"1.77%"
"2020-08-30",26855,"2020-09-10",345,479,19657,27086,11,"1.8%"
"2020-08-31",27427,"2020-09-11",360,495,20223,27929,11,"1.75%"
"2020-09-01",28049,"2020-09-12",367,505,20685,28776,11,"1.71%"
"2020-09-02",28762,"2020-09-12",378,505,21412,28776,10,"1.72%"
"2020-09-03",29571,"2020-09-13",391,515,21880,29602,10,"1.61%"
"2020-09-04",30495,"2020-09-15",401,538,22493,31349,11,"1.55%"
