"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-16",566,"2020-07-29",22,25,388,568,13,"1.67%"
"2020-07-17",585,"2020-07-30",22,25,399,592,13,"1.55%"
"2020-07-18",596,"2020-07-31",23,27,412,605,13,"2.07%"
"2020-07-19",597,"2020-07-31",23,27,432,605,12,"2.31%"
"2020-07-20",624,"2020-08-02",24,30,439,655,13,"2.78%"
"2020-07-21",639,"2020-08-02",24,30,459,655,12,"3.06%"
"2020-07-22",653,"2020-08-02",24,30,468,655,11,"3.21%"
"2020-07-23",691,"2020-08-05",24,31,479,709,13,"3.04%"
"2020-07-24",704,"2020-08-05",25,31,511,709,12,"3.03%"
"2020-07-25",745,"2020-08-08",25,31,520,769,14,"2.41%"
"2020-07-26",765,"2020-08-08",25,31,543,769,13,"2.65%"
"2020-07-27",792,"2020-08-09",25,32,556,797,13,"2.9%"
"2020-07-28",820,"2020-08-10",25,34,563,820,13,"3.5%"
"2020-07-29",840,"2020-08-11",25,34,568,857,13,"3.11%"
"2020-07-30",867,"2020-08-12",25,35,592,870,13,"3.6%"
"2020-07-31",878,"2020-08-13",27,35,605,881,13,"2.9%"
"2020-08-01",905,"2020-08-14",29,35,617,911,13,"2.04%"
"2020-08-02",926,"2020-08-15",30,35,655,935,13,"1.79%"
"2020-08-03",959,"2020-08-16",30,35,657,988,13,"1.51%"
"2020-08-04",981,"2020-08-16",30,35,683,988,12,"1.64%"
"2020-08-05",1009,"2020-08-17",31,37,709,1022,12,"1.92%"
"2020-08-06",1098,"2020-08-20",31,40,735,1149,14,"2.17%"
"2020-08-07",1131,"2020-08-20",31,40,741,1149,13,"2.21%"
"2020-08-08",1150,"2020-08-21",31,40,769,1210,13,"2.04%"
"2020-08-09",1182,"2020-08-21",32,40,797,1210,12,"1.94%"
"2020-08-10",1217,"2020-08-22",34,41,820,1268,12,"1.56%"
"2020-08-11",1267,"2020-08-22",34,41,857,1268,11,"1.7%"
"2020-08-12",1290,"2020-08-24",35,42,870,1321,12,"1.55%"
"2020-08-13",1360,"2020-08-25",35,42,881,1367,12,"1.44%"
"2020-08-14",1413,"2020-08-26",35,43,911,1430,12,"1.54%"
"2020-08-15",1474,"2020-08-27",35,43,935,1489,12,"1.44%"
"2020-08-16",1518,"2020-08-28",35,43,988,1546,12,"1.43%"
"2020-08-17",1570,"2020-08-29",37,44,1022,1618,12,"1.17%"
"2020-08-18",1649,"2020-08-30",37,44,1048,1669,12,"1.13%"
"2020-08-19",1684,"2020-08-31",39,44,1062,1714,12,".77%"
"2020-08-20",1734,"2020-09-01",40,44,1149,1752,12,".66%"
"2020-08-21",1768,"2020-09-02",40,46,1210,1808,12,"1.%"
"2020-08-22",1853,"2020-09-03",41,46,1268,1868,12,".83%"
"2020-08-23",1891,"2020-09-04",41,46,1289,1898,12,".82%"
"2020-08-24",1968,"2020-09-07",42,50,1321,1996,14,"1.19%"
"2020-08-25",2001,"2020-09-08",42,50,1367,2026,14,"1.21%"
"2020-08-26",2041,"2020-09-09",43,50,1430,2062,14,"1.11%"
"2020-08-27",2078,"2020-09-10",43,50,1489,2157,14,"1.05%"
"2020-08-28",2126,"2020-09-10",43,50,1546,2157,13,"1.15%"
"2020-08-29",2169,"2020-09-11",44,55,1618,2210,13,"1.86%"
"2020-08-30",2230,"2020-09-12",44,55,1669,2251,13,"1.89%"
"2020-08-31",2257,"2020-09-13",44,55,1714,2316,13,"1.83%"
"2020-09-01",2320,"2020-09-14",44,56,1752,2347,13,"2.02%"
"2020-09-02",2443,"2020-09-16",46,59,1808,2448,14,"2.03%"
"2020-09-03",2496,"2020-09-18",46,69,1868,2583,15,"3.22%"
"2020-09-04",2538,"2020-09-18",46,69,1898,2583,14,"3.36%"
"2020-09-05",2576,"2020-09-18",48,69,1925,2583,13,"3.19%"
"2020-09-06",2660,"2020-09-20",48,72,1944,2701,14,"3.17%"
"2020-09-07",2730,"2020-09-21",50,74,1996,2761,14,"3.14%"
"2020-09-08",2800,"2020-09-22",50,76,2026,2862,14,"3.11%"
"2020-09-09",2849,"2020-09-22",50,76,2062,2862,13,"3.25%"
"2020-09-10",2912,"2020-09-23",50,76,2157,2924,13,"3.39%"
"2020-09-11",2976,"2020-09-24",55,76,2210,2991,13,"2.69%"
"2020-09-12",3056,"2020-09-25",55,77,2251,3117,13,"2.54%"
"2020-09-13",3096,"2020-09-25",55,77,2316,3117,12,"2.75%"
"2020-09-14",3166,"2020-09-26",56,79,2347,3243,12,"2.57%"
"2020-09-15",3257,"2020-09-27",58,79,2396,3295,12,"2.34%"
"2020-09-16",3302,"2020-09-28",59,81,2448,3403,12,"2.3%"
"2020-09-17",3428,"2020-09-29",63,83,2495,3485,12,"2.02%"
"2020-09-18",3516,"2020-09-30",69,83,2583,3530,12,"1.48%"
"2020-09-19",3562,"2020-10-01",70,83,2622,3565,12,"1.38%"
"2020-09-20",3635,"2020-10-04",72,87,2701,3669,14,"1.55%"
"2020-09-21",3679,"2020-10-05",74,87,2761,3695,14,"1.39%"
"2020-09-22",3746,"2020-10-06",76,88,2862,3761,14,"1.33%"
"2020-09-23",3769,"2020-10-07",76,90,2924,3798,14,"1.6%"
"2020-09-24",3788,"2020-10-07",76,90,2991,3798,13,"1.73%"
"2020-09-25",3851,"2020-10-09",77,90,3117,3863,14,"1.74%"
"2020-09-26",3884,"2020-10-10",79,91,3243,3899,14,"1.83%"
"2020-09-27",3903,"2020-10-11",79,91,3295,3935,14,"1.88%"
"2020-09-28",3950,"2020-10-12",81,91,3403,3950,14,"1.83%"
