"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-06-29",387,"2020-07-10",,2,,388,11,"-"
"2020-06-30",401,"2020-07-12",,2,,402,12,"-"
"2020-07-01",410,"2020-07-13",,3,,414,12,"-"
"2020-07-02",415,"2020-07-14",,3,,418,12,"-"
"2020-07-03",433,"2020-07-17",,4,,450,14,"-"
"2020-07-04",440,"2020-07-17",,4,,450,13,"-"
"2020-07-05",450,"2020-07-17",1,4,350,450,12,"3.%"
"2020-07-06",457,"2020-07-18",1,4,354,460,12,"2.83%"
"2020-07-07",476,"2020-07-19",1,4,355,486,12,"2.29%"
"2020-07-08",484,"2020-07-19",1,4,362,486,11,"2.42%"
"2020-07-09",521,"2020-07-23",1,5,367,551,14,"2.17%"
"2020-07-10",528,"2020-07-23",2,5,388,551,13,"1.84%"
"2020-07-11",545,"2020-07-23",2,5,389,551,12,"1.85%"
"2020-07-12",547,"2020-07-23",2,5,402,551,11,"2.01%"
"2020-07-13",560,"2020-07-24",3,6,414,560,11,"2.05%"
"2020-07-14",573,"2020-07-27",3,7,418,584,13,"2.41%"
"2020-07-15",586,"2020-07-28",4,8,426,598,13,"2.33%"
"2020-07-16",602,"2020-07-29",4,9,429,624,13,"2.56%"
"2020-07-17",610,"2020-07-29",4,9,450,624,12,"2.87%"
"2020-07-18",614,"2020-07-29",4,9,460,624,11,"3.05%"
"2020-07-19",624,"2020-07-29",4,9,486,624,10,"3.62%"
"2020-07-20",643,"2020-07-31",5,12,495,649,11,"4.55%"
"2020-07-21",672,"2020-08-02",5,12,507,690,12,"3.83%"
"2020-07-22",683,"2020-08-02",5,12,508,690,11,"3.85%"
"2020-07-23",712,"2020-08-04",5,16,551,715,12,"6.71%"
"2020-07-24",743,"2020-08-05",6,17,560,761,12,"5.47%"
"2020-07-25",769,"2020-08-06",6,18,564,793,12,"5.24%"
"2020-07-26",816,"2020-08-07",6,18,567,845,12,"4.32%"
"2020-07-27",855,"2020-08-08",7,19,584,892,12,"3.9%"
"2020-07-28",896,"2020-08-09",8,19,598,927,12,"3.34%"
"2020-07-29",944,"2020-08-11",9,20,624,974,13,"3.14%"
"2020-07-30",1020,"2020-08-13",11,20,630,1034,14,"2.23%"
"2020-07-31",1037,"2020-08-14",12,20,649,1064,14,"1.93%"
"2020-08-01",1105,"2020-08-16",12,28,658,1165,15,"3.16%"
"2020-08-02",1143,"2020-08-16",12,28,690,1165,14,"3.37%"
"2020-08-03",1196,"2020-08-17",13,29,709,1232,14,"3.06%"
"2020-08-04",1226,"2020-08-17",16,29,715,1232,13,"2.51%"
"2020-08-05",1277,"2020-08-18",17,31,761,1299,13,"2.6%"
"2020-08-06",1320,"2020-08-19",18,32,793,1363,13,"2.46%"
"2020-08-07",1384,"2020-08-20",18,34,845,1456,13,"2.62%"
"2020-08-08",1442,"2020-08-20",19,34,892,1456,12,"2.66%"
"2020-08-09",1546,"2020-08-21",19,39,927,1590,12,"3.02%"
"2020-08-10",1624,"2020-08-22",19,39,943,1719,12,"2.58%"
"2020-08-11",1722,"2020-08-23",20,40,974,1794,12,"2.44%"
"2020-08-12",1828,"2020-08-24",20,40,1013,1873,12,"2.33%"
"2020-08-13",1951,"2020-08-25",20,41,1034,1954,12,"2.28%"
"2020-08-14",2006,"2020-08-26",20,47,1064,2010,12,"2.85%"
"2020-08-15",2096,"2020-08-28",25,53,1083,2127,13,"2.68%"
"2020-08-16",2168,"2020-08-29",28,53,1165,2202,13,"2.41%"
"2020-08-17",2227,"2020-08-30",29,55,1232,2264,13,"2.52%"
"2020-08-18",2294,"2020-08-31",31,55,1299,2329,13,"2.33%"
"2020-08-19",2376,"2020-09-01",32,57,1363,2445,13,"2.31%"
"2020-08-20",2456,"2020-09-02",34,58,1456,2548,13,"2.2%"
"2020-08-21",2548,"2020-09-02",39,58,1590,2548,12,"1.98%"
"2020-08-22",2676,"2020-09-04",39,61,1719,2739,13,"2.16%"
"2020-08-23",2783,"2020-09-05",40,63,1794,2888,13,"2.1%"
"2020-08-24",2901,"2020-09-06",40,65,1873,3036,13,"2.15%"
"2020-08-25",3016,"2020-09-06",41,65,1954,3036,12,"2.22%"
"2020-08-26",3150,"2020-09-08",47,68,2010,3269,13,"1.67%"
"2020-08-27",3313,"2020-09-09",51,69,2067,3451,13,"1.3%"
"2020-08-28",3438,"2020-09-09",53,69,2127,3451,12,"1.21%"
"2020-08-29",3579,"2020-09-11",53,74,2202,3679,13,"1.42%"
"2020-08-30",3769,"2020-09-12",55,75,2264,3808,13,"1.3%"
"2020-08-31",3879,"2020-09-13",55,75,2329,4015,13,"1.19%"
"2020-09-01",4024,"2020-09-14",57,75,2445,4127,13,"1.07%"
"2020-09-02",4144,"2020-09-15",58,81,2548,4293,13,"1.32%"
"2020-09-03",4345,"2020-09-16",60,85,2645,4417,13,"1.41%"
"2020-09-04",4489,"2020-09-17",61,86,2739,4517,13,"1.41%"
"2020-09-05",4646,"2020-09-18",63,86,2888,4661,13,"1.3%"
"2020-09-06",4802,"2020-09-20",65,91,3036,4930,14,"1.37%"
"2020-09-07",4966,"2020-09-21",67,94,3119,5025,14,"1.42%"
"2020-09-08",5137,"2020-09-22",68,95,3269,5139,14,"1.44%"
"2020-09-09",5249,"2020-09-24",69,96,3451,5316,15,"1.45%"
