"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-08-19",1332,"2020-08-31",25,30,1125,1339,12,"2.34%"
"2020-08-20",1253,"2020-08-28",25,26,1112,1274,8,".62%"
"2020-08-21",1279,"2020-08-29",25,27,1116,1290,8,"1.15%"
"2020-08-22",1296,"2020-08-30",26,29,1130,1307,8,"1.69%"
"2020-08-23",1374,"2020-09-02",26,30,1184,1377,10,"2.07%"
"2020-08-24",1389,"2020-09-03",26,30,1196,1390,10,"2.06%"
"2020-08-25",1410,"2020-09-04",26,30,1221,1413,10,"2.08%"
"2020-08-26",1438,"2020-09-05",26,30,1232,1439,10,"1.93%"
"2020-08-27",1468,"2020-09-06",26,31,1249,1471,10,"2.25%"
"2020-08-28",1502,"2020-09-08",26,32,1274,1544,11,"2.22%"
"2020-08-29",1527,"2020-09-08",27,32,1290,1544,10,"1.97%"
"2020-08-30",1557,"2020-09-10",29,33,1307,1579,11,"1.47%"
"2020-08-31",1575,"2020-09-10",30,33,1339,1579,10,"1.25%"
"2020-09-01",1599,"2020-09-12",30,33,1354,1614,11,"1.15%"
"2020-09-02",1609,"2020-09-12",30,33,1377,1614,10,"1.27%"
"2020-09-03",1634,"2020-09-14",30,35,1390,1652,11,"1.91%"
"2020-09-04",1654,"2020-09-15",30,36,1413,1671,11,"2.33%"
"2020-09-05",1680,"2020-09-16",30,36,1439,1697,11,"2.33%"
"2020-09-06",1695,"2020-09-16",31,36,1471,1697,10,"2.21%"
"2020-09-07",1719,"2020-09-17",31,36,1494,1724,10,"2.17%"
"2020-09-08",1740,"2020-09-18",32,36,1544,1756,10,"1.89%"
"2020-09-09",1777,"2020-09-20",32,36,1556,1790,11,"1.71%"
"2020-09-10",1806,"2020-09-22",33,37,1579,1840,12,"1.53%"
"2020-09-11",1845,"2020-09-23",33,37,1596,1862,12,"1.5%"
"2020-09-12",1868,"2020-09-24",33,37,1614,1882,12,"1.49%"
"2020-09-13",1878,"2020-09-24",33,37,1617,1882,11,"1.51%"
"2020-09-14",1905,"2020-09-25",35,37,1652,1908,11,".78%"
"2020-09-15",1934,"2020-09-26",36,37,1671,1948,11,".36%"
"2020-09-16",1974,"2020-09-29",36,37,1697,2017,13,".31%"
"2020-09-17",2010,"2020-09-29",36,37,1724,2017,12,".34%"
"2020-09-18",2036,"2020-10-01",36,37,1756,2043,13,".35%"
"2020-09-19",2050,"2020-10-02",36,37,1771,2058,13,".35%"
"2020-09-20",2052,"2020-10-02",36,37,1790,2058,12,".37%"
"2020-09-21",2087,"2020-10-05",36,37,1796,2095,14,".33%"
"2020-09-22",2113,"2020-10-07",37,37,1840,2116,15,"0.%"
"2020-09-23",2127,"2020-10-08",38,37,1862,2175,15,"-.32%"
"2020-09-24",2128,"2020-10-08",38,37,1882,2175,14,"-.34%"
"2020-09-25",2144,"2020-10-08",38,37,1908,2175,13,"-.37%"
"2020-09-26",2158,"2020-10-08",38,37,1948,2175,12,"-.44%"
"2020-09-27",2167,"2020-10-08",38,37,1962,2175,11,"-.47%"
"2020-09-28",2181,"2020-10-09",38,37,1972,2184,11,"-.47%"
"2020-09-29",2192,"2020-10-10",38,37,2017,2199,11,"-.55%"
"2020-09-30",2252,"2020-10-14",38,37,2025,2265,14,"-.42%"
"2020-10-01",2265,"2020-10-14",38,37,2043,2265,13,"-.45%"
"2020-10-02",2284,"2020-10-16",39,38,2058,2304,14,"-.41%"
"2020-10-03",2313,"2020-10-17",39,38,2063,2322,14,"-.39%"
"2020-10-04",2318,"2020-10-17",39,38,2074,2322,13,"-.4%"
"2020-10-05",2325,"2020-10-18",39,38,2095,2336,13,"-.41%"
"2020-10-06",2357,"2020-10-20",39,38,2110,2361,14,"-.4%"
"2020-10-07",2376,"2020-10-21",39,38,2116,2394,14,"-.36%"
"2020-10-08",2390,"2020-10-21",39,38,2175,2394,13,"-.46%"
"2020-10-09",2399,"2020-10-22",39,38,2184,2443,13,"-.39%"
"2020-10-10",2402,"2020-10-22",39,38,2199,2443,12,"-.41%"
"2020-10-11",2424,"2020-10-22",39,38,2213,2443,11,"-.43%"
"2020-10-12",2449,"2020-10-23",37,38,2218,2459,11,".41%"
"2020-10-13",2504,"2020-10-27",37,39,2237,2519,14,".71%"
"2020-10-14",2515,"2020-10-27",37,39,2265,2519,13,".79%"
"2020-10-15",2523,"2020-10-28",38,39,2277,2526,13,".4%"
"2020-10-16",2546,"2020-10-30",38,39,2304,2557,14,".4%"
"2020-10-17",2564,"2020-10-31",38,39,2322,2576,14,".39%"
"2020-10-18",2594,"2020-11-03",38,39,2336,2596,16,".38%"
"2020-10-19",2597,"2020-11-04",38,39,2353,2604,16,".4%"
"2020-10-20",2620,"2020-11-05",38,39,2361,2628,16,".37%"
"2020-10-21",2631,"2020-11-06",38,39,2394,2632,16,".42%"
"2020-10-22",2642,"2020-11-08",38,39,2443,2654,17,".47%"
"2020-10-23",2643,"2020-11-08",38,39,2459,2654,16,".51%"
"2020-10-24",2663,"2020-11-10",38,39,2468,2668,17,".5%"
"2020-10-25",2678,"2020-11-12",38,39,2482,2691,18,".48%"
"2020-10-26",2699,"2020-11-13",39,39,2494,2702,18,"0.%"
"2020-10-27",2701,"2020-11-13",39,39,2519,2702,17,"0.%"
