"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-06",142,"2020-07-17",,1,,149,11,"-"
"2020-07-07",151,"2020-07-19",,1,,151,12,"-"
"2020-07-08",160,"2020-07-21",,1,,169,13,"-"
"2020-07-09",160,"2020-07-21",,1,,169,12,"-"
"2020-07-10",161,"2020-07-21",,1,,169,11,"-"
"2020-07-11",170,"2020-07-22",,1,,173,11,"-"
"2020-07-12",180,"2020-07-23",,1,,194,11,"-"
"2020-07-13",198,"2020-07-24",,1,,243,11,"-"
"2020-07-14",219,"2020-07-24",1,1,130,243,10,"0.%"
"2020-07-15",247,"2020-07-25",1,1,132,282,10,"0.%"
"2020-07-16",257,"2020-07-25",1,1,140,282,9,"0.%"
"2020-07-17",263,"2020-07-25",1,1,149,282,8,"0.%"
"2020-07-18",306,"2020-07-26",1,1,150,308,8,"0.%"
"2020-07-19",364,"2020-07-29",1,4,151,388,10,"1.27%"
"2020-07-20",366,"2020-07-29",1,4,159,388,9,"1.31%"
"2020-07-21",410,"2020-07-30",1,6,169,416,9,"2.02%"
"2020-07-22",443,"2020-07-31",1,7,173,449,9,"2.17%"
"2020-07-23",511,"2020-08-01",1,8,194,512,9,"2.2%"
"2020-07-24",553,"2020-08-03",1,9,243,556,10,"2.56%"
"2020-07-25",584,"2020-08-05",1,10,282,588,11,"2.94%"
"2020-07-26",660,"2020-08-09",1,14,308,720,14,"3.16%"
"2020-07-27",799,"2020-08-12",2,17,316,979,16,"2.26%"
"2020-07-28",817,"2020-08-12",3,17,351,979,15,"2.23%"
"2020-07-29",828,"2020-08-12",4,17,388,979,14,"2.2%"
"2020-07-30",896,"2020-08-12",6,17,416,979,13,"1.95%"
"2020-07-31",985,"2020-08-13",7,18,449,1014,13,"1.95%"
"2020-08-01",1102,"2020-08-16",8,23,512,1205,15,"2.16%"
"2020-08-02",1157,"2020-08-16",8,23,532,1205,14,"2.23%"
"2020-08-03",1250,"2020-08-17",9,24,556,1259,14,"2.13%"
"2020-08-04",1253,"2020-08-17",10,24,579,1259,13,"2.06%"
"2020-08-05",1286,"2020-08-18",10,25,588,1313,13,"2.07%"
"2020-08-06",1416,"2020-08-20",10,26,593,1423,14,"1.93%"
"2020-08-07",1457,"2020-08-21",11,27,625,1635,14,"1.58%"
"2020-08-08",1536,"2020-08-21",13,27,648,1635,13,"1.42%"
"2020-08-09",1575,"2020-08-21",14,27,720,1635,12,"1.42%"
"2020-08-10",1656,"2020-08-22",14,28,777,1759,12,"1.43%"
"2020-08-11",1739,"2020-08-22",16,28,795,1759,11,"1.24%"
"2020-08-12",1772,"2020-08-23",17,30,979,1878,11,"1.45%"
"2020-08-13",1815,"2020-08-23",18,30,1014,1878,10,"1.39%"
"2020-08-14",1878,"2020-08-23",20,30,1031,1878,9,"1.18%"
"2020-08-15",1980,"2020-08-25",21,30,1032,2016,10,".91%"
"2020-08-16",2050,"2020-08-26",23,33,1205,2106,10,"1.11%"
"2020-08-17",2127,"2020-08-27",24,37,1259,2172,10,"1.42%"
"2020-08-18",2180,"2020-08-28",25,38,1313,2236,10,"1.41%"
"2020-08-19",2262,"2020-08-29",25,39,1358,2285,10,"1.51%"
"2020-08-20",2315,"2020-08-30",26,41,1423,2390,10,"1.55%"
"2020-08-21",2413,"2020-08-31",27,42,1635,2448,10,"1.85%"
"2020-08-22",2489,"2020-09-01",28,45,1759,2520,10,"2.23%"
"2020-08-23",2534,"2020-09-02",30,48,1878,2579,10,"2.57%"
"2020-08-24",2588,"2020-09-03",30,48,1937,2642,10,"2.55%"
"2020-08-25",2665,"2020-09-04",30,48,2016,2678,10,"2.72%"
"2020-08-26",2725,"2020-09-05",33,49,2106,2755,10,"2.47%"
"2020-08-27",2791,"2020-09-06",37,53,2172,2813,10,"2.5%"
"2020-08-28",2875,"2020-09-07",38,53,2236,2884,10,"2.31%"
"2020-08-29",3065,"2020-09-10",39,57,2285,3150,12,"2.08%"
"2020-08-30",3123,"2020-09-10",41,57,2390,3150,11,"2.11%"
"2020-08-31",3151,"2020-09-11",42,57,2448,3169,11,"2.08%"
