"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-03-20",4392,"2021-04-05",83,86,4331,4404,16,"4.11%"
"2021-03-21",4394,"2021-04-05",83,86,4331,4404,15,"4.11%"
"2021-03-22",4407,"2021-04-06",83,87,4333,4408,15,"5.33%"
"2021-03-23",4412,"2021-04-07",84,87,4334,4413,15,"3.8%"
"2021-03-24",4419,"2021-04-09",84,88,4335,4493,16,"2.53%"
"2021-03-25",4424,"2021-04-09",84,88,4337,4493,15,"2.56%"
"2021-03-26",4436,"2021-04-09",84,88,4340,4493,14,"2.61%"
"2021-03-27",4462,"2021-04-09",84,88,4341,4493,13,"2.63%"
"2021-03-28",4483,"2021-04-09",84,88,4346,4493,12,"2.72%"
"2021-03-29",4531,"2021-04-12",84,88,4347,4548,14,"1.99%"
"2021-03-30",4538,"2021-04-12",85,88,4358,4548,13,"1.58%"
"2021-03-31",4555,"2021-04-13",85,89,4360,4555,13,"2.05%"
"2021-04-01",4577,"2021-04-15",85,92,4371,4614,14,"2.88%"
"2021-04-02",4590,"2021-04-15",85,92,4373,4614,13,"2.9%"
"2021-04-03",4604,"2021-04-15",86,92,4384,4614,12,"2.61%"
"2021-04-04",4632,"2021-04-16",86,92,4388,4638,12,"2.4%"
"2021-04-05",4653,"2021-04-17",86,92,4404,4704,12,"2.%"
"2021-04-06",4674,"2021-04-17",87,92,4408,4704,11,"1.69%"
"2021-04-07",4723,"2021-04-18",87,92,4413,4741,11,"1.52%"
"2021-04-08",4770,"2021-04-19",87,92,4413,4771,11,"1.4%"
"2021-04-09",4833,"2021-04-20",89,94,4493,4859,11,"1.37%"
"2021-04-10",4902,"2021-04-22",88,103,4523,5029,12,"2.96%"
"2021-04-11",4988,"2021-04-22",88,103,4526,5029,11,"2.98%"
"2021-04-12",5049,"2021-04-23",88,103,4548,5136,11,"2.55%"
"2021-04-13",5145,"2021-04-24",89,104,4555,5227,11,"2.23%"
"2021-04-14",5235,"2021-04-25",90,111,4573,5423,11,"2.47%"
"2021-04-15",5326,"2021-04-25",92,111,4614,5423,10,"2.35%"
"2021-04-16",5483,"2021-04-26",92,113,4638,5731,10,"1.92%"
"2021-04-17",5668,"2021-04-26",93,113,4704,5731,9,"1.95%"
"2021-04-18",6234,"2021-04-28",92,117,4741,6364,10,"1.54%"
"2021-04-19",6641,"2021-04-29",92,118,4771,6716,10,"1.34%"
"2021-04-20",6810,"2021-04-30",94,123,4859,7206,10,"1.24%"
"2021-04-21",7107,"2021-04-30",103,123,4899,7206,9,".87%"
"2021-04-22",7329,"2021-05-01",103,133,5029,7473,9,"1.23%"
"2021-04-23",7783,"2021-05-02",103,138,5136,7832,9,"1.3%"
"2021-04-24",8081,"2021-05-03",104,142,5227,8492,9,"1.16%"
"2021-04-25",8258,"2021-05-03",111,142,5423,8492,8,"1.01%"
"2021-04-26",8979,"2021-05-05",113,152,5731,9442,9,"1.05%"
"2021-04-27",9277,"2021-05-05",117,152,5932,9442,8,"1.%"
"2021-04-28",9573,"2021-05-06",117,155,6364,9946,8,"1.06%"
"2021-04-29",9954,"2021-05-07",118,156,6716,10347,8,"1.05%"
"2021-04-30",10298,"2021-05-07",123,156,7206,10347,7,"1.05%"
"2021-05-01",10764,"2021-05-09",133,159,7473,10947,8,".75%"
"2021-05-02",11301,"2021-05-10",138,160,7832,11381,8,".62%"
"2021-05-03",11671,"2021-05-13",142,165,8492,11790,10,".7%"
"2021-05-04",11848,"2021-05-14",150,168,8833,12065,10,".56%"
"2021-05-05",12213,"2021-05-15",152,177,9442,12385,10,".85%"
"2021-05-06",12574,"2021-05-16",155,181,9946,12639,10,".97%"
"2021-05-07",12886,"2021-05-18",156,182,10347,13065,11,".96%"
"2021-05-08",13152,"2021-05-19",157,182,10632,13197,11,".97%"
"2021-05-09",13369,"2021-05-22",159,189,10947,13419,13,"1.21%"
"2021-05-10",13443,"2021-05-23",160,193,11381,13456,13,"1.59%"
"2021-05-11",13536,"2021-05-25",163,195,11544,13634,14,"1.53%"
"2021-05-12",13618,"2021-05-25",163,195,11632,13634,13,"1.6%"
"2021-05-13",13788,"2021-05-28",165,197,11790,13831,15,"1.57%"
"2021-05-14",13852,"2021-05-29",168,198,12065,13960,15,"1.58%"
"2021-05-15",13932,"2021-05-29",177,198,12385,13960,14,"1.33%"
"2021-05-16",13984,"2021-05-30",181,199,12639,14050,14,"1.28%"
"2021-05-17",14040,"2021-05-30",182,199,12840,14050,13,"1.4%"
"2021-05-18",14138,"2021-06-01",182,200,13065,14215,14,"1.57%"
"2021-05-19",14223,"2021-06-02",182,201,13197,14280,14,"1.75%"
"2021-05-20",14272,"2021-06-02",186,201,13285,14280,13,"1.51%"
"2021-05-21",14324,"2021-06-03",187,205,13367,14330,13,"1.87%"
"2021-05-22",14357,"2021-06-04",189,209,13419,14406,13,"2.03%"
"2021-05-23",14390,"2021-06-04",193,209,13456,14406,12,"1.68%"
"2021-05-24",14409,"2021-06-05",195,209,13527,14431,12,"1.55%"
"2021-05-25",14471,"2021-06-07",195,209,13634,14471,13,"1.67%"
"2021-05-26",14493,"2021-06-08",197,214,13675,14519,13,"2.01%"
"2021-05-27",14521,"2021-06-09",197,217,13725,14548,13,"2.43%"
"2021-05-28",14536,"2021-06-09",197,217,13831,14548,12,"2.79%"
"2021-05-29",14549,"2021-06-10",198,218,13960,14557,12,"3.35%"
"2021-05-30",14563,"2021-06-11",199,218,14050,14574,12,"3.63%"
"2021-05-31",14577,"2021-06-12",199,218,14118,14586,12,"4.06%"
"2021-06-01",14585,"2021-06-12",200,218,14215,14586,11,"4.85%"
"2021-06-02",14603,"2021-06-14",201,221,14280,14603,12,"6.19%"
"2021-06-03",14613,"2021-06-16",205,222,14330,14622,13,"5.82%"
"2021-06-04",14622,"2021-06-16",209,222,14406,14622,12,"6.02%"
