"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-06-29",489,"2020-07-13",16,35,291,496,14,"9.27%"
"2020-06-30",498,"2020-07-14",20,36,303,511,14,"7.69%"
"2020-07-01",514,"2020-07-15",20,36,321,535,14,"7.48%"
"2020-07-02",563,"2020-07-16",23,38,337,567,14,"6.52%"
"2020-07-03",597,"2020-07-20",24,43,348,600,17,"7.54%"
"2020-07-04",609,"2020-07-22",27,44,371,635,18,"6.44%"
"2020-07-05",647,"2020-07-23",27,44,371,650,18,"6.09%"
"2020-07-06",664,"2020-07-24",28,46,385,679,18,"6.12%"
"2020-07-07",693,"2020-07-25",30,51,406,786,18,"5.53%"
"2020-07-08",697,"2020-07-25",30,51,417,786,17,"5.69%"
"2020-07-09",729,"2020-07-25",30,51,437,786,16,"6.02%"
"2020-07-10",778,"2020-07-25",32,51,450,786,15,"5.65%"
"2020-07-11",818,"2020-07-26",33,53,475,838,15,"5.51%"
"2020-07-12",856,"2020-07-27",33,54,481,872,15,"5.37%"
"2020-07-13",923,"2020-07-28",35,60,496,930,15,"5.76%"
"2020-07-14",969,"2020-07-29",36,60,511,976,15,"5.16%"
"2020-07-15",1016,"2020-07-31",36,72,535,1078,16,"6.63%"
"2020-07-16",1094,"2020-08-01",38,74,567,1329,16,"4.72%"
"2020-07-17",1159,"2020-08-01",39,74,569,1329,15,"4.61%"
"2020-07-18",1261,"2020-08-01",41,74,572,1329,14,"4.36%"
"2020-07-19",1334,"2020-08-02",42,77,581,1420,14,"4.17%"
"2020-07-20",1456,"2020-08-03",43,83,600,1546,14,"4.23%"
"2020-07-21",1551,"2020-08-04",44,84,603,1672,14,"3.74%"
"2020-07-22",1620,"2020-08-04",44,84,635,1672,13,"3.86%"
"2020-07-23",1669,"2020-08-04",44,84,650,1672,12,"3.91%"
"2020-07-24",1816,"2020-08-05",46,87,679,1840,12,"3.53%"
"2020-07-25",1981,"2020-08-07",51,95,786,2094,13,"3.36%"
"2020-07-26",2127,"2020-08-08",53,98,838,2209,13,"3.28%"
"2020-07-27",2272,"2020-08-10",54,104,872,2409,14,"3.25%"
"2020-07-28",2410,"2020-08-11",60,107,930,2585,14,"2.84%"
"2020-07-29",2537,"2020-08-11",60,107,976,2585,13,"2.92%"
"2020-07-30",2687,"2020-08-12",67,110,987,2743,13,"2.45%"
"2020-07-31",2784,"2020-08-13",72,113,1078,2898,13,"2.25%"
"2020-08-01",3013,"2020-08-15",74,119,1329,3180,14,"2.43%"
"2020-08-02",3114,"2020-08-15",77,119,1420,3180,13,"2.39%"
"2020-08-03",3309,"2020-08-16",83,122,1546,3386,13,"2.12%"
"2020-08-04",3418,"2020-08-17",84,125,1672,3570,13,"2.16%"
"2020-08-05",3549,"2020-08-17",87,125,1840,3570,12,"2.2%"
"2020-08-06",3830,"2020-08-18",92,128,1956,3881,12,"1.87%"
"2020-08-07",4094,"2020-08-19",95,131,2094,4139,12,"1.76%"
"2020-08-08",4314,"2020-08-20",98,135,2209,4451,12,"1.65%"
"2020-08-09",4615,"2020-08-21",101,138,2259,4743,12,"1.49%"
"2020-08-10",4763,"2020-08-22",104,142,2409,4911,12,"1.52%"
"2020-08-11",4931,"2020-08-23",107,145,2585,5086,12,"1.52%"
"2020-08-12",5097,"2020-08-24",110,147,2743,5227,12,"1.49%"
"2020-08-13",5189,"2020-08-24",113,147,2898,5227,11,"1.46%"
"2020-08-14",5351,"2020-08-25",116,150,2989,5410,11,"1.4%"
"2020-08-15",5492,"2020-08-26",119,154,3180,5586,11,"1.45%"
"2020-08-16",5706,"2020-08-28",122,159,3386,5834,12,"1.51%"
"2020-08-17",5882,"2020-08-29",125,161,3570,6007,12,"1.48%"
"2020-08-18",6029,"2020-08-30",128,163,3881,6217,12,"1.5%"
"2020-08-19",6169,"2020-08-30",131,163,4139,6217,11,"1.54%"
"2020-08-20",6316,"2020-08-31",135,166,4451,6418,11,"1.58%"
"2020-08-21",6503,"2020-09-01",138,169,4743,6535,11,"1.73%"
"2020-08-22",6658,"2020-09-02",142,170,4911,6731,11,"1.54%"
"2020-08-23",6900,"2020-09-04",145,176,5086,6981,12,"1.64%"
"2020-08-24",6991,"2020-09-05",147,180,5227,7172,12,"1.7%"
"2020-08-25",7143,"2020-09-05",150,180,5410,7172,11,"1.7%"
"2020-08-26",7343,"2020-09-07",154,188,5586,7485,12,"1.79%"
"2020-08-27",7489,"2020-09-08",156,191,5663,7737,12,"1.69%"
"2020-08-28",7627,"2020-09-08",159,191,5834,7737,11,"1.68%"
"2020-08-29",7804,"2020-09-09",161,194,6007,7940,11,"1.71%"
"2020-08-30",8002,"2020-09-10",163,198,6217,8062,11,"1.9%"
"2020-08-31",8210,"2020-09-11",166,200,6418,8226,11,"1.88%"
"2020-09-01",8355,"2020-09-12",169,203,6535,8467,11,"1.76%"
"2020-09-02",8599,"2020-09-13",170,206,6731,8661,11,"1.87%"
"2020-09-03",8817,"2020-09-14",173,209,6831,8842,11,"1.79%"
"2020-09-04",9021,"2020-09-15",176,211,6981,9062,11,"1.68%"
"2020-09-05",9208,"2020-09-16",180,213,7172,9243,11,"1.59%"
"2020-09-06",9356,"2020-09-17",183,218,7335,9388,11,"1.7%"
"2020-09-07",9500,"2020-09-18",188,220,7485,9591,11,"1.52%"
"2020-09-08",9700,"2020-09-19",191,223,7737,9806,11,"1.55%"
"2020-09-09",9879,"2020-09-20",194,226,7940,10039,11,"1.52%"
"2020-09-10",10054,"2020-09-21",198,228,8062,10212,11,"1.4%"
"2020-09-11",10286,"2020-09-22",200,229,8226,10409,11,"1.33%"
"2020-09-12",10537,"2020-09-23",203,233,8467,10611,11,"1.4%"
"2020-09-13",10760,"2020-09-25",206,239,8661,10896,12,"1.48%"
