"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-11-30",545772,"2021-01-18",7754,8065,521473,546222,49,"1.26%"
"2020-12-01",547429,"2021-01-26",7781,8120,523559,551131,56,"1.23%"
"2020-12-26",548527,"2021-01-26",7795,8120,524941,551131,31,"1.24%"
"2020-12-27",543722,"2021-01-15",7719,7974,520680,543739,19,"1.11%"
"2020-12-28",544568,"2021-01-15",7769,7974,522273,544972,18,".9%"
"2020-12-29",544500,"2021-01-15",7756,7974,522558,544972,17,".97%"
"2020-12-30",553383,"2021-03-24",7871,8120,531825,554515,84,"1.1%"
"2021-01-01",556194,"2021-03-26",7910,8175,535148,558146,84,"1.15%"
"2021-01-02",555632,"2021-03-26",7911,8175,535140,558146,83,"1.15%"
"2021-01-03",555387,"2021-03-26",7908,8175,535388,558146,82,"1.17%"
"2021-01-04",556445,"2021-03-26",7939,8175,536810,558146,81,"1.11%"
"2021-01-05",557809,"2021-03-26",7957,8175,538345,558146,80,"1.1%"
"2021-01-06",559785,"2021-03-31",7973,8311,540630,567141,84,"1.27%"
"2021-01-07",560288,"2021-03-31",7983,8311,541286,567141,83,"1.27%"
"2021-01-08",561055,"2021-03-31",8000,8311,542304,567141,82,"1.25%"
"2021-01-09",562341,"2021-03-31",8024,8311,543703,567141,81,"1.22%"
"2021-01-10",537536,"2021-01-12",7685,7868,520354,537910,2,"1.04%"
"2021-01-11",549043,"2021-01-26",7870,8120,531240,551131,15,"1.26%"
"2021-01-12",559409,"2021-03-31",8002,8311,541713,567141,78,"1.22%"
"2021-01-13",559083,"2021-03-31",8009,8311,541877,567141,77,"1.2%"
"2021-01-14",553343,"2021-03-24",7894,8120,536341,554515,69,"1.24%"
"2021-01-15",562094,"2021-03-31",8053,8311,545341,567141,75,"1.18%"
"2021-01-16",554002,"2021-03-24",7939,8120,538017,554515,67,"1.1%"
"2021-01-17",561470,"2021-03-31",8050,8311,545720,567141,73,"1.22%"
"2021-01-18",562012,"2021-03-31",8065,8311,546222,567141,72,"1.18%"
"2021-01-19",556928,"2021-03-26",8005,8175,541745,558146,66,"1.04%"
"2021-01-20",558536,"2021-03-26",8008,8225,543739,558566,65,"1.46%"
"2021-01-21",543055,"2021-01-26",7803,7974,528632,544972,5,"1.05%"
"2021-01-22",543997,"2021-01-26",7864,7974,529843,544972,4,".73%"
"2021-01-23",530162,"2021-01-24",7590,7840,516181,530447,1,"1.75%"
"2021-01-24",554032,"2021-03-24",7987,8120,540021,554515,59,".92%"
"2021-01-25",544076,"2021-01-26",7840,7974,530447,544972,1,".92%"
"2021-01-26",566624,"2021-03-31",8132,8311,552890,567141,64,"1.26%"
"2021-01-27",536847,"2021-01-29",7687,7868,524105,536922,2,"1.41%"
"2021-01-28",538588,"2021-02-02",7739,7868,525823,538611,5,"1.01%"
"2021-01-29",549778,"2021-03-21",7960,8120,536922,551131,51,"1.13%"
"2021-01-30",543468,"2021-03-21",7870,7974,531225,544972,50,".76%"
"2021-01-31",531398,"2021-02-01",7694,7864,519472,532023,1,"1.35%"
"2021-02-01",549999,"2021-03-21",7948,8120,537910,551131,48,"1.3%"
"2021-02-02",550568,"2021-03-21",7896,8120,538909,551131,47,"1.83%"
"2021-02-03",543444,"2021-03-21",7888,7974,532023,544972,46,".66%"
"2021-02-04",543272,"2021-03-21",7864,7974,532041,544972,45,".85%"
"2021-02-05",536012,"2021-03-14",7695,7868,525138,538611,37,"1.28%"
"2021-02-06",507721,"2021-02-07",7315,7482,497292,509728,1,"1.34%"
"2021-02-07",535121,"2021-03-14",7756,7868,524839,538611,35,".81%"
"2021-02-08",528643,"2021-03-14",7678,7868,518803,538611,34,".96%"
"2021-02-09",500445,"2021-02-10",7273,7440,491020,502791,1,"1.42%"
"2021-02-10",515833,"2021-03-14",7493,7729,506402,526215,32,"1.19%"
"2021-02-11",482752,"2021-02-12",6986,7153,473423,485142,1,"1.43%"
"2021-02-12",504617,"2021-02-13",7373,7482,495151,509728,1,".75%"
"2021-02-13",521371,"2021-03-14",7556,7729,511809,526215,29,"1.2%"
"2021-02-14",471998,"2021-02-17",6881,6914,463203,472403,3,".36%"
"2021-02-15",461464,"2021-02-16",6673,6698,453691,462294,1,".29%"
"2021-02-16",474056,"2021-02-17",6854,6996,465533,474477,1,"1.59%"
"2021-02-17",498631,"2021-02-23",7335,7352,490169,500270,6,".17%"
"2021-02-19",402545,"2021-02-20",5915,6585,394434,443688,1,"1.36%"
"2021-02-20",478104,"2021-02-23",7024,7045,469354,479543,3,".21%"
"2021-02-21",473109,"2021-02-23",6855,6996,464511,474477,2,"1.41%"
"2021-02-23",522335,"2021-03-14",7587,7729,513528,526215,19,"1.12%"
"2021-02-24",473388,"2021-03-05",6882,6996,465160,474477,9,"1.22%"
"2021-02-25",473632,"2021-03-05",7086,6996,465552,474477,8,"-1.01%"
"2021-02-26",455645,"2021-02-28",6766,6698,447603,455788,2,"-.83%"
"2021-02-27",451728,"2021-02-28",6610,6698,443688,455788,1,".73%"
"2021-02-28",464338,"2021-03-01",6747,6913,455788,464935,1,"1.81%"
"2021-03-01",473163,"2021-03-05",6913,6996,464935,474477,4,".87%"
"2021-03-02",469795,"2021-03-05",6931,6914,461189,472403,3,"-.15%"
"2021-03-03",452524,"2021-03-04",6585,6698,444484,458968,1,".78%"
"2021-03-04",470291,"2021-03-05",6698,6914,462294,472403,1,"2.14%"
"2021-03-05",482856,"2021-03-06",6996,7153,474477,485142,1,"1.47%"
"2021-03-06",495271,"2021-03-12",7153,7352,487151,500270,6,"1.52%"
"2021-03-07",480310,"2021-03-09",6914,7045,472403,481805,2,"1.39%"
"2021-03-08",467169,"2021-03-09",6756,7045,458968,479543,1,"1.4%"
"2021-03-09",490906,"2021-03-12",7045,7226,482578,492085,3,"1.9%"
"2021-03-10",493506,"2021-03-12",7236,7314,485142,494752,2,".81%"
"2021-03-11",490177,"2021-03-12",7185,7226,481805,492085,1,".4%"
"2021-03-12",511051,"2021-03-14",7440,7729,502791,526215,2,"1.23%"
"2021-03-14",551326,"2021-03-24",7948,8120,542430,552548,10,"1.7%"
"2021-03-15",500339,"2021-03-17",7226,7482,492085,509728,2,"1.45%"
"2021-03-16",487971,"2021-03-17",7049,7314,479543,494752,1,"1.74%"
"2021-03-17",519344,"2021-03-21",7535,7729,510471,526215,4,"1.23%"
"2021-03-18",503422,"2021-03-20",7314,7482,494752,509728,2,"1.12%"
"2021-03-19",509374,"2021-03-20",7352,7482,500270,509728,1,"1.37%"
"2021-03-20",518915,"2021-03-21",7482,7729,509728,526215,1,"1.5%"
"2021-03-21",561182,"2021-03-31",8129,8311,551131,567141,10,"1.14%"
"2021-03-22",536605,"2021-03-23",7729,7868,526215,538611,1,"1.12%"
"2021-03-23",549321,"2021-03-24",7868,8120,538611,552548,1,"1.81%"
"2021-03-24",566131,"2021-03-31",8183,8311,554515,567141,7,"1.01%"
"2021-03-25",564791,"2021-03-31",8135,8311,552548,567141,6,"1.21%"
"2021-03-26",571508,"2021-04-05",8225,8421,558566,573182,10,"1.34%"
"2021-03-27",568580,"2021-04-02",8120,8363,554933,570632,6,"1.55%"
"2021-03-28",573109,"2021-04-05",8218,8421,558146,573182,8,"1.35%"
"2021-03-29",560575,"2021-03-31",7974,8311,544972,567141,2,"1.52%"
"2021-03-30",574803,"2021-04-07",8175,8491,558529,575789,8,"1.83%"
"2021-03-31",584257,"2021-04-12",8311,8751,567141,586012,12,"2.33%"
"2021-04-01",587555,"2021-04-13",8326,8836,568350,589571,12,"2.4%"
"2021-04-02",592038,"2021-04-14",8363,8903,570632,594155,12,"2.3%"
"2021-04-03",591552,"2021-04-14",8341,8903,567762,594155,11,"2.13%"
"2021-04-04",598076,"2021-04-15",8401,9007,571046,598481,11,"2.21%"
"2021-04-05",603335,"2021-04-16",8421,9110,573182,605013,11,"2.16%"
"2021-04-06",609230,"2021-04-17",8451,9230,574388,612964,11,"2.02%"
"2021-04-07",615232,"2021-04-18",8491,9357,575912,622132,11,"1.87%"
"2021-04-08",622415,"2021-04-19",8523,9524,575789,633277,11,"1.74%"
"2021-04-09",633293,"2021-04-20",8566,9686,577654,647830,11,"1.6%"
"2021-04-10",646041,"2021-04-20",8612,9686,579907,647830,10,"1.58%"
"2021-04-11",661317,"2021-04-21",8679,9873,582743,662215,10,"1.5%"
"2021-04-12",674921,"2021-04-22",8751,10068,586012,678924,10,"1.42%"
"2021-04-13",692884,"2021-04-23",8836,10264,589571,701686,10,"1.27%"
"2021-04-14",713323,"2021-04-24",8903,10486,594155,725139,10,"1.21%"
"2021-04-15",735662,"2021-04-25",9007,10692,598481,750978,10,"1.1%"
"2021-04-16",763022,"2021-04-26",9110,10941,605013,777946,10,"1.06%"
"2021-04-17",790356,"2021-04-27",9230,11205,612964,808608,10,"1.01%"
"2021-04-18",820922,"2021-04-28",9357,11470,622132,844776,10,".95%"
"2021-04-19",849133,"2021-04-29",9524,11765,633277,870684,10,".94%"
"2021-04-20",878707,"2021-04-30",9686,12097,647830,903510,10,".94%"
"2021-04-21",911813,"2021-05-01",9873,12401,662215,942640,10,".9%"
"2021-04-22",946067,"2021-05-02",10068,12689,678924,979578,10,".87%"
"2021-04-23",982672,"2021-05-03",10264,12974,701686,1018550,10,".86%"
"2021-04-24",1020616,"2021-05-04",10486,13325,725139,1057584,10,".85%"
"2021-04-25",1055927,"2021-05-04",10692,13325,750978,1057584,9,".86%"
"2021-04-26",1089478,"2021-05-05",10941,13678,777946,1098789,9,".85%"
"2021-04-27",1122399,"2021-05-06",11205,14028,808608,1128041,9,".88%"
"2021-04-28",1152150,"2021-05-07",11470,14400,844776,1161530,9,".93%"
"2021-04-29",1187254,"2021-05-08",11765,14697,870684,1196548,9,".9%"
"2021-04-30",1221626,"2021-05-09",12097,14991,903510,1231478,9,".88%"
"2021-05-01",1251806,"2021-05-10",12401,15269,942640,1261465,9,".9%"
