"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-05-19",2,"2020-06-18",,1,,41,30,"-"
"2020-05-21",11,"2020-06-18",,1,,41,28,"-"
"2020-05-22",6,"2020-06-18",,1,,41,27,"-"
"2020-05-24",8,"2020-06-18",,1,,41,25,"-"
"2020-05-29",16,"2020-06-18",,1,,41,20,"-"
"2020-06-01",21,"2020-06-18",,1,,41,17,"-"
"2020-06-02",21,"2020-06-18",,1,,41,16,"-"
"2020-06-04",23,"2020-06-18",,1,,41,14,"-"
"2020-06-05",23,"2020-06-18",,1,,41,13,"-"
"2020-06-06",27,"2020-06-18",,1,,41,12,"-"
"2020-06-07",33,"2020-06-18",,1,,41,11,"-"
"2020-06-08",35,"2020-06-18",,1,,41,10,"-"
"2020-06-09",40,"2020-06-18",,1,,41,9,"-"
"2020-06-14",40,"2020-06-18",,1,,41,4,"-"
"2020-06-15",42,"2020-06-19",,1,,43,4,"-"
"2020-06-17",47,"2020-06-22",,1,,47,5,"-"
"2020-06-18",47,"2020-06-22",1,1,41,47,4,"0.%"
"2020-06-19",54,"2020-06-26",1,1,43,54,7,"0.%"
"2020-06-20",59,"2020-06-29",1,1,43,62,9,"0.%"
"2020-06-21",59,"2020-06-29",1,1,46,62,8,"0.%"
"2020-06-22",59,"2020-06-29",1,1,47,62,7,"0.%"
"2020-06-23",63,"2020-06-30",1,1,47,67,7,"0.%"
"2020-06-24",68,"2020-07-01",1,1,47,68,7,"0.%"
"2020-06-25",74,"2020-07-03",1,1,51,75,8,"0.%"
"2020-06-26",74,"2020-07-03",1,1,54,75,7,"0.%"
"2020-06-27",81,"2020-07-06",1,1,56,81,9,"0.%"
"2020-06-29",81,"2020-07-06",1,1,62,81,7,"0.%"
"2020-06-30",83,"2020-07-07",1,1,67,83,7,"0.%"
"2020-07-01",83,"2020-07-07",1,1,68,83,6,"0.%"
"2020-07-02",83,"2020-07-07",1,1,73,83,5,"0.%"
"2020-07-03",86,"2020-07-09",1,1,75,86,6,"0.%"
"2020-07-04",92,"2020-07-10",1,1,75,93,6,"0.%"
