"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-08-19",2650,"2020-08-31",94,131,1938,2841,12,"4.1%"
"2020-08-20",2737,"2020-08-31",97,131,1974,2841,11,"3.92%"
"2020-08-21",2832,"2020-08-31",99,131,2006,2841,10,"3.83%"
"2020-08-22",2914,"2020-09-01",100,137,2101,2927,10,"4.48%"
"2020-08-23",2980,"2020-09-02",101,143,2135,2986,10,"4.94%"
"2020-08-24",3007,"2020-09-03",103,147,2214,3092,10,"5.01%"
"2020-08-25",3127,"2020-09-04",105,153,2264,3193,10,"5.17%"
"2020-08-26",3297,"2020-09-05",107,163,2345,3357,10,"5.53%"
"2020-08-27",3447,"2020-09-06",113,170,2369,3524,10,"4.94%"
"2020-08-28",3632,"2020-09-07",119,170,2417,3715,10,"3.93%"
"2020-08-29",3811,"2020-09-08",125,176,2505,3829,10,"3.85%"
"2020-08-30",3931,"2020-09-12",128,195,2629,4026,13,"4.8%"
"2020-08-31",4080,"2020-09-13",131,200,2841,4360,13,"4.54%"
"2020-09-01",4249,"2020-09-13",137,200,2927,4360,12,"4.4%"
"2020-09-02",4433,"2020-09-14",143,207,2986,4638,12,"3.87%"
"2020-09-03",4705,"2020-09-15",147,214,3092,4868,12,"3.77%"
"2020-09-04",4910,"2020-09-16",153,220,3193,5146,12,"3.43%"
"2020-09-05",5136,"2020-09-16",163,220,3357,5146,11,"3.19%"
"2020-09-06",5371,"2020-09-18",170,233,3524,5752,12,"2.83%"
"2020-09-07",5612,"2020-09-18",170,233,3715,5752,11,"3.09%"
"2020-09-08",5860,"2020-09-19",176,235,3829,5955,11,"2.78%"
"2020-09-09",6111,"2020-09-20",181,239,3904,6388,11,"2.33%"
"2020-09-10",6386,"2020-09-20",184,239,3907,6388,10,"2.22%"
"2020-09-11",6667,"2020-09-21",188,246,3911,6702,10,"2.08%"
"2020-09-12",6957,"2020-09-22",195,251,4026,7161,10,"1.79%"
"2020-09-13",7580,"2020-09-24",200,262,4360,7742,11,"1.83%"
"2020-09-14",7965,"2020-09-25",207,269,4638,8331,11,"1.68%"
"2020-09-15",8386,"2020-09-26",214,278,4868,8729,11,"1.66%"
"2020-09-16",8815,"2020-09-27",220,283,5146,8978,11,"1.64%"
"2020-09-17",9245,"2020-09-28",230,285,5322,9419,11,"1.34%"
"2020-09-18",9604,"2020-09-29",233,289,5752,9834,11,"1.37%"
"2020-09-19",10272,"2020-10-01",235,302,5955,10487,12,"1.48%"
"2020-09-20",10680,"2020-10-02",239,308,6388,10689,12,"1.6%"
"2020-09-21",10989,"2020-10-04",246,313,6702,11109,13,"1.52%"
"2020-09-22",11357,"2020-10-06",251,325,7161,11594,14,"1.67%"
"2020-09-23",11675,"2020-10-07",258,332,7547,11796,14,"1.74%"
"2020-09-24",11836,"2020-10-08",262,342,7742,12052,14,"1.86%"
"2020-09-25",12039,"2020-10-08",269,342,8331,12052,13,"1.96%"
"2020-09-26",12334,"2020-10-09",278,355,8729,12646,13,"1.97%"
"2020-09-27",12575,"2020-10-09",283,355,8978,12646,12,"1.96%"
"2020-09-28",12688,"2020-10-10",285,371,9419,12840,12,"2.51%"
"2020-09-29",12862,"2020-10-11",289,382,9834,12973,12,"2.96%"
"2020-09-30",13198,"2020-10-13",294,410,10263,13398,13,"3.7%"
"2020-10-01",13260,"2020-10-13",302,410,10487,13398,12,"3.71%"
"2020-10-02",13327,"2020-10-13",308,410,10689,13398,11,"3.77%"
"2020-10-03",13469,"2020-10-14",313,422,10951,13566,11,"4.17%"
"2020-10-04",13941,"2020-10-17",313,517,11109,14039,13,"6.96%"
"2020-10-05",14145,"2020-10-19",320,522,11327,14193,14,"7.05%"
"2020-10-06",14268,"2020-10-20",325,532,11594,14306,14,"7.63%"
"2020-10-07",14492,"2020-10-21",332,537,11796,14619,14,"7.26%"
"2020-10-08",14562,"2020-10-21",342,537,12052,14619,13,"7.6%"
"2020-10-09",14804,"2020-10-22",355,540,12646,14814,13,"8.53%"
"2020-10-10",14971,"2020-10-23",371,546,12840,15078,13,"7.82%"
"2020-10-11",15152,"2020-10-25",382,551,12973,15189,14,"7.63%"
"2020-10-12",15260,"2020-10-26",392,557,13126,15391,14,"7.28%"
"2020-10-13",15332,"2020-10-26",410,557,13398,15391,13,"7.38%"
"2020-10-14",15489,"2020-10-27",422,561,13566,15510,13,"7.15%"
"2020-10-15",15639,"2020-10-29",436,562,13832,15813,14,"6.36%"
"2020-10-17",15804,"2020-10-29",517,562,14039,15813,12,"2.54%"
"2020-10-18",15932,"2020-10-31",519,573,14052,15980,13,"2.8%"
"2020-10-19",16016,"2020-11-01",522,575,14193,16038,13,"2.87%"
"2020-10-20",16106,"2020-11-02",532,576,14306,16135,13,"2.41%"
"2020-10-21",16246,"2020-11-03",537,578,14619,16345,13,"2.38%"
"2020-10-22",16353,"2020-11-04",540,580,14814,16433,13,"2.47%"
"2020-10-23",16397,"2020-11-04",546,580,15078,16433,12,"2.51%"
"2020-10-25",16486,"2020-11-05",551,584,15189,16518,11,"2.48%"
"2020-10-26",16583,"2020-11-06",557,586,15391,16618,11,"2.36%"
"2020-10-27",16641,"2020-11-07",561,588,15510,16696,11,"2.28%"
"2020-10-28",16720,"2020-11-08",562,588,15638,16761,11,"2.32%"
"2020-10-29",16798,"2020-11-09",562,596,15813,16830,11,"3.34%"
"2020-10-30",16876,"2020-11-10",564,600,15890,16909,11,"3.53%"
"2020-10-31",16972,"2020-11-11",573,601,15980,16973,11,"2.82%"
"2020-11-01",17016,"2020-11-12",575,605,16038,17113,11,"2.79%"
"2020-11-02",17100,"2020-11-12",576,605,16135,17113,10,"2.97%"
"2020-11-03",17174,"2020-11-15",578,606,16345,17231,12,"3.16%"
"2020-11-04",17295,"2020-11-16",580,608,16433,17359,12,"3.02%"
"2020-11-05",17379,"2020-11-17",584,610,16518,17453,12,"2.78%"
"2020-11-06",17542,"2020-11-18",586,612,16618,17604,12,"2.64%"
"2020-11-07",17690,"2020-11-19",588,614,16696,17715,12,"2.55%"
"2020-11-08",17787,"2020-11-20",588,615,16761,17820,12,"2.55%"
"2020-11-09",17877,"2020-11-21",596,616,16830,17988,12,"1.73%"
"2020-11-10",18007,"2020-11-22",600,621,16909,18108,12,"1.75%"
"2020-11-11",18234,"2020-11-24",601,628,16973,18238,13,"2.13%"
"2020-11-12",18349,"2020-11-25",605,636,17113,18386,13,"2.44%"
"2020-11-15",18429,"2020-11-26",606,643,17231,18525,11,"2.86%"
"2020-11-16",18536,"2020-11-27",608,645,17359,18630,11,"2.91%"
"2020-11-17",18678,"2020-11-28",610,652,17453,18824,11,"3.06%"
