"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-06-06",44,"2020-08-14",,2,,154,69,"-"
"2020-06-08",44,"2020-08-14",,2,,154,67,"-"
"2020-06-09",51,"2020-08-14",,2,,154,66,"-"
"2020-06-11",51,"2020-08-14",,2,,154,64,"-"
"2020-06-15",53,"2020-08-14",,2,,154,60,"-"
"2020-06-16",60,"2020-08-14",,2,,154,59,"-"
"2020-06-19",64,"2020-08-14",,2,,154,56,"-"
"2020-06-24",65,"2020-08-14",,2,,154,51,"-"
"2020-06-29",65,"2020-08-14",,2,,154,46,"-"
"2020-07-01",65,"2020-08-14",,2,,154,44,"-"
"2020-07-02",66,"2020-08-14",,2,,154,43,"-"
"2020-07-03",67,"2020-08-14",,2,,154,42,"-"
"2020-07-06",67,"2020-08-14",,2,,154,39,"-"
"2020-07-07",70,"2020-08-14",,2,,154,38,"-"
"2020-07-08",70,"2020-08-14",,2,,154,37,"-"
"2020-07-15",77,"2020-08-14",,2,,154,30,"-"
"2020-07-18",80,"2020-08-14",,2,,154,27,"-"
"2020-07-21",80,"2020-08-14",,2,,154,24,"-"
"2020-07-22",85,"2020-08-14",,2,,154,23,"-"
"2020-07-23",85,"2020-08-14",,2,,154,22,"-"
"2020-07-24",87,"2020-08-14",,2,,154,21,"-"
"2020-07-25",105,"2020-08-14",,2,,154,20,"-"
"2020-07-27",108,"2020-08-14",,2,,154,18,"-"
"2020-07-29",134,"2020-08-14",,2,,154,16,"-"
"2020-07-30",143,"2020-08-14",,2,,154,15,"-"
"2020-08-01",150,"2020-08-14",,2,,154,13,"-"
"2020-08-02",150,"2020-08-14",,2,,154,12,"-"
"2020-08-04",182,"2020-08-22",,2,,209,18,"-"
"2020-08-05",182,"2020-08-22",,2,,209,17,"-"
"2020-08-06",184,"2020-08-22",,2,,209,16,"-"
"2020-08-07",190,"2020-08-22",,2,,209,15,"-"
"2020-08-08",193,"2020-08-22",,2,,209,14,"-"
"2020-08-09",193,"2020-08-22",,2,,209,13,"-"
"2020-08-10",203,"2020-08-22",,2,,209,12,"-"
"2020-08-11",203,"2020-08-22",,2,,209,11,"-"
"2020-08-12",210,"2020-08-23",,2,,212,11,"-"
"2020-08-14",212,"2020-08-23",2,2,154,212,9,"0.%"
"2020-08-15",213,"2020-08-28",2,2,172,214,13,"0.%"
"2020-08-17",214,"2020-08-28",2,2,173,214,11,"0.%"
"2020-08-18",215,"2020-08-29",2,2,173,215,11,"0.%"
"2020-08-21",221,"2020-09-09",2,2,173,275,19,"0.%"
"2020-08-22",226,"2020-09-09",2,2,209,275,18,"0.%"
"2020-08-23",229,"2020-09-09",2,2,212,275,17,"0.%"
"2020-08-26",236,"2020-09-09",2,2,212,275,14,"0.%"
"2020-08-27",274,"2020-09-09",2,2,212,275,13,"0.%"
"2020-08-28",286,"2020-09-10",2,2,214,310,13,"0.%"
"2020-08-29",297,"2020-09-10",2,2,215,310,12,"0.%"
"2020-08-30",333,"2020-09-11",2,3,215,404,12,".53%"
"2020-08-31",339,"2020-09-11",2,3,215,404,11,".53%"
"2020-09-02",367,"2020-09-11",2,3,215,404,9,".53%"
"2020-09-03",395,"2020-09-11",2,3,215,404,8,".53%"
"2020-09-04",408,"2020-09-13",2,4,215,432,9,".92%"
"2020-09-05",416,"2020-09-13",2,4,218,432,8,".93%"
"2020-09-06",437,"2020-09-15",2,4,220,471,9,".8%"
"2020-09-07",444,"2020-09-15",2,4,220,471,8,".8%"
"2020-09-08",460,"2020-09-15",2,4,220,471,7,".8%"
