"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-03-20",1884,"2021-03-20",9,9,1925,1925,0,"-"
"2021-03-21",1885,"2021-03-21",9,9,1925,1925,0,"-"
"2021-03-23",1886,"2021-03-23",9,9,1925,1925,0,"-"
"2021-03-24",1894,"2021-03-24",9,9,1930,1930,0,"-"
"2021-03-25",1896,"2021-03-25",9,9,1930,1930,0,"-"
"2021-03-26",1899,"2021-03-26",9,9,1930,1930,0,"-"
"2021-03-27",1902,"2021-03-27",9,9,1930,1930,0,"-"
"2021-03-28",1906,"2021-03-28",9,9,1930,1930,0,"-"
"2021-04-01",1908,"2021-04-01",9,9,1930,1930,0,"-"
"2021-04-02",1913,"2021-04-02",9,9,1933,1933,0,"-"
"2021-04-03",1916,"2021-04-03",9,9,1933,1933,0,"-"
"2021-04-04",1917,"2021-04-04",9,9,1936,1936,0,"-"
"2021-04-05",1919,"2021-04-05",9,9,1941,1941,0,"-"
"2021-04-06",1924,"2021-04-06",9,9,1941,1941,0,"-"
"2021-04-07",1934,"2021-04-07",9,9,1945,1945,0,"-"
"2021-04-08",1946,"2021-04-08",9,9,1955,1955,0,"-"
"2021-04-10",1962,"2021-04-14",9,9,1955,1964,4,"0.%"
"2021-04-11",1967,"2021-04-15",9,9,1955,1967,4,"0.%"
"2021-04-12",1976,"2021-04-18",9,9,1961,1983,6,"0.%"
"2021-04-13",1988,"2021-04-20",9,9,1961,1991,7,"0.%"
"2021-04-14",1994,"2021-04-21",9,9,1964,1998,7,"0.%"
"2021-04-15",2043,"2021-04-25",9,13,1967,2053,10,"4.65%"
"2021-04-16",2060,"2021-04-26",9,15,1968,2066,10,"6.12%"
"2021-04-17",2139,"2021-04-28",9,16,1973,2148,11,"4.%"
"2021-04-18",2157,"2021-04-29",9,17,1983,2179,11,"4.08%"
"2021-04-19",2189,"2021-04-30",9,21,1983,2190,11,"5.8%"
"2021-04-20",2201,"2021-05-01",9,21,1991,2221,11,"5.22%"
"2021-04-21",2253,"2021-05-03",9,26,1998,2293,12,"5.76%"
"2021-04-22",2327,"2021-05-04",9,27,2000,2360,12,"5.%"
"2021-04-23",2362,"2021-05-05",10,33,2003,2408,12,"5.68%"
"2021-04-24",2415,"2021-05-06",10,35,2003,2449,12,"5.61%"
"2021-04-25",2479,"2021-05-09",13,40,2053,2494,14,"6.12%"
"2021-04-26",2543,"2021-05-10",15,45,2066,2661,14,"5.04%"
"2021-04-27",2578,"2021-05-10",16,45,2081,2661,13,"5.%"
"2021-04-28",2600,"2021-05-10",16,45,2148,2661,12,"5.65%"
"2021-04-29",2750,"2021-05-11",17,47,2179,2812,12,"4.74%"
"2021-04-30",2916,"2021-05-13",21,48,2190,3069,13,"3.07%"
"2021-05-01",2975,"2021-05-13",21,48,2221,3069,12,"3.18%"
"2021-05-02",3161,"2021-05-15",21,55,2252,3196,13,"3.6%"
"2021-05-03",3196,"2021-05-15",26,55,2293,3196,12,"3.21%"
"2021-05-04",3331,"2021-05-16",27,56,2360,3464,12,"2.63%"
"2021-05-05",3474,"2021-05-17",33,57,2408,3628,12,"1.97%"
"2021-05-06",3614,"2021-05-17",35,57,2449,3628,11,"1.87%"
"2021-05-07",3708,"2021-05-18",35,60,2455,3881,11,"1.75%"
"2021-05-08",3979,"2021-05-20",38,61,2466,4088,12,"1.42%"
"2021-05-09",4052,"2021-05-20",40,61,2494,4088,11,"1.32%"
"2021-05-10",4210,"2021-05-21",45,62,2661,4445,11,".95%"
"2021-05-11",4578,"2021-05-23",47,64,2812,4737,12,".88%"
"2021-05-12",4810,"2021-05-24",47,65,2906,4996,12,".86%"
"2021-05-13",5114,"2021-05-25",48,65,3069,5215,12,".79%"
"2021-05-14",5399,"2021-05-27",51,67,3136,5713,13,".62%"
"2021-05-15",5450,"2021-05-27",55,67,3196,5713,12,".48%"
"2021-05-16",5806,"2021-05-28",56,68,3464,5936,12,".49%"
"2021-05-17",6032,"2021-05-29",57,69,3628,6147,12,".48%"
"2021-05-18",6273,"2021-05-30",60,69,3881,6350,12,".36%"
"2021-05-19",6591,"2021-06-01",60,70,3930,6716,13,".36%"
"2021-05-20",6734,"2021-06-02",61,70,4088,6912,13,".32%"
"2021-05-21",6927,"2021-06-03",62,70,4445,7020,13,".31%"
"2021-05-22",7058,"2021-06-04",62,74,4461,7205,13,".44%"
"2021-05-23",7236,"2021-06-05",64,75,4737,7424,13,".41%"
"2021-05-24",7350,"2021-06-05",65,75,4996,7424,12,".41%"
"2021-05-25",7511,"2021-06-06",65,75,5215,7518,12,".43%"
"2021-05-26",7609,"2021-06-08",66,76,5293,7662,13,".42%"
"2021-05-27",7707,"2021-06-09",67,77,5713,7723,13,".5%"
"2021-05-28",7784,"2021-06-12",68,78,5936,7810,15,".53%"
"2021-05-29",7818,"2021-06-13",69,78,6147,7837,15,".53%"
"2021-05-30",7868,"2021-06-14",69,78,6350,7883,15,".59%"
"2021-05-31",7905,"2021-06-16",70,79,6531,7907,16,".65%"
