"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-24",951,"2020-08-13",5,11,427,1094,20,".9%"
"2020-07-25",974,"2020-08-13",5,11,433,1094,19,".91%"
"2020-07-26",1025,"2020-08-13",5,11,433,1094,18,".91%"
"2020-07-27",1055,"2020-08-13",6,11,456,1094,17,".78%"
"2020-07-28",1163,"2020-08-14",7,11,457,1311,17,".47%"
"2020-07-29",1244,"2020-08-14",7,11,461,1311,16,".47%"
"2020-07-30",1247,"2020-08-14",7,11,465,1311,15,".47%"
"2020-07-31",1252,"2020-08-14",7,11,468,1311,14,".47%"
"2020-08-01",1282,"2020-08-14",7,11,468,1311,13,".47%"
"2020-08-02",1292,"2020-08-14",8,11,469,1311,12,".36%"
"2020-08-03",1293,"2020-08-14",8,11,469,1311,11,".36%"
"2020-08-04",1356,"2020-08-17",8,11,568,1408,13,".36%"
"2020-08-05",1392,"2020-08-17",8,11,695,1408,12,".42%"
"2020-08-06",1448,"2020-08-18",8,11,729,1525,12,".38%"
"2020-08-07",1533,"2020-08-19",9,11,738,1545,12,".25%"
"2020-08-08",1704,"2020-08-23",9,14,784,1801,15,".49%"
"2020-08-09",1723,"2020-08-23",9,14,784,1801,14,".49%"
"2020-08-10",1833,"2020-08-24",10,15,791,1873,14,".46%"
"2020-08-11",1865,"2020-08-24",11,15,806,1873,13,".37%"
"2020-08-12",1984,"2020-08-28",11,19,878,2081,16,".67%"
"2020-08-13",2176,"2020-08-29",11,21,1094,2270,16,".85%"
"2020-08-14",2200,"2020-08-29",11,21,1311,2270,15,"1.04%"
"2020-08-15",2223,"2020-08-29",11,21,1318,2270,14,"1.05%"
"2020-08-16",2244,"2020-08-29",11,21,1325,2270,13,"1.06%"
"2020-08-17",2282,"2020-09-02",11,28,1408,2328,16,"1.85%"
"2020-08-18",2387,"2020-09-03",11,30,1525,2629,16,"1.72%"
"2020-08-19",2394,"2020-09-03",11,30,1545,2629,15,"1.75%"
"2020-08-20",2519,"2020-09-03",12,30,1586,2629,14,"1.73%"
"2020-08-21",2625,"2020-09-03",12,30,1639,2629,13,"1.82%"
"2020-08-22",2706,"2020-09-04",13,32,1650,2716,13,"1.78%"
"2020-08-23",2955,"2020-09-05",14,32,1801,3008,13,"1.49%"
"2020-08-24",3079,"2020-09-06",15,33,1873,3112,13,"1.45%"
"2020-08-25",3169,"2020-09-07",15,37,1923,3182,13,"1.75%"
"2020-08-26",3233,"2020-09-08",17,37,1955,3320,13,"1.47%"
"2020-08-27",3310,"2020-09-08",18,37,1983,3320,12,"1.42%"
"2020-08-28",3382,"2020-09-09",19,39,2081,3622,12,"1.3%"
"2020-08-29",3520,"2020-09-09",21,39,2270,3622,11,"1.33%"
"2020-08-30",3703,"2020-09-10",22,40,2271,3876,11,"1.12%"
"2020-08-31",3761,"2020-09-10",24,40,2273,3876,10,"1.%"
"2020-09-01",3840,"2020-09-10",27,40,2276,3876,9,".81%"
"2020-09-02",3952,"2020-09-11",28,42,2328,4113,9,".78%"
