"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-22",142,"2020-08-02",1,1,90,147,11,"0.%"
"2020-07-23",149,"2020-08-04",1,1,92,158,12,"0.%"
"2020-07-24",150,"2020-08-04",1,1,96,158,11,"0.%"
"2020-07-25",162,"2020-08-05",1,1,100,167,11,"0.%"
"2020-07-26",168,"2020-08-06",1,1,102,176,11,"0.%"
"2020-07-27",178,"2020-08-07",1,1,108,197,11,"0.%"
"2020-07-28",178,"2020-08-07",1,1,112,197,10,"0.%"
"2020-07-29",183,"2020-08-07",1,1,118,197,9,"0.%"
"2020-07-30",190,"2020-08-07",1,1,122,197,8,"0.%"
"2020-07-31",191,"2020-08-07",1,1,122,197,7,"0.%"
"2020-08-01",208,"2020-08-09",1,1,138,211,8,"0.%"
"2020-08-02",220,"2020-08-16",1,1,147,222,14,"0.%"
"2020-08-03",225,"2020-08-19",1,1,147,353,16,"0.%"
"2020-08-04",233,"2020-08-19",1,1,158,353,15,"0.%"
"2020-08-05",299,"2020-08-19",1,1,167,353,14,"0.%"
"2020-08-06",333,"2020-08-19",1,1,176,353,13,"0.%"
"2020-08-07",339,"2020-08-19",1,1,197,353,12,"0.%"
"2020-08-08",344,"2020-08-19",1,1,202,353,11,"0.%"
"2020-08-09",348,"2020-08-19",1,1,211,353,10,"0.%"
"2020-08-10",350,"2020-08-19",1,1,211,353,9,"0.%"
"2020-08-11",360,"2020-08-23",1,2,214,455,12,".41%"
"2020-08-12",360,"2020-08-23",1,2,215,455,11,".42%"
"2020-08-13",375,"2020-08-23",1,2,215,455,10,".42%"
"2020-08-14",381,"2020-08-23",1,2,215,455,9,".42%"
"2020-08-15",381,"2020-08-23",1,2,217,455,8,".42%"
"2020-08-16",404,"2020-08-23",1,2,222,455,7,".43%"
"2020-08-17",481,"2020-08-24",1,2,222,501,7,".36%"
"2020-08-18",489,"2020-08-24",1,2,222,501,6,".36%"
"2020-08-19",490,"2020-08-24",1,2,353,501,5,".68%"
"2020-08-21",531,"2020-08-26",1,2,354,532,5,".56%"
"2020-08-22",572,"2020-08-29",1,2,355,597,7,".41%"
"2020-08-23",635,"2020-08-31",2,2,455,645,8,"0.%"
"2020-08-24",657,"2020-09-01",2,2,501,659,8,"0.%"
"2020-08-25",697,"2020-09-03",2,2,512,703,9,"0.%"
"2020-08-26",712,"2020-09-04",2,2,532,728,9,"0.%"
"2020-08-27",757,"2020-09-05",2,2,539,758,9,"0.%"
"2020-08-28",763,"2020-09-06",2,3,571,799,9,".44%"
"2020-08-29",782,"2020-09-06",2,3,597,799,8,".5%"
"2020-08-30",828,"2020-09-07",2,3,618,832,8,".47%"
"2020-08-31",869,"2020-09-11",2,3,645,894,11,".4%"
"2020-09-01",889,"2020-09-11",2,3,659,894,10,".43%"
"2020-09-02",920,"2020-09-13",2,4,693,948,11,".78%"
"2020-09-03",970,"2020-09-14",2,4,703,1001,11,".67%"
"2020-09-04",981,"2020-09-14",2,4,728,1001,10,".73%"
"2020-09-05",1050,"2020-09-15",2,4,758,1072,10,".64%"
"2020-09-06",1104,"2020-09-17",3,4,799,1133,11,".3%"
"2020-09-07",1139,"2020-09-18",3,4,832,1173,11,".29%"
"2020-09-08",1163,"2020-09-18",3,4,838,1173,10,".3%"
"2020-09-09",1186,"2020-09-19",3,4,856,1195,10,".29%"
"2020-09-10",1187,"2020-09-19",3,4,856,1195,9,".29%"
"2020-09-11",1204,"2020-09-21",3,5,894,1209,10,".63%"
"2020-09-12",1255,"2020-09-23",4,5,919,1272,11,".28%"
"2020-09-13",1302,"2020-09-24",4,5,948,1330,11,".26%"
"2020-09-14",1339,"2020-09-25",4,5,1001,1370,11,".27%"
"2020-09-15",1390,"2020-09-26",4,5,1072,1416,11,".29%"
"2020-09-16",1437,"2020-09-27",4,5,1097,1443,11,".29%"
"2020-09-17",1476,"2020-09-29",4,6,1133,1505,12,".54%"
"2020-09-18",1495,"2020-09-29",4,6,1173,1505,11,".6%"
"2020-09-19",1562,"2020-10-02",4,9,1195,1572,13,"1.33%"
"2020-09-20",1606,"2020-10-04",5,9,1201,1611,14,".98%"
"2020-09-21",1628,"2020-10-08",5,9,1209,1719,17,".78%"
"2020-09-22",1671,"2020-10-08",6,9,1233,1719,16,".62%"
"2020-09-23",1724,"2020-10-09",6,9,1272,1835,16,".53%"
"2020-09-24",1766,"2020-10-09",6,9,1330,1835,15,".59%"
"2020-09-25",1790,"2020-10-09",6,9,1370,1835,14,".65%"
"2020-09-26",1849,"2020-10-10",5,9,1416,1886,14,".85%"
"2020-09-27",1885,"2020-10-10",5,9,1443,1886,13,".9%"
"2020-09-28",1910,"2020-10-12",6,9,1467,1949,14,".62%"
"2020-09-29",1950,"2020-10-13",6,9,1505,1977,14,".64%"
"2020-09-30",1991,"2020-10-14",6,9,1527,2029,14,".6%"
"2020-10-01",1998,"2020-10-14",8,9,1555,2029,13,".21%"
"2020-10-02",2031,"2020-10-15",9,10,1572,2084,13,".2%"
"2020-10-03",2065,"2020-10-15",9,10,1591,2084,12,".2%"
