"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-08-24",1510,"2020-09-01",12,15,1205,1534,8,".91%"
"2020-08-25",1561,"2020-09-02",12,16,1240,1583,8,"1.17%"
"2020-08-26",1617,"2020-09-03",12,17,1290,1727,8,"1.14%"
"2020-08-27",1754,"2020-09-04",12,17,1307,1956,8,".77%"
"2020-08-28",1968,"2020-09-05",14,18,1332,2002,8,".6%"
"2020-08-29",2011,"2020-09-06",14,18,1363,2044,8,".59%"
"2020-08-30",2048,"2020-09-07",14,18,1422,2089,8,".6%"
"2020-08-31",2101,"2020-09-08",14,18,1463,2131,8,".6%"
"2020-09-01",2141,"2020-09-09",15,18,1534,2166,8,".47%"
"2020-09-02",2181,"2020-09-10",16,19,1583,2228,8,".47%"
"2020-09-03",2206,"2020-09-10",17,19,1727,2228,7,".4%"
"2020-09-04",2288,"2020-09-12",17,20,1956,2325,8,".81%"
"2020-09-05",2333,"2020-09-13",18,21,2002,2348,8,".87%"
"2020-09-06",2364,"2020-09-14",18,22,2044,2404,8,"1.11%"
"2020-09-07",2403,"2020-09-14",18,22,2089,2404,7,"1.27%"
"2020-09-08",2482,"2020-09-16",18,23,2131,2542,8,"1.22%"
"2020-09-09",2527,"2020-09-16",18,23,2166,2542,7,"1.33%"
"2020-09-10",2582,"2020-09-18",19,23,2228,2639,8,".97%"
"2020-09-11",2641,"2020-09-19",19,23,2286,2691,8,".99%"
"2020-09-12",2687,"2020-09-19",20,23,2325,2691,7,".82%"
"2020-09-13",2746,"2020-09-21",21,24,2348,2807,8,".65%"
"2020-09-14",2794,"2020-09-21",22,24,2404,2807,7,".5%"
"2020-09-15",2860,"2020-09-23",22,26,2470,2911,8,".91%"
"2020-09-16",2935,"2020-09-24",23,26,2542,2988,8,".67%"
"2020-09-17",3010,"2020-09-25",23,27,2577,3039,8,".87%"
"2020-09-18",3072,"2020-09-26",23,28,2639,3119,8,"1.04%"
"2020-09-19",3149,"2020-09-27",23,30,2691,3182,8,"1.43%"
"2020-09-20",3218,"2020-09-28",23,30,2740,3222,8,"1.45%"
"2020-09-21",3258,"2020-09-29",24,31,2807,3304,8,"1.41%"
"2020-09-22",3343,"2020-09-30",25,31,2858,3371,8,"1.17%"
"2020-09-23",3405,"2020-10-01",26,31,2911,3439,8,".95%"
"2020-09-24",3477,"2020-10-02",26,32,2988,3503,8,"1.17%"
"2020-09-25",3539,"2020-10-03",27,32,3039,3580,8,".92%"
"2020-09-26",3616,"2020-10-04",28,32,3119,3662,8,".74%"
"2020-09-27",3696,"2020-10-05",30,32,3182,3718,8,".37%"
"2020-09-28",3758,"2020-10-06",30,33,3222,3777,8,".54%"
"2020-09-29",3820,"2020-10-07",31,33,3304,3836,8,".38%"
"2020-09-30",3870,"2020-10-09",31,34,3371,3935,9,".53%"
"2020-10-01",3964,"2020-10-10",31,35,3439,4019,9,".69%"
"2020-10-02",4048,"2020-10-11",32,36,3503,4067,9,".71%"
"2020-10-03",4103,"2020-10-12",32,36,3580,4120,9,".74%"
"2020-10-04",4160,"2020-10-13",32,36,3662,4187,9,".76%"
"2020-10-05",4224,"2020-10-14",32,38,3718,4253,9,"1.12%"
"2020-10-06",4289,"2020-10-15",33,39,3777,4312,9,"1.12%"
"2020-10-07",4349,"2020-10-16",33,39,3836,4397,9,"1.07%"
"2020-10-08",4430,"2020-10-17",33,39,3846,4478,9,".95%"
"2020-10-09",4501,"2020-10-18",34,42,3935,4568,9,"1.26%"
"2020-10-10",4590,"2020-10-20",35,44,4019,4648,10,"1.43%"
"2020-10-11",4655,"2020-10-21",36,45,4067,4718,10,"1.38%"
"2020-10-12",4708,"2020-10-21",36,45,4120,4718,9,"1.51%"
"2020-10-13",4801,"2020-10-23",36,47,4187,4825,10,"1.72%"
"2020-10-14",4879,"2020-10-24",38,48,4253,4904,10,"1.54%"
"2020-10-15",4952,"2020-10-26",39,51,4312,4997,11,"1.75%"
"2020-10-16",5045,"2020-10-27",39,51,4397,5089,11,"1.73%"
"2020-10-17",5121,"2020-10-28",39,52,4478,5166,11,"1.89%"
"2020-10-18",5198,"2020-10-29",42,52,4568,5243,11,"1.48%"
"2020-10-19",5270,"2020-10-30",42,52,4578,5315,11,"1.36%"
"2020-10-20",5361,"2020-10-31",44,53,4648,5407,11,"1.19%"
"2020-10-21",5418,"2020-11-01",45,53,4718,5464,11,"1.07%"
"2020-10-22",5500,"2020-11-02",46,53,4755,5558,11,".87%"
"2020-10-23",5578,"2020-11-03",47,54,4825,5622,11,".88%"
"2020-10-24",5644,"2020-11-04",48,55,4904,5692,11,".89%"
"2020-10-25",5719,"2020-11-05",51,56,4931,5948,11,".49%"
"2020-10-26",5811,"2020-11-05",51,56,4997,5948,10,".53%"
"2020-10-27",5898,"2020-11-05",51,56,5089,5948,9,".58%"
"2020-10-28",5965,"2020-11-06",52,58,5166,5975,9,".74%"
"2020-10-29",6058,"2020-11-07",52,59,5243,6068,9,".85%"
"2020-10-30",6129,"2020-11-08",52,60,5315,6161,9,".95%"
"2020-10-31",6185,"2020-11-09",53,61,5407,6202,9,"1.01%"
"2020-11-01",6261,"2020-11-10",53,61,5464,6263,9,"1.%"
"2020-11-02",6301,"2020-11-11",53,62,5558,6347,9,"1.14%"
"2020-11-03",6402,"2020-11-12",54,62,5622,6437,9,".98%"
"2020-11-04",6491,"2020-11-13",55,62,5692,6520,9,".85%"
"2020-11-05",6575,"2020-11-14",56,63,5948,6600,9,"1.07%"
"2020-11-06",6638,"2020-11-15",58,64,5975,6693,9,".84%"
"2020-11-07",6713,"2020-11-16",59,64,6068,6788,9,".69%"
"2020-11-08",6778,"2020-11-16",60,64,6161,6788,8,".64%"
"2020-11-09",6822,"2020-11-17",61,65,6202,6864,8,".6%"
"2020-11-10",6891,"2020-11-18",61,65,6263,6951,8,".58%"
"2020-11-11",6943,"2020-11-18",62,65,6347,6951,7,".5%"
"2020-11-12",7007,"2020-11-19",62,66,6437,7034,7,".67%"
"2020-11-13",7072,"2020-11-20",62,66,6520,7131,7,".65%"
"2020-11-14",7135,"2020-11-21",63,66,6600,7194,7,".51%"
"2020-11-15",7197,"2020-11-22",64,66,6693,7261,7,".35%"
"2020-11-16",7232,"2020-11-22",64,66,6788,7261,6,".42%"
"2020-11-17",7306,"2020-11-24",65,67,6864,7386,7,".38%"
"2020-11-18",7362,"2020-11-24",65,67,6951,7386,6,".46%"
"2020-11-19",7415,"2020-11-25",66,68,7034,7438,6,".5%"
"2020-11-20",7482,"2020-11-26",66,70,7131,7498,6,"1.09%"
"2020-11-21",7530,"2020-11-27",66,72,7194,7547,6,"1.7%"
"2020-11-22",7568,"2020-11-28",66,73,7261,7596,6,"2.09%"
"2020-11-23",7648,"2020-11-29",67,75,7292,7692,6,"2.%"
"2020-11-24",7708,"2020-11-30",67,75,7386,7734,6,"2.3%"
"2020-11-25",7802,"2020-12-26",68,75,7438,7826,31,"1.8%"
"2020-11-26",7867,"2020-12-28",70,75,7498,7882,32,"1.3%"
"2020-11-27",7967,"2020-12-30",72,75,7547,7981,33,".69%"
"2020-11-28",8013,"2020-12-31",73,75,7596,8021,33,".47%"
"2020-11-29",8051,"2021-01-01",75,75,7692,8053,33,"0.%"
"2020-11-30",8111,"2021-01-04",75,77,7734,8143,35,".49%"
"2020-12-01",8170,"2021-01-05",75,78,7784,8171,35,".78%"
"2020-12-26",8200,"2021-01-07",75,78,7826,8215,12,".77%"
"2020-12-27",8231,"2021-01-08",75,78,7858,8233,12,".8%"
"2020-12-28",8255,"2021-01-10",75,78,7882,8278,13,".76%"
"2020-12-29",8281,"2021-01-11",75,79,7936,8295,13,"1.11%"
"2020-12-30",8290,"2021-01-11",75,79,7981,8295,12,"1.27%"
"2020-12-31",8317,"2021-01-13",75,79,8021,8322,13,"1.33%"
"2021-01-01",8353,"2021-01-16",75,80,8053,8365,15,"1.6%"
"2021-01-02",8386,"2021-01-18",77,80,8081,8389,16,".97%"
"2021-01-03",8405,"2021-01-20",77,80,8109,8409,17,"1.%"
"2021-01-04",8415,"2021-01-21",77,80,8143,8418,17,"1.09%"
"2021-01-05",8440,"2021-01-24",78,80,8171,8440,19,".74%"
"2021-01-06",8447,"2021-01-25",78,80,8196,8452,19,".78%"
"2021-01-07",8476,"2021-01-30",78,80,8215,8481,23,".75%"
"2021-01-08",8495,"2021-02-01",78,80,8233,8495,24,".76%"
"2021-01-09",8514,"2021-02-03",78,80,8253,8514,25,".77%"
"2021-01-10",8531,"2021-02-06",78,80,8278,8531,27,".79%"
"2021-01-11",8538,"2021-02-08",79,80,8295,8542,28,".4%"
"2021-01-12",8550,"2021-02-10",79,80,8311,8552,29,".41%"
"2021-01-13",8558,"2021-02-12",79,80,8322,8562,30,".42%"
"2021-01-14",8569,"2021-02-14",79,80,8335,8571,31,".42%"
"2021-01-15",8586,"2021-02-17",79,80,8347,8591,33,".41%"
