"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-11-14",9857,"2020-11-21",57,58,9111,9926,7,".12%"
"2020-11-15",9904,"2020-11-21",57,58,9219,9926,6,".14%"
"2020-11-16",9933,"2020-11-22",57,60,9358,9976,6,".49%"
"2020-11-17",9986,"2020-11-23",57,60,9507,10032,6,".57%"
"2020-11-18",10045,"2020-11-24",57,60,9680,10086,6,".74%"
"2020-11-19",10092,"2020-11-25",57,61,9784,10110,6,"1.23%"
"2020-11-20",10148,"2020-11-26",57,61,9853,10157,6,"1.32%"
"2020-11-21",10202,"2020-11-28",58,63,9926,10208,7,"1.77%"
"2020-11-22",10266,"2020-12-01",60,64,9976,10270,9,"1.36%"
"2020-11-23",10312,"2020-12-27",60,65,10032,10318,34,"1.75%"
"2020-11-24",10363,"2020-12-28",60,65,10086,10397,34,"1.61%"
"2020-11-25",10403,"2020-12-29",61,65,10110,10426,34,"1.27%"
"2020-11-26",10451,"2020-12-30",61,66,10157,10458,34,"1.66%"
"2020-11-27",10482,"2020-12-31",62,66,10183,10489,34,"1.31%"
"2020-11-28",10501,"2021-01-01",63,66,10208,10510,34,".99%"
"2020-11-29",10539,"2021-01-03",63,66,10240,10557,35,".95%"
"2020-11-30",10560,"2021-01-04",64,66,10255,10584,35,".61%"
"2020-12-01",10642,"2021-01-08",64,66,10270,10646,38,".53%"
"2020-12-26",10669,"2021-01-11",65,66,10292,10679,16,".26%"
"2020-12-27",10697,"2021-01-13",65,66,10318,10699,17,".26%"
"2020-12-28",10704,"2021-01-14",65,66,10397,10708,17,".32%"
"2020-12-29",10724,"2021-01-16",65,66,10426,10727,18,".33%"
"2020-12-30",10728,"2021-01-17",66,66,10458,10740,18,"0.%"
"2020-12-31",10738,"2021-01-17",66,66,10489,10740,17,"0.%"
"2021-01-01",10749,"2021-01-19",66,66,10510,10755,18,"0.%"
"2021-01-02",10758,"2021-01-20",66,66,10526,10763,18,"0.%"
"2021-01-03",10765,"2021-01-21",66,66,10557,10769,18,"0.%"
"2021-01-04",10767,"2021-01-21",66,66,10584,10769,17,"0.%"
