"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-08-22",3216,"2020-08-30",21,25,2028,3229,8,".33%"
"2020-08-23",3313,"2020-08-31",21,25,2193,3329,8,".35%"
"2020-08-24",3421,"2020-09-02",23,26,2437,3473,9,".29%"
"2020-08-25",3487,"2020-09-03",23,26,2529,3555,9,".29%"
"2020-08-26",3540,"2020-09-03",23,26,2770,3555,8,".38%"
"2020-08-27",3609,"2020-09-04",23,26,2869,3618,8,".4%"
"2020-08-28",3667,"2020-09-05",24,26,3003,3668,8,".3%"
"2020-08-29",3704,"2020-09-06",24,26,3133,3706,8,".35%"
"2020-08-30",3741,"2020-09-07",25,26,3229,3772,8,".18%"
"2020-08-31",3785,"2020-09-08",25,27,3329,3809,8,".42%"
"2020-09-01",3819,"2020-09-09",26,27,3403,3850,8,".22%"
"2020-09-02",3863,"2020-09-10",26,27,3473,3912,8,".23%"
"2020-09-03",3912,"2020-09-10",26,27,3555,3912,7,".28%"
"2020-09-04",3981,"2020-09-12",26,29,3618,4023,8,".74%"
"2020-09-05",4033,"2020-09-13",26,29,3668,4060,8,".77%"
"2020-09-06",4073,"2020-09-14",26,29,3706,4106,8,".75%"
"2020-09-07",4107,"2020-09-15",26,29,3772,4162,8,".77%"
"2020-09-08",4171,"2020-09-16",27,29,3809,4248,8,".46%"
"2020-09-09",4265,"2020-09-17",27,29,3850,4327,8,".42%"
"2020-09-10",4345,"2020-09-18",27,30,3912,4371,8,".65%"
"2020-09-11",4388,"2020-09-19",27,31,3971,4415,8,".9%"
"2020-09-12",4424,"2020-09-20",29,31,4023,4472,8,".45%"
"2020-09-13",4472,"2020-09-20",29,31,4060,4472,7,".49%"
"2020-09-14",4531,"2020-09-22",29,32,4106,4596,8,".61%"
"2020-09-15",4599,"2020-09-23",29,32,4162,4640,8,".63%"
"2020-09-16",4671,"2020-09-24",29,32,4248,4685,8,".69%"
"2020-09-17",4723,"2020-09-25",29,32,4327,4735,8,".74%"
"2020-09-18",4776,"2020-09-26",30,32,4371,4781,8,".49%"
"2020-09-19",4814,"2020-09-27",31,33,4415,4823,8,".49%"
"2020-09-20",4858,"2020-09-29",31,33,4472,4915,9,".45%"
"2020-09-21",4890,"2020-09-29",31,33,4514,4915,8,".5%"
"2020-09-22",4944,"2020-09-30",32,33,4596,4968,8,".27%"
