"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-03-20",33342,"2021-04-05",946,950,32862,33405,16,".74%"
"2021-03-21",33361,"2021-04-05",947,950,32879,33405,15,".57%"
"2021-03-22",33390,"2021-04-05",947,950,32901,33405,14,".6%"
"2021-03-23",33418,"2021-04-06",947,950,32926,33463,14,".56%"
"2021-03-24",33457,"2021-04-06",947,950,32948,33463,13,".58%"
"2021-03-25",33490,"2021-04-07",947,951,32969,33553,13,".68%"
"2021-03-26",33546,"2021-04-07",947,951,32992,33553,12,".71%"
"2021-03-27",33611,"2021-04-08",947,951,33015,33647,12,".63%"
"2021-03-28",33679,"2021-04-09",947,952,33045,33760,12,".7%"
"2021-03-29",33729,"2021-04-09",947,952,33080,33760,11,".74%"
"2021-03-30",33786,"2021-04-10",947,953,33111,33884,11,".78%"
"2021-03-31",33863,"2021-04-10",947,953,33153,33884,10,".82%"
"2021-04-01",33975,"2021-04-11",947,953,33194,34009,10,".74%"
"2021-04-02",34134,"2021-04-12",949,953,33245,34155,10,".44%"
"2021-04-03",34291,"2021-04-13",949,955,33284,34341,10,".57%"
"2021-04-04",34465,"2021-04-14",949,956,33335,34501,10,".6%"
"2021-04-05",34649,"2021-04-15",950,957,33405,34700,10,".54%"
"2021-04-06",34828,"2021-04-16",950,960,33463,34937,10,".68%"
"2021-04-07",35052,"2021-04-17",951,961,33553,35206,10,".6%"
"2021-04-08",35273,"2021-04-18",951,963,33647,35497,10,".65%"
"2021-04-09",35496,"2021-04-18",952,963,33760,35497,9,".63%"
"2021-04-10",35785,"2021-04-19",953,967,33884,35824,9,".72%"
"2021-04-11",36078,"2021-04-20",953,969,34009,36167,9,".74%"
"2021-04-12",36364,"2021-04-21",953,973,34155,36579,9,".83%"
"2021-04-13",36648,"2021-04-22",955,977,34341,36949,9,".84%"
"2021-04-14",36978,"2021-04-23",956,981,34501,37315,9,".89%"
"2021-04-15",37373,"2021-04-24",957,987,34700,37713,9,"1.%"
"2021-04-16",37793,"2021-04-25",960,992,34937,38173,9,".99%"
"2021-04-17",38225,"2021-04-26",961,994,35206,38718,9,".94%"
"2021-04-18",38715,"2021-04-26",963,994,35497,38718,8,".96%"
