"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-06-22",19,"2020-08-12",,2,,64,51,"-"
"2020-07-05",20,"2020-08-12",,2,,64,38,"-"
"2020-07-06",25,"2020-08-12",,2,,64,37,"-"
"2020-07-10",25,"2020-08-12",,2,,64,33,"-"
"2020-07-16",28,"2020-08-12",,2,,64,27,"-"
"2020-07-21",28,"2020-08-12",,2,,64,22,"-"
"2020-08-01",30,"2020-08-12",,2,,64,11,"-"
"2020-08-02",32,"2020-08-12",,2,,64,10,"-"
"2020-08-03",36,"2020-08-12",,2,,64,9,"-"
"2020-08-04",38,"2020-08-12",,2,,64,8,"-"
"2020-08-06",55,"2020-08-12",,2,,64,6,"-"
"2020-08-08",60,"2020-08-12",,2,,64,4,"-"
"2020-08-09",79,"2020-08-16",,2,,92,7,"-"
"2020-08-10",84,"2020-08-16",,2,,92,6,"-"
"2020-08-11",99,"2020-08-19",,2,,102,8,"-"
"2020-08-12",106,"2020-08-20",2,2,64,109,8,"0.%"
"2020-08-13",110,"2020-08-21",2,2,65,113,8,"0.%"
"2020-08-14",114,"2020-08-22",2,2,65,123,8,"0.%"
"2020-08-15",136,"2020-08-23",2,2,65,140,8,"0.%"
"2020-08-16",144,"2020-08-24",2,2,92,144,8,"0.%"
"2020-08-17",147,"2020-08-25",2,2,94,158,8,"0.%"
"2020-08-18",153,"2020-08-25",2,2,96,158,7,"0.%"
"2020-08-19",156,"2020-08-25",2,2,102,158,6,"0.%"
"2020-08-20",162,"2020-08-27",2,2,109,186,7,"0.%"
"2020-08-21",164,"2020-08-27",2,2,113,186,6,"0.%"
"2020-08-22",177,"2020-08-27",2,2,123,186,5,"0.%"
"2020-08-23",202,"2020-08-30",2,2,140,213,7,"0.%"
"2020-08-24",202,"2020-08-30",2,2,144,213,6,"0.%"
"2020-08-25",208,"2020-08-30",2,2,158,213,5,"0.%"
"2020-08-26",209,"2020-08-30",2,2,159,213,4,"0.%"
"2020-08-27",218,"2020-08-31",2,2,186,220,4,"0.%"
"2020-08-28",221,"2020-09-01",2,2,186,225,4,"0.%"
"2020-08-29",238,"2020-09-05",2,2,192,244,7,"0.%"
"2020-08-30",253,"2020-09-06",2,2,213,258,7,"0.%"
"2020-08-31",262,"2020-09-07",2,2,220,263,7,"0.%"
"2020-09-01",264,"2020-09-08",2,2,225,266,7,"0.%"
"2020-09-02",267,"2020-09-09",2,2,227,280,7,"0.%"
"2020-09-03",270,"2020-09-09",2,2,230,280,6,"0.%"
"2020-09-04",282,"2020-09-10",2,2,234,284,6,"0.%"
"2020-09-05",290,"2020-09-12",2,2,244,304,7,"0.%"
"2020-09-06",301,"2020-09-12",2,2,258,304,6,"0.%"
"2020-09-07",306,"2020-09-13",2,2,263,306,6,"0.%"
"2020-09-08",310,"2020-09-14",2,2,266,310,6,"0.%"
"2020-09-09",325,"2020-09-16",2,2,280,327,7,"0.%"
"2020-09-10",334,"2020-09-17",2,2,284,340,7,"0.%"
