"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-04",6688,"2020-07-16",411,538,4720,6962,12,"5.66%"
"2020-07-05",6932,"2020-07-16",419,538,4823,6962,11,"5.56%"
"2020-07-06",7213,"2020-07-17",429,550,4977,7265,11,"5.29%"
"2020-07-07",7504,"2020-07-18",439,562,5131,7530,11,"5.13%"
"2020-07-08",7870,"2020-07-19",445,577,5235,8072,11,"4.65%"
"2020-07-09",8192,"2020-07-20",458,593,5461,8483,11,"4.47%"
"2020-07-10",8566,"2020-07-21",471,609,5678,9019,11,"4.13%"
"2020-07-11",8978,"2020-07-21",487,609,5877,9019,10,"3.88%"
"2020-07-12",9432,"2020-07-22",500,624,6043,9648,10,"3.44%"
"2020-07-13",9850,"2020-07-23",510,643,6234,10222,10,"3.34%"
"2020-07-14",10374,"2020-07-24",517,659,6440,10844,10,"3.22%"
"2020-07-15",10799,"2020-07-24",526,659,6674,10844,9,"3.19%"
"2020-07-16",11295,"2020-07-25",538,670,6962,11508,9,"2.9%"
"2020-07-17",11858,"2020-07-26",550,687,7265,12038,9,"2.87%"
"2020-07-18",12506,"2020-07-27",562,697,7530,12590,9,"2.67%"
"2020-07-19",13168,"2020-07-28",577,707,8072,13201,9,"2.53%"
"2020-07-20",13813,"2020-07-29",593,724,8483,13895,9,"2.42%"
"2020-07-21",14464,"2020-07-30",609,740,9019,14550,9,"2.37%"
"2020-07-22",15156,"2020-07-31",624,761,9648,15269,9,"2.44%"
"2020-07-23",15951,"2020-08-02",643,800,10222,16468,10,"2.51%"
"2020-07-24",16650,"2020-08-03",659,821,10844,17020,10,"2.62%"
"2020-07-25",17377,"2020-08-04",670,836,11508,17804,10,"2.64%"
"2020-07-26",18025,"2020-08-05",687,861,12038,18424,10,"2.72%"
"2020-07-27",18577,"2020-08-06",697,888,12590,18999,10,"2.98%"
"2020-07-28",19355,"2020-08-07",707,908,13201,19616,10,"3.13%"
"2020-07-29",20043,"2020-08-08",724,928,13895,20264,10,"3.2%"
"2020-07-30",20793,"2020-08-09",740,949,14550,20818,10,"3.33%"
"2020-07-31",21463,"2020-08-10",761,963,15269,21678,10,"3.15%"
"2020-08-01",22177,"2020-08-11",780,981,15871,22573,10,"3.%"
"2020-08-02",22886,"2020-08-12",800,1000,16468,23172,10,"2.98%"
"2020-08-03",23642,"2020-08-13",821,1016,17020,23875,10,"2.84%"
"2020-08-04",24361,"2020-08-14",836,1037,17804,24531,10,"2.99%"
"2020-08-05",25026,"2020-08-15",861,1058,18424,25114,10,"2.94%"
"2020-08-06",25706,"2020-08-16",888,1071,18999,25805,10,"2.69%"
"2020-08-07",26381,"2020-08-17",908,1094,19616,26446,10,"2.72%"
"2020-08-08",27065,"2020-08-18",928,1111,20264,27099,10,"2.68%"
"2020-08-09",27680,"2020-08-19",949,1122,20818,27715,10,"2.51%"
"2020-08-10",28298,"2020-08-20",963,1133,21678,28481,10,"2.5%"
"2020-08-11",29009,"2020-08-21",981,1155,22573,29067,10,"2.68%"
"2020-08-12",29628,"2020-08-22",1000,1167,23172,29787,10,"2.52%"
"2020-08-13",30294,"2020-08-23",1016,1175,23875,30370,10,"2.45%"
"2020-08-14",30909,"2020-08-24",1037,1188,24531,31034,10,"2.32%"
"2020-08-15",31580,"2020-08-25",1058,1204,25114,31678,10,"2.22%"
"2020-08-16",32143,"2020-08-26",1071,1223,25805,32294,10,"2.34%"
"2020-08-17",32691,"2020-08-27",1094,1239,26446,33080,10,"2.19%"
"2020-08-18",33291,"2020-08-28",1111,1250,27099,33684,10,"2.11%"
"2020-08-19",33957,"2020-08-29",1122,1262,27715,34256,10,"2.14%"
"2020-08-20",34540,"2020-08-30",1133,1281,28481,34747,10,"2.36%"
"2020-08-21",35002,"2020-08-31",1155,1291,29067,35451,10,"2.13%"
"2020-08-22",35518,"2020-09-01",1167,1302,29787,36021,10,"2.17%"
"2020-08-23",36081,"2020-09-02",1175,1319,30370,36655,10,"2.29%"
"2020-08-24",36546,"2020-09-02",1188,1319,31034,36655,9,"2.33%"
"2020-08-25",37087,"2020-09-03",1204,1334,31678,37398,9,"2.27%"
"2020-08-26",37641,"2020-09-04",1223,1351,32294,37888,9,"2.29%"
"2020-08-27",38212,"2020-09-05",1239,1369,33080,38383,9,"2.45%"
"2020-08-28",38639,"2020-09-06",1250,1377,33684,38793,9,"2.49%"
"2020-08-29",39109,"2020-09-07",1262,1393,34256,39357,9,"2.57%"
"2020-08-30",39537,"2020-09-08",1281,1412,34747,39858,9,"2.56%"
"2020-08-31",39981,"2020-09-09",1291,1429,35451,40396,9,"2.79%"
"2020-09-01",40532,"2020-09-10",1302,1434,36021,40862,9,"2.73%"
"2020-09-02",40925,"2020-09-11",1319,1450,36655,41361,9,"2.78%"
"2020-09-03",41397,"2020-09-12",1334,1462,37398,41899,9,"2.84%"
"2020-09-04",41819,"2020-09-12",1351,1462,37888,41899,8,"2.77%"
"2020-09-05",42367,"2020-09-13",1369,1474,38383,42431,8,"2.59%"
"2020-09-06",42908,"2020-09-14",1377,1490,38793,42928,8,"2.73%"
"2020-09-07",43366,"2020-09-16",1393,1516,39357,43844,9,"2.74%"
"2020-09-08",43746,"2020-09-16",1412,1516,39858,43844,8,"2.61%"
"2020-09-09",44300,"2020-09-17",1429,1538,40396,44342,8,"2.76%"
"2020-09-10",44781,"2020-09-18",1434,1552,40862,44819,8,"2.98%"
"2020-09-11",45324,"2020-09-19",1450,1567,41361,45418,8,"2.88%"
"2020-09-12",45871,"2020-09-21",1462,1601,41899,46516,9,"3.01%"
