"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-08-17",2085,"2020-08-25",24,34,1336,2088,8,"1.33%"
"2020-08-18",2194,"2020-08-26",26,34,1405,2222,8,".98%"
"2020-08-19",2315,"2020-08-27",29,35,1494,2322,8,".72%"
"2020-08-20",2430,"2020-08-29",30,38,1584,2489,9,".88%"
"2020-08-21",2504,"2020-08-30",31,39,1717,2608,9,".9%"
"2020-08-22",2644,"2020-08-31",32,40,1797,2769,9,".82%"
"2020-08-23",2730,"2020-08-31",33,40,1875,2769,8,".78%"
"2020-08-24",2828,"2020-09-01",34,42,2013,2856,8,".95%"
"2020-08-25",2909,"2020-09-02",34,44,2088,2942,8,"1.17%"
"2020-08-26",2994,"2020-09-03",34,45,2222,3001,8,"1.41%"
"2020-08-27",3057,"2020-09-04",35,47,2322,3096,8,"1.55%"
"2020-08-28",3141,"2020-09-05",37,48,2407,3212,8,"1.37%"
"2020-08-29",3240,"2020-09-06",38,48,2489,3292,8,"1.25%"
"2020-08-30",3326,"2020-09-07",39,48,2608,3387,8,"1.16%"
"2020-08-31",3410,"2020-09-08",40,49,2769,3439,8,"1.34%"
"2020-09-01",3460,"2020-09-09",42,50,2856,3489,8,"1.26%"
"2020-09-02",3514,"2020-09-10",44,50,2942,3577,8,".94%"
"2020-09-03",3585,"2020-09-11",45,50,3001,3645,8,".78%"
"2020-09-04",3644,"2020-09-11",47,50,3096,3645,7,".55%"
"2020-09-05",3693,"2020-09-13",48,52,3212,3762,8,".73%"
"2020-09-06",3777,"2020-09-14",48,53,3292,3845,8,".9%"
"2020-09-07",3829,"2020-09-14",48,53,3387,3845,7,"1.09%"
"2020-09-08",3919,"2020-09-16",49,55,3439,4025,8,"1.02%"
"2020-09-09",4004,"2020-09-16",50,55,3489,4025,7,".93%"
"2020-09-10",4102,"2020-09-17",50,58,3577,4110,7,"1.5%"
"2020-09-11",4204,"2020-09-18",50,59,3645,4206,7,"1.6%"
"2020-09-12",4298,"2020-09-19",52,59,3692,4311,7,"1.13%"
"2020-09-13",4402,"2020-09-21",52,59,3762,4466,8,".99%"
"2020-09-14",4505,"2020-09-22",53,60,3845,4615,8,".91%"
"2020-09-15",4607,"2020-09-22",54,60,3913,4615,7,".85%"
"2020-09-16",4712,"2020-09-24",55,60,4025,4758,8,".68%"
"2020-09-17",4801,"2020-09-25",58,61,4110,4825,8,".42%"
"2020-09-18",4872,"2020-09-26",59,61,4206,4902,8,".29%"
"2020-09-19",4957,"2020-09-27",59,61,4311,5010,8,".29%"
"2020-09-20",5058,"2020-09-28",59,63,4395,5095,8,".57%"
"2020-09-21",5150,"2020-09-30",59,63,4466,5210,9,".54%"
"2020-09-22",5222,"2020-10-01",60,63,4615,5299,9,".44%"
"2020-09-23",5327,"2020-10-02",60,66,4670,5358,9,".87%"
"2020-09-24",5404,"2020-10-03",60,67,4758,5441,9,"1.02%"
"2020-09-25",5486,"2020-10-04",61,67,4825,5517,9,".87%"
"2020-09-26",5579,"2020-10-05",61,68,4902,5582,9,"1.03%"
"2020-09-27",5644,"2020-10-07",61,72,5010,5728,10,"1.53%"
"2020-09-28",5702,"2020-10-07",63,72,5095,5728,9,"1.42%"
"2020-09-29",5789,"2020-10-08",63,73,5144,5834,9,"1.45%"
"2020-09-30",5879,"2020-10-09",63,77,5210,5929,9,"1.95%"
"2020-10-01",5976,"2020-10-10",63,77,5299,6022,9,"1.94%"
"2020-10-02",6071,"2020-10-11",66,77,5358,6133,9,"1.42%"
"2020-10-03",6179,"2020-10-12",67,77,5441,6233,9,"1.26%"
"2020-10-04",6277,"2020-10-13",67,78,5517,6346,9,"1.33%"
"2020-10-05",6377,"2020-10-14",68,80,5582,6424,9,"1.43%"
"2020-10-06",6454,"2020-10-15",72,82,5636,6522,9,"1.13%"
"2020-10-07",6545,"2020-10-17",72,83,5728,6631,10,"1.22%"
"2020-10-08",6644,"2020-10-18",73,83,5834,6701,10,"1.15%"
"2020-10-09",6710,"2020-10-19",77,84,5929,6772,10,".83%"
"2020-10-10",6786,"2020-10-21",77,86,6022,6928,11,".99%"
"2020-10-11",6881,"2020-10-21",77,86,6133,6928,10,"1.13%"
"2020-10-12",6970,"2020-10-22",77,88,6233,6990,10,"1.45%"
"2020-10-13",7051,"2020-10-23",78,88,6346,7081,10,"1.36%"
"2020-10-14",7142,"2020-10-25",80,93,6424,7218,11,"1.64%"
"2020-10-15",7232,"2020-10-26",82,93,6522,7283,11,"1.45%"
"2020-10-16",7318,"2020-10-27",83,93,6532,7446,11,"1.09%"
"2020-10-17",7401,"2020-10-27",83,93,6631,7446,10,"1.23%"
"2020-10-18",7475,"2020-10-28",83,94,6701,7478,10,"1.42%"
"2020-10-19",7573,"2020-10-30",84,95,6772,7651,11,"1.25%"
"2020-10-20",7666,"2020-10-31",86,96,6782,7745,11,"1.04%"
"2020-10-21",7771,"2020-11-01",86,97,6928,7854,11,"1.19%"
"2020-10-22",7881,"2020-11-02",88,97,6990,7986,11,".9%"
"2020-10-23",7972,"2020-11-02",88,97,7081,7986,10,".99%"
"2020-10-24",8074,"2020-11-04",90,100,7111,8157,11,".96%"
"2020-10-25",8165,"2020-11-05",93,100,7218,8301,11,".65%"
"2020-10-26",8247,"2020-11-05",93,100,7283,8301,10,".69%"
"2020-10-27",8327,"2020-11-06",93,101,7446,8411,10,".83%"
"2020-10-28",8424,"2020-11-07",94,101,7478,8503,10,".68%"
"2020-10-29",8519,"2020-11-08",95,101,7553,8587,10,".58%"
"2020-10-30",8618,"2020-11-09",95,104,7651,8741,10,".83%"
"2020-10-31",8711,"2020-11-09",96,104,7745,8741,9,".8%"
"2020-11-01",8816,"2020-11-10",97,105,7854,8854,9,".8%"
"2020-11-02",8895,"2020-11-11",97,105,7986,8985,9,".8%"
"2020-11-03",8955,"2020-11-11",99,105,8054,8985,8,".64%"
"2020-11-04",9053,"2020-11-12",100,105,8157,9088,8,".54%"
"2020-11-05",9135,"2020-11-13",100,105,8301,9175,8,".57%"
"2020-11-06",9236,"2020-11-14",101,108,8411,9261,8,".82%"
"2020-11-07",9320,"2020-11-15",101,108,8503,9364,8,".81%"
"2020-11-08",9459,"2020-11-16",101,108,8587,9481,8,".78%"
"2020-11-09",9516,"2020-11-17",104,108,8741,9597,8,".47%"
"2020-11-10",9574,"2020-11-17",105,108,8854,9597,7,".4%"
"2020-11-11",9674,"2020-11-18",105,111,8985,9735,7,".8%"
"2020-11-12",9753,"2020-11-19",105,113,9088,9815,7,"1.1%"
"2020-11-13",9837,"2020-11-20",105,115,9175,9851,7,"1.48%"
"2020-11-14",9884,"2020-11-21",108,116,9261,9910,7,"1.23%"
"2020-11-15",9962,"2020-11-22",108,116,9364,9998,7,"1.26%"
"2020-11-16",10010,"2020-11-23",108,118,9481,10093,7,"1.63%"
"2020-11-17",10107,"2020-11-24",108,118,9597,10171,7,"1.74%"
"2020-11-18",10174,"2020-11-25",111,118,9735,10235,7,"1.4%"
"2020-11-19",10237,"2020-11-26",113,118,9815,10287,7,"1.06%"
"2020-11-20",10285,"2020-11-26",115,118,9851,10287,6,".69%"
"2020-11-21",10342,"2020-11-27",116,120,9910,10343,6,".92%"
"2020-11-22",10403,"2020-11-29",116,122,9998,10414,7,"1.44%"
"2020-11-23",10472,"2020-12-01",118,124,10093,10495,8,"1.49%"
"2020-11-24",10573,"2020-12-28",118,124,10171,10586,34,"1.45%"
"2020-11-25",10610,"2020-12-29",118,125,10235,10617,34,"1.83%"
"2020-11-26",10679,"2020-12-31",118,126,10287,10682,35,"2.03%"
"2020-11-27",10713,"2021-01-02",120,126,10343,10722,36,"1.58%"
"2020-11-28",10758,"2021-01-04",120,126,10380,10770,37,"1.54%"
"2020-11-29",10793,"2021-01-05",122,126,10414,10795,37,"1.05%"
"2020-11-30",10823,"2021-01-07",122,126,10451,10836,38,"1.04%"
"2020-12-01",10880,"2021-01-10",124,126,10495,10882,40,".52%"
"2020-12-26",10903,"2021-01-11",124,126,10527,10904,16,".53%"
"2020-12-27",10928,"2021-01-13",124,126,10557,10932,17,".53%"
"2020-12-28",10944,"2021-01-15",124,127,10586,10957,18,".81%"
"2020-12-29",10959,"2021-01-16",125,128,10617,10978,18,".83%"
"2020-12-30",10983,"2021-01-17",125,128,10650,10990,18,".88%"
"2020-12-31",10989,"2021-01-17",126,128,10682,10990,17,".65%"
"2021-01-01",11004,"2021-01-19",126,128,10705,11020,18,".63%"
"2021-01-02",11017,"2021-01-19",126,128,10722,11020,17,".67%"
"2021-01-03",11031,"2021-01-20",126,128,10744,11034,17,".69%"
"2021-01-04",11053,"2021-01-22",126,128,10770,11054,18,".7%"
"2021-01-05",11068,"2021-01-23",126,128,10795,11068,18,".73%"
"2021-01-06",11086,"2021-01-25",126,128,10812,11092,19,".71%"
"2021-01-07",11111,"2021-01-28",126,128,10836,11116,21,".71%"
"2021-01-08",11121,"2021-01-29",126,128,10852,11123,21,".74%"
"2021-01-09",11138,"2021-01-31",126,128,10864,11145,22,".71%"
"2021-01-10",11146,"2021-02-01",126,128,10882,11153,22,".74%"
"2021-01-11",11151,"2021-02-01",126,128,10904,11153,21,".8%"
"2021-01-12",11162,"2021-02-02",126,128,10919,11162,21,".82%"
"2021-01-13",11166,"2021-02-03",126,128,10932,11168,21,".85%"
"2021-01-14",11196,"2021-02-07",126,128,10943,11204,24,".77%"
"2021-01-15",11204,"2021-02-07",127,128,10957,11204,23,".4%"
"2021-01-16",11215,"2021-02-09",128,128,10978,11219,24,"0.%"
"2021-01-17",11233,"2021-02-11",128,128,10990,11236,25,"0.%"
"2021-01-18",11242,"2021-02-12",128,128,11003,11243,25,"0.%"
