"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-18",543,"2020-07-27",9,9,388,579,9,"0.%"
"2020-07-19",553,"2020-07-27",9,9,397,579,8,"0.%"
"2020-07-20",599,"2020-07-28",9,9,417,624,8,"0.%"
"2020-07-21",641,"2020-07-29",9,9,430,653,8,"0.%"
"2020-07-22",676,"2020-07-31",9,10,441,696,9,".39%"
"2020-07-23",705,"2020-08-01",9,11,458,713,9,".78%"
"2020-07-24",720,"2020-08-02",9,11,480,779,9,".67%"
"2020-07-25",743,"2020-08-02",9,11,527,779,8,".79%"
"2020-07-26",807,"2020-08-03",9,11,537,845,8,".65%"
"2020-07-27",873,"2020-08-05",9,12,579,897,9,".94%"
"2020-07-28",894,"2020-08-05",9,12,624,897,8,"1.1%"
"2020-07-29",925,"2020-08-07",9,13,653,964,9,"1.29%"
"2020-07-30",951,"2020-08-07",9,13,674,964,8,"1.38%"
"2020-07-31",1015,"2020-08-09",10,15,696,1048,9,"1.42%"
"2020-08-01",1055,"2020-08-10",11,17,713,1098,9,"1.56%"
"2020-08-02",1095,"2020-08-10",11,17,779,1098,8,"1.88%"
"2020-08-03",1161,"2020-08-11",11,17,845,1174,8,"1.82%"
"2020-08-04",1230,"2020-08-12",12,20,866,1231,8,"2.19%"
"2020-08-05",1293,"2020-08-14",12,22,897,1379,9,"2.07%"
"2020-08-06",1378,"2020-08-14",13,22,922,1379,8,"1.97%"
"2020-08-07",1476,"2020-08-16",13,23,964,1533,9,"1.76%"
"2020-08-08",1560,"2020-08-17",15,25,1004,1595,9,"1.69%"
"2020-08-09",1642,"2020-08-18",15,26,1048,1724,9,"1.63%"
"2020-08-10",1686,"2020-08-18",17,26,1098,1724,8,"1.44%"
"2020-08-11",1813,"2020-08-19",17,26,1174,1813,8,"1.41%"
"2020-08-12",1912,"2020-08-21",20,29,1231,2015,9,"1.15%"
"2020-08-13",2011,"2020-08-21",22,29,1280,2015,8,".95%"
"2020-08-14",2101,"2020-08-22",22,30,1379,2116,8,"1.09%"
"2020-08-15",2203,"2020-08-23",23,31,1457,2204,8,"1.07%"
"2020-08-16",2301,"2020-08-25",23,31,1533,2382,9,".94%"
"2020-08-17",2393,"2020-08-26",25,32,1595,2476,9,".79%"
"2020-08-18",2498,"2020-08-27",26,34,1724,2548,9,".97%"
"2020-08-19",2576,"2020-08-28",26,36,1813,2581,9,"1.3%"
"2020-08-20",2631,"2020-08-30",27,37,1877,2745,10,"1.15%"
"2020-08-21",2662,"2020-08-30",29,37,2015,2745,9,"1.1%"
"2020-08-22",2758,"2020-08-31",30,41,2116,2901,9,"1.4%"
"2020-08-23",2866,"2020-08-31",31,41,2204,2901,8,"1.43%"
"2020-08-24",2957,"2020-09-01",31,41,2281,3030,8,"1.34%"
"2020-08-25",3080,"2020-09-02",31,42,2382,3183,8,"1.37%"
"2020-08-26",3249,"2020-09-04",32,45,2476,3383,9,"1.43%"
"2020-08-27",3309,"2020-09-04",34,45,2548,3383,8,"1.32%"
"2020-08-28",3449,"2020-09-05",36,45,2581,3531,8,".95%"
"2020-08-29",3563,"2020-09-06",37,46,2610,3682,8,".84%"
"2020-08-30",3707,"2020-09-07",37,48,2745,3826,8,"1.02%"
"2020-08-31",3890,"2020-09-08",41,51,2901,3932,8,".97%"
"2020-09-01",3982,"2020-09-09",41,55,3030,4036,8,"1.39%"
"2020-09-02",4052,"2020-09-10",42,55,3183,4121,8,"1.39%"
"2020-09-03",4151,"2020-09-11",44,62,3248,4258,8,"1.78%"
"2020-09-04",4249,"2020-09-11",45,62,3383,4258,7,"1.94%"
"2020-09-05",4361,"2020-09-12",45,63,3531,4389,7,"2.1%"
"2020-09-06",4478,"2020-09-13",46,64,3682,4506,7,"2.18%"
"2020-09-07",4624,"2020-09-14",48,67,3826,4650,7,"2.31%"
