"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-06-06",63,"2020-06-28",3,3,21,66,22,"0.%"
"2020-06-07",65,"2020-06-28",3,3,21,66,21,"0.%"
"2020-06-10",65,"2020-06-28",3,3,44,66,18,"0.%"
"2020-06-11",65,"2020-06-28",3,3,46,66,17,"0.%"
"2020-06-13",65,"2020-06-28",3,3,47,66,15,"0.%"
"2020-06-17",65,"2020-06-28",3,3,48,66,11,"0.%"
"2020-06-22",65,"2020-06-28",3,3,58,66,6,"0.%"
"2020-06-23",65,"2020-06-28",3,3,61,66,5,"0.%"
"2020-06-24",65,"2020-06-28",3,3,62,66,4,"0.%"
"2020-06-28",65,"2020-06-28",3,3,66,66,0,"-"
