"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-03-20",6657,"2021-03-20",46,46,6698,6698,0,"-"
"2021-03-21",6675,"2021-03-21",46,46,6702,6702,0,"-"
"2021-03-22",6684,"2021-03-22",46,46,6706,6706,0,"-"
"2021-03-23",6695,"2021-03-23",46,46,6711,6711,0,"-"
"2021-03-24",6706,"2021-03-24",46,46,6716,6716,0,"-"
"2021-03-25",6718,"2021-03-25",46,46,6721,6721,0,"-"
"2021-03-26",6735,"2021-03-28",46,46,6726,6740,2,"0.%"
"2021-03-27",6748,"2021-03-30",46,46,6732,6757,3,"0.%"
"2021-03-28",6765,"2021-03-31",46,46,6740,6766,3,"0.%"
"2021-03-29",6779,"2021-04-02",46,46,6747,6784,4,"0.%"
"2021-03-30",6780,"2021-04-02",46,46,6757,6784,3,"0.%"
"2021-03-31",6784,"2021-04-02",46,46,6766,6784,2,"0.%"
"2021-04-01",6806,"2021-04-05",46,46,6774,6815,4,"0.%"
"2021-04-02",6822,"2021-04-06",46,46,6784,6824,4,"0.%"
"2021-04-03",6835,"2021-04-07",46,46,6795,6838,4,"0.%"
"2021-04-04",6851,"2021-04-09",46,47,6804,6868,5,"1.56%"
"2021-04-05",6854,"2021-04-09",46,47,6815,6868,4,"1.89%"
"2021-04-06",6883,"2021-04-11",46,47,6824,6906,5,"1.22%"
"2021-04-07",6911,"2021-04-12",46,47,6838,6933,5,"1.05%"
"2021-04-08",6965,"2021-04-14",47,47,6849,7003,6,"0.%"
"2021-04-09",7027,"2021-04-16",47,47,6868,7064,7,"0.%"
"2021-04-10",7101,"2021-04-17",47,49,6877,7143,7,".75%"
"2021-04-11",7206,"2021-04-18",47,49,6906,7222,7,".63%"
"2021-04-12",7249,"2021-04-19",47,50,6933,7307,7,".8%"
"2021-04-13",7369,"2021-04-20",47,51,6964,7382,7,".96%"
"2021-04-14",7494,"2021-04-21",47,52,7003,7499,7,"1.01%"
"2021-04-15",7663,"2021-04-23",47,54,7019,7796,8,".9%"
"2021-04-16",7820,"2021-04-24",47,54,7064,7993,8,".75%"
"2021-04-17",8067,"2021-04-25",49,54,7143,8234,8,".46%"
"2021-04-18",8357,"2021-04-26",49,54,7222,8443,8,".41%"
"2021-04-19",8503,"2021-04-27",50,56,7307,8719,8,".42%"
"2021-04-20",8749,"2021-04-28",51,59,7382,9012,8,".49%"
"2021-04-21",9043,"2021-04-29",52,60,7499,9341,8,".43%"
"2021-04-22",9419,"2021-04-30",52,61,7637,9658,8,".45%"
"2021-04-23",9817,"2021-05-01",54,62,7796,9997,8,".36%"
"2021-04-24",10374,"2021-05-03",54,62,7993,10647,9,".3%"
"2021-04-25",10966,"2021-05-05",54,62,8234,11152,10,".27%"
"2021-04-26",11367,"2021-05-06",54,62,8443,11390,10,".27%"
"2021-04-27",11816,"2021-05-08",56,64,8719,11933,11,".25%"
"2021-04-28",12198,"2021-05-09",59,66,9012,12385,11,".21%"
"2021-04-29",12552,"2021-05-10",60,66,9341,12822,11,".17%"
"2021-04-30",12810,"2021-05-10",61,66,9658,12822,10,".16%"
"2021-05-01",13105,"2021-05-11",62,69,9997,13231,10,".22%"
"2021-05-02",13394,"2021-05-12",62,74,10358,13609,10,".37%"
"2021-05-03",13584,"2021-05-12",62,74,10647,13609,9,".41%"
"2021-05-04",13799,"2021-05-13",62,75,10909,14043,9,".41%"
"2021-05-05",14086,"2021-05-14",62,75,11152,14457,9,".39%"
"2021-05-06",14397,"2021-05-14",62,75,11390,14457,8,".42%"
"2021-05-07",14692,"2021-05-15",62,77,11653,14726,8,".49%"
"2021-05-08",14910,"2021-05-16",64,79,11933,14972,8,".49%"
"2021-05-09",15139,"2021-05-17",66,80,12385,15213,8,".5%"
"2021-05-10",15287,"2021-05-18",66,80,12822,15423,8,".54%"
"2021-05-11",15521,"2021-05-19",69,82,13231,15623,8,".54%"
"2021-05-12",15775,"2021-05-20",74,87,13609,15821,8,".59%"
"2021-05-13",15987,"2021-05-21",75,88,14043,16010,8,".66%"
"2021-05-14",16223,"2021-05-23",75,90,14457,16358,9,".79%"
"2021-05-15",16338,"2021-05-23",77,90,14726,16358,8,".8%"
"2021-05-16",16522,"2021-05-25",79,92,14972,16667,9,".77%"
"2021-05-17",16573,"2021-05-25",80,92,15213,16667,8,".83%"
"2021-05-18",16729,"2021-05-26",80,95,15423,16798,8,"1.09%"
"2021-05-19",16918,"2021-05-27",82,97,15623,16918,8,"1.16%"
"2021-05-20",17041,"2021-05-29",87,101,15821,17133,9,"1.07%"
"2021-05-21",17177,"2021-05-30",88,102,16010,17240,9,"1.14%"
"2021-05-22",17262,"2021-05-31",90,103,16191,17363,9,"1.11%"
"2021-05-23",17349,"2021-05-31",90,103,16358,17363,8,"1.29%"
"2021-05-24",17432,"2021-06-01",92,104,16521,17481,8,"1.25%"
"2021-05-25",17538,"2021-06-02",92,104,16667,17598,8,"1.29%"
"2021-05-26",17650,"2021-06-03",95,105,16798,17707,8,"1.1%"
"2021-05-27",17689,"2021-06-03",97,105,16918,17707,7,"1.01%"
"2021-05-28",17762,"2021-06-04",99,107,17028,17774,7,"1.07%"
"2021-05-29",17789,"2021-06-05",101,107,17133,17870,7,".81%"
"2021-05-30",17816,"2021-06-05",102,107,17240,17870,6,".79%"
"2021-05-31",17860,"2021-06-05",103,107,17363,17870,5,".79%"
"2021-06-01",17940,"2021-06-06",104,107,17481,17954,5,".63%"
"2021-06-02",17966,"2021-06-07",104,107,17598,18022,5,".71%"
"2021-06-03",17987,"2021-06-07",105,107,17707,18022,4,".63%"
"2021-06-04",18016,"2021-06-07",107,107,17774,18022,3,"0.%"
"2021-06-05",18033,"2021-06-08",107,107,17870,18093,3,"0.%"
"2021-06-06",18052,"2021-06-08",107,107,17954,18093,2,"0.%"
"2021-06-07",18100,"2021-06-09",107,107,18022,18150,2,"0.%"
"2021-06-08",18129,"2021-06-09",107,107,18093,18150,1,"0.%"
"2021-06-09",18171,"2021-06-10",107,108,18150,18176,1,"3.85%"
"2021-06-10",18181,"2021-06-11",108,108,18176,18202,1,"0.%"
"2021-06-11",18194,"2021-06-11",108,108,18202,18202,0,"-"
