"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-14",243344,"2020-08-29",34984,35473,230425,243435,46,"3.76%"
"2020-07-15",243506,"2020-08-29",34997,35473,231013,243697,45,"3.75%"
"2020-07-16",243736,"2020-08-30",35017,35477,231263,243997,45,"3.61%"
"2020-07-17",243967,"2020-08-30",35028,35477,231511,243997,44,"3.6%"
"2020-07-18",244216,"2020-09-04",35042,35518,231848,244545,48,"3.75%"
"2020-07-19",244434,"2020-09-04",35045,35518,231994,244545,47,"3.77%"
"2020-07-20",244624,"2020-09-05",35058,35534,232220,245144,47,"3.68%"
"2020-07-21",244752,"2020-09-05",35073,35534,232504,245144,46,"3.65%"
"2020-07-22",245032,"2020-09-05",35082,35534,232710,245144,45,"3.64%"
"2020-07-23",245338,"2020-09-06",35092,35541,232934,245556,45,"3.56%"
"2020-07-24",245590,"2020-09-07",35097,35553,233289,245791,45,"3.65%"
"2020-07-25",245864,"2020-09-08",35102,35563,233422,246364,45,"3.56%"
"2020-07-26",246118,"2020-09-08",35107,35563,233553,246364,44,"3.56%"
"2020-07-27",246286,"2020-09-08",35112,35563,233705,246364,43,"3.56%"
"2020-07-28",246488,"2020-09-09",35123,35577,233879,246849,43,"3.5%"
"2020-07-29",246776,"2020-09-09",35129,35577,234160,246849,42,"3.53%"
"2020-07-30",247158,"2020-09-10",35132,35587,234928,247472,42,"3.63%"
"2020-07-31",247537,"2020-09-11",35141,35597,235115,248029,42,"3.53%"
"2020-08-01",247832,"2020-09-11",35146,35597,235375,248029,41,"3.56%"
"2020-08-02",248070,"2020-09-12",35154,35603,235614,248794,41,"3.41%"
"2020-08-03",248229,"2020-09-12",35166,35603,235755,248794,40,"3.35%"
"2020-08-04",248419,"2020-09-12",35171,35603,235937,248794,39,"3.36%"
"2020-08-05",248803,"2020-09-13",35181,35610,236157,249244,39,"3.28%"
"2020-08-06",249204,"2020-09-13",35187,35610,236510,249244,38,"3.32%"
"2020-08-07",249756,"2020-09-15",35190,35633,236832,250278,39,"3.29%"
"2020-08-08",250103,"2020-09-15",35203,35633,237150,250278,38,"3.28%"
"2020-08-09",250566,"2020-09-16",35205,35645,237303,250910,38,"3.23%"
"2020-08-10",250825,"2020-09-16",35209,35645,237457,250910,37,"3.24%"
"2020-08-11",251237,"2020-09-17",35215,35658,237676,251612,37,"3.18%"
"2020-08-12",251713,"2020-09-18",35225,35668,237922,252475,37,"3.04%"
"2020-08-13",252235,"2020-09-18",35231,35668,238154,252475,36,"3.05%"
"2020-08-14",252809,"2020-09-19",35234,35692,238560,253408,36,"3.08%"
"2020-08-15",253438,"2020-09-20",35392,35707,239032,254058,36,"2.1%"
"2020-08-16",253915,"2020-09-20",35396,35707,239182,254058,35,"2.09%"
"2020-08-17",254235,"2020-09-21",35400,35724,239368,254427,35,"2.15%"
"2020-08-18",254636,"2020-09-22",35405,35738,239547,255408,35,"2.1%"
"2020-08-19",255278,"2020-09-22",35412,35738,239918,255408,34,"2.1%"
"2020-08-20",256118,"2020-09-23",35418,35758,240104,256423,34,"2.08%"
"2020-08-21",257065,"2020-09-24",35427,35781,240387,257543,34,"2.06%"
"2020-08-22",258136,"2020-09-25",35430,35801,240633,258517,34,"2.07%"
"2020-08-23",259345,"2020-09-26",35437,35818,240907,259511,34,"2.05%"
"2020-08-24",260298,"2020-09-28",35441,35851,241103,261041,35,"2.06%"
"2020-08-25",261174,"2020-09-29",35445,35875,241460,262381,35,"2.06%"
"2020-08-26",262540,"2020-09-30",35458,35894,241787,263598,35,"2.%"
"2020-08-27",263949,"2020-10-01",35463,35918,242017,264762,35,"2.%"
"2020-08-28",265409,"2020-10-02",35472,35941,242374,265911,35,"1.99%"
"2020-08-29",266853,"2020-10-03",35473,35968,243697,267185,35,"2.11%"
"2020-08-30",268218,"2020-10-05",35477,36002,244013,268683,36,"2.13%"
"2020-08-31",269214,"2020-10-06",35483,36030,243136,270129,36,"2.03%"
"2020-09-01",270189,"2020-10-07",35491,36061,243435,271364,36,"2.04%"
"2020-09-02",271515,"2020-10-08",35497,36083,243698,272446,36,"2.04%"
"2020-09-03",272912,"2020-10-09",35507,36111,243997,273660,36,"2.04%"
"2020-09-04",274644,"2020-10-10",35518,36140,244545,274665,36,"2.07%"
"2020-09-05",276338,"2020-10-12",35534,36205,245144,276805,37,"2.12%"
"2020-09-06",277634,"2020-10-13",35541,36246,245556,278274,37,"2.15%"
"2020-09-07",278784,"2020-10-14",35553,36289,245791,280354,37,"2.13%"
"2020-09-08",280153,"2020-10-14",35563,36289,246364,280354,36,"2.14%"
"2020-09-09",281583,"2020-10-15",35577,36372,246849,282336,36,"2.24%"
"2020-09-10",283180,"2020-10-16",35587,36427,247472,284299,36,"2.28%"
"2020-09-11",284796,"2020-10-17",35597,36474,248029,285601,36,"2.33%"
"2020-09-12",286297,"2020-10-18",35603,36543,248794,288004,36,"2.4%"
"2020-09-13",287753,"2020-10-18",35610,36543,249244,288004,35,"2.41%"
"2020-09-14",288761,"2020-10-19",35624,36616,249574,289575,35,"2.48%"
"2020-09-15",289990,"2020-10-20",35633,36705,250278,291710,35,"2.59%"
"2020-09-16",291442,"2020-10-20",35645,36705,250910,291710,34,"2.6%"
"2020-09-17",293025,"2020-10-21",35658,36832,251612,294206,34,"2.76%"
"2020-09-18",294932,"2020-10-22",35668,36968,252475,296424,34,"2.96%"
"2020-09-19",296569,"2020-10-23",35692,37059,253408,298867,34,"3.01%"
"2020-09-20",298156,"2020-10-23",35707,37059,254058,298867,33,"3.02%"
"2020-09-21",299506,"2020-10-24",35724,37210,254427,301327,33,"3.17%"
"2020-09-22",300897,"2020-10-24",35738,37210,255408,301327,32,"3.21%"
"2020-09-23",302537,"2020-10-25",35758,37338,256423,303541,32,"3.35%"
"2020-09-24",304323,"2020-10-26",35781,37479,257543,306105,32,"3.5%"
"2020-09-25",306235,"2020-10-27",35801,37700,258517,309688,32,"3.71%"
"2020-09-26",308104,"2020-10-27",35818,37700,259511,309688,31,"3.75%"
"2020-09-27",309870,"2020-10-28",35835,37905,260252,313309,31,"3.9%"
"2020-09-28",311364,"2020-10-28",35851,37905,261041,313309,30,"3.93%"
"2020-09-29",313011,"2020-10-28",35875,37905,262381,313309,29,"3.99%"
"2020-09-30",314861,"2020-10-29",35894,38122,263598,317404,29,"4.14%"
"2020-10-01",317409,"2020-10-30",35918,38321,264762,321888,29,"4.21%"
"2020-10-02",319908,"2020-10-30",35941,38321,265911,321888,28,"4.25%"
"2020-10-03",322751,"2020-10-31",35968,38618,267185,328044,28,"4.35%"
"2020-10-04",325329,"2020-10-31",35986,38618,267900,328044,27,"4.38%"
"2020-10-05",327586,"2020-10-31",36002,38618,268683,328044,26,"4.41%"
"2020-10-06",330263,"2020-11-01",36030,38826,270129,331206,26,"4.58%"
"2020-10-07",333940,"2020-11-02",36061,39059,271364,335076,26,"4.71%"
"2020-10-08",338398,"2020-11-03",36083,39412,272446,341687,26,"4.81%"
"2020-10-09",343770,"2020-11-04",36111,39764,273660,347142,26,"4.97%"
"2020-10-10",349494,"2020-11-05",36140,40192,274665,352531,26,"5.2%"
"2020-10-11",354950,"2020-11-06",36166,40638,275875,363563,26,"5.1%"
"2020-10-12",359569,"2020-11-06",36205,40638,276805,363563,25,"5.11%"
"2020-10-13",365467,"2020-11-07",36246,41063,278274,369954,25,"5.25%"
"2020-10-14",372799,"2020-11-08",36289,41394,280354,376468,25,"5.31%"
"2020-10-15",381602,"2020-11-09",36372,41750,282336,387039,25,"5.14%"
"2020-10-16",391611,"2020-11-10",36427,42330,284299,405353,25,"4.88%"
"2020-10-17",402536,"2020-11-10",36474,42330,285601,405353,24,"4.89%"
"2020-10-18",414241,"2020-11-11",36543,42953,288004,415066,24,"5.04%"
"2020-10-19",423578,"2020-11-12",36616,43589,289575,431347,24,"4.92%"
"2020-10-20",434449,"2020-11-13",36705,44139,291710,443377,24,"4.9%"
"2020-10-21",449648,"2020-11-14",36832,44683,294206,456117,24,"4.85%"
"2020-10-22",465726,"2020-11-15",36968,45229,296424,466039,24,"4.87%"
