"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-04-30",1479,"2020-05-25",19,21,1271,1482,25,".95%"
"2020-05-01",1485,"2020-05-27",20,22,1283,1496,26,".94%"
"2020-05-02",1487,"2020-05-27",20,22,1286,1496,25,".95%"
"2020-05-03",1487,"2020-05-27",20,22,1296,1496,24,"1.%"
"2020-05-04",1486,"2020-05-27",20,22,1322,1496,23,"1.15%"
"2020-05-05",1488,"2020-05-27",21,22,1337,1496,22,".63%"
"2020-05-06",1489,"2020-05-27",21,22,1353,1496,21,".7%"
"2020-05-07",1490,"2020-05-27",21,22,1368,1496,20,".78%"
"2020-05-08",1492,"2020-05-27",21,22,1389,1496,19,".93%"
"2020-05-09",1494,"2020-05-27",21,22,1392,1496,18,".96%"
"2020-05-10",1497,"2020-05-28",21,22,1407,1503,18,"1.04%"
"2020-05-11",1497,"2020-05-28",21,22,1419,1503,17,"1.19%"
"2020-05-12",1497,"2020-05-28",21,22,1423,1503,16,"1.25%"
"2020-05-13",1497,"2020-05-28",21,22,1432,1503,15,"1.41%"
"2020-05-14",1498,"2020-05-28",21,22,1442,1503,14,"1.64%"
"2020-05-15",1498,"2020-05-28",21,22,1449,1503,13,"1.85%"
"2020-05-16",1499,"2020-05-28",21,22,1454,1503,12,"2.04%"
"2020-05-17",1499,"2020-05-28",21,22,1454,1503,11,"2.04%"
"2020-05-18",1499,"2020-05-28",21,22,1454,1503,10,"2.04%"
"2020-05-19",1503,"2020-05-28",21,22,1468,1503,9,"2.86%"
"2020-05-20",1503,"2020-05-28",21,22,1473,1503,8,"3.33%"
"2020-05-21",1504,"2020-06-07",21,22,1476,1504,17,"3.57%"
"2020-05-22",1504,"2020-06-07",21,22,1476,1504,16,"3.57%"
"2020-05-23",1504,"2020-06-07",21,22,1477,1504,15,"3.7%"
"2020-05-24",1504,"2020-06-07",21,22,1477,1504,14,"3.7%"
"2020-05-25",1504,"2020-06-07",21,22,1482,1504,13,"4.55%"
"2020-05-26",1504,"2020-06-07",21,22,1483,1504,12,"4.76%"
"2020-05-27",1504,"2020-06-07",22,22,1496,1504,11,"0.%"
"2020-05-28",1504,"2020-06-07",22,22,1503,1504,10,"0.%"
"2020-05-29",1504,"2020-06-07",22,22,1503,1504,9,"0.%"
"2020-05-30",1504,"2020-06-07",22,22,1503,1504,8,"0.%"
"2020-05-31",1504,"2020-06-07",22,22,1503,1504,7,"0.%"
"2020-06-01",1504,"2020-06-07",22,22,1503,1504,6,"0.%"
"2020-06-02",1504,"2020-06-07",22,22,1503,1504,5,"0.%"
"2020-06-03",1504,"2020-06-07",22,22,1503,1504,4,"0.%"
"2020-06-04",1504,"2020-06-07",22,22,1503,1504,3,"0.%"
"2020-06-05",1504,"2020-06-07",22,22,1503,1504,2,"0.%"
"2020-06-06",1504,"2020-06-07",22,22,1503,1504,1,"0.%"
"2020-06-07",1504,"2020-06-07",22,22,1504,1504,0,"-"
"2020-06-08",1504,"2020-06-08",22,22,1504,1504,0,"-"
"2020-06-09",1504,"2020-06-09",22,22,1504,1504,0,"-"
"2020-06-10",1504,"2020-06-10",22,22,1504,1504,0,"-"
"2020-06-11",1504,"2020-06-11",22,22,1504,1504,0,"-"
"2020-06-12",1504,"2020-06-12",22,22,1504,1504,0,"-"
"2020-06-13",1504,"2020-06-13",22,22,1504,1504,0,"-"
"2020-06-14",1504,"2020-06-14",22,22,1504,1504,0,"-"
"2020-06-15",1506,"2020-06-24",22,22,1504,1506,9,"0.%"
"2020-06-16",1506,"2020-06-24",22,22,1504,1506,8,"0.%"
"2020-06-17",1507,"2020-07-01",22,22,1504,1512,14,"0.%"
"2020-06-18",1507,"2020-07-01",22,22,1504,1512,13,"0.%"
"2020-06-19",1509,"2020-07-01",22,22,1504,1512,12,"0.%"
"2020-06-20",1511,"2020-07-01",22,22,1504,1512,11,"0.%"
"2020-06-21",1513,"2020-07-06",22,22,1504,1514,15,"0.%"
"2020-06-22",1515,"2020-07-08",22,22,1505,1516,16,"0.%"
"2020-06-23",1516,"2020-07-08",22,22,1505,1516,15,"0.%"
"2020-06-24",1519,"2020-07-09",22,22,1506,1519,15,"0.%"
"2020-06-25",1520,"2020-07-13",22,22,1506,1520,18,"0.%"
"2020-06-26",1522,"2020-07-16",22,22,1506,1528,20,"0.%"
