"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-06-22",591465,"2020-07-23",8196,12873,352043,592168,31,"1.95%"
"2020-06-23",598878,"2020-07-24",8349,13026,364196,600754,31,"1.98%"
"2020-06-24",606043,"2020-07-25",8503,13172,376725,609236,31,"2.01%"
"2020-06-25",613148,"2020-07-27",8594,13334,383151,615583,32,"2.04%"
"2020-06-26",619936,"2020-07-28",8770,13483,392294,624592,32,"2.03%"
"2020-06-27",626779,"2020-07-29",8958,13650,401661,632854,32,"2.03%"
"2020-06-28",633563,"2020-07-30",9060,13778,407496,642260,32,"2.01%"
"2020-06-29",640246,"2020-07-30",9152,13778,411930,642260,31,"2.01%"
"2020-06-30",646929,"2020-07-31",9306,13939,421279,651156,31,"2.02%"
"2020-07-01",653479,"2020-08-01",9521,14034,431756,659350,31,"1.98%"
"2020-07-02",660231,"2020-08-02",9668,14104,437944,663065,31,"1.97%"
"2020-07-03",666941,"2020-08-04",9844,14327,446999,674562,32,"1.97%"
"2020-07-04",673564,"2020-08-04",10011,14327,456138,674562,31,"1.98%"
"2020-07-05",680283,"2020-08-05",10145,14465,460140,682234,31,"1.95%"
"2020-07-06",686852,"2020-08-06",10280,14579,463850,689648,31,"1.9%"
"2020-07-07",693215,"2020-08-07",10478,14698,473581,696976,31,"1.89%"
"2020-07-08",699749,"2020-08-08",10650,14827,482368,703683,31,"1.89%"
"2020-07-09",706240,"2020-08-09",10826,14903,491320,706962,31,"1.89%"
"2020-07-10",712863,"2020-08-11",11000,15103,499234,716899,32,"1.89%"
"2020-07-11",719449,"2020-08-12",11188,15231,507782,724131,32,"1.87%"
"2020-07-12",726036,"2020-08-13",11318,15353,511526,730287,32,"1.84%"
"2020-07-13",732547,"2020-08-14",11422,15467,514590,736940,32,"1.82%"
"2020-07-14",738787,"2020-08-15",11597,15585,523555,743480,32,"1.81%"
"2020-07-15",745197,"2020-08-16",11753,15653,534128,747097,32,"1.83%"
"2020-07-16",751612,"2020-08-18",11920,15836,542721,756881,33,"1.83%"
"2020-07-17",758001,"2020-08-19",12106,15951,550573,763753,33,"1.8%"
"2020-07-18",764215,"2020-08-20",12228,16058,558137,769926,33,"1.81%"
"2020-07-19",770311,"2020-08-21",12323,16148,561710,775787,33,"1.79%"
"2020-07-20",776212,"2020-08-22",12408,16268,565052,782022,33,"1.78%"
"2020-07-21",782040,"2020-08-23",12561,16341,573958,785247,33,"1.79%"
"2020-07-22",787890,"2020-08-25",12726,16524,583775,794484,34,"1.8%"
"2020-07-23",793720,"2020-08-25",12873,16524,592168,794484,33,"1.8%"
"2020-07-24",799499,"2020-08-26",13026,16638,600754,800915,33,"1.8%"
"2020-07-25",805332,"2020-08-27",13172,16758,609236,807387,33,"1.81%"
"2020-07-26",811073,"2020-08-28",13249,16866,612421,813364,33,"1.8%"
"2020-07-27",816680,"2020-08-29",13334,16977,615583,819342,33,"1.79%"
"2020-07-28",822060,"2020-08-31",13483,17128,624592,824467,34,"1.82%"
"2020-07-29",827509,"2020-09-01",13650,17250,632854,830853,34,"1.82%"
"2020-07-30",832993,"2020-09-02",13778,17365,642260,836408,34,"1.85%"
"2020-07-31",838461,"2020-09-03",13939,17479,651156,842262,34,"1.85%"
"2020-08-01",843890,"2020-09-04",14034,17598,659350,848130,34,"1.89%"
"2020-08-02",849277,"2020-09-05",14104,17707,663065,853591,34,"1.89%"
"2020-08-03",854641,"2020-09-06",14183,17768,666555,856448,34,"1.89%"
"2020-08-04",859762,"2020-09-08",14327,17939,674562,865685,35,"1.89%"
"2020-08-05",864948,"2020-09-08",14465,17939,682234,865685,34,"1.89%"
"2020-08-06",870187,"2020-09-09",14579,18080,689648,872149,34,"1.92%"
"2020-08-07",875378,"2020-09-10",14698,18207,696976,878168,34,"1.94%"
"2020-08-08",880563,"2020-09-11",14827,18309,703683,883955,34,"1.93%"
"2020-08-09",885718,"2020-09-12",14903,18426,706962,889426,34,"1.93%"
"2020-08-10",890799,"2020-09-13",14973,18517,710290,892201,34,"1.95%"
"2020-08-11",895691,"2020-09-15",15103,18723,716899,900416,35,"1.97%"
"2020-08-12",900745,"2020-09-16",15231,18853,724131,906310,35,"1.99%"
"2020-08-13",905762,"2020-09-16",15353,18853,730287,906310,34,"1.99%"
"2020-08-14",910778,"2020-09-17",15467,18996,736940,912141,34,"2.01%"
"2020-08-15",915808,"2020-09-18",15585,19128,743480,917548,34,"2.04%"
"2020-08-16",920719,"2020-09-19",15653,19270,747097,922815,34,"2.06%"
"2020-08-17",925558,"2020-09-20",15707,19349,750280,925780,34,"2.08%"
"2020-08-18",930276,"2020-09-22",15836,19575,756881,934498,35,"2.11%"
"2020-08-19",935066,"2020-09-23",15951,19720,763753,940322,35,"2.13%"
"2020-08-20",939833,"2020-09-23",16058,19720,769926,940322,34,"2.15%"
"2020-08-21",944671,"2020-09-24",16148,19867,775787,946530,34,"2.18%"
"2020-08-22",949531,"2020-09-25",16268,19973,782022,950928,34,"2.19%"
"2020-08-23",954328,"2020-09-26",16341,20140,785247,957021,34,"2.21%"
"2020-08-24",959016,"2020-09-27",16406,20239,787763,960160,34,"2.22%"
"2020-08-25",963655,"2020-09-29",16524,20456,794484,969441,35,"2.25%"
"2020-08-26",968297,"2020-09-29",16638,20456,800915,969441,34,"2.27%"
"2020-08-27",972972,"2020-09-30",16758,20630,807387,975418,34,"2.3%"
"2020-08-28",977730,"2020-10-01",16866,20796,813364,981525,34,"2.34%"
"2020-08-29",982573,"2020-10-02",16977,20981,819342,987705,34,"2.38%"
"2020-08-30",987470,"2020-10-02",17045,20981,821986,987705,33,"2.38%"
"2020-08-31",992402,"2020-10-03",17128,21153,824467,993402,33,"2.38%"
"2020-09-01",997072,"2020-10-05",17250,21375,830853,999985,34,"2.44%"
"2020-09-02",1001965,"2020-10-06",17365,21559,836408,1006326,34,"2.47%"
"2020-09-03",1006923,"2020-10-07",17479,21755,842262,1013032,34,"2.5%"
"2020-09-04",1011987,"2020-10-07",17598,21755,848130,1013032,33,"2.52%"
"2020-09-05",1017131,"2020-10-08",17707,21939,853591,1020136,33,"2.54%"
"2020-09-06",1022228,"2020-10-09",17768,22137,856448,1027336,33,"2.56%"
"2020-09-07",1027334,"2020-10-09",17818,22137,858815,1027336,32,"2.56%"
"2020-09-08",1032354,"2020-10-10",17939,22331,865685,1034242,32,"2.61%"
"2020-09-09",1037526,"2020-10-11",18080,22471,872149,1038591,32,"2.64%"
"2020-09-10",1042836,"2020-10-13",18207,22834,878168,1050182,33,"2.69%"
"2020-09-11",1048257,"2020-10-13",18309,22834,883955,1050182,32,"2.72%"
"2020-09-12",1053663,"2020-10-14",18426,23069,889426,1058210,32,"2.75%"
