"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-06-27",195883,"2020-07-10",5082,5323,174264,197206,13,"1.05%"
"2020-06-28",197239,"2020-07-11",5097,5344,175692,198561,13,"1.08%"
"2020-06-29",198613,"2020-07-12",5115,5363,176924,199878,13,"1.08%"
"2020-06-30",199906,"2020-07-13",5131,5382,178242,201053,13,"1.1%"
"2020-07-01",201098,"2020-07-14",5150,5402,180572,202122,13,"1.17%"
"2020-07-02",202284,"2020-07-15",5167,5419,182132,203152,13,"1.2%"
"2020-07-03",203456,"2020-07-16",5186,5440,183464,204260,13,"1.22%"
"2020-07-04",204610,"2020-07-17",5206,5458,184698,205292,13,"1.22%"
"2020-07-05",205758,"2020-07-18",5225,5475,185905,206488,13,"1.21%"
"2020-07-06",206844,"2020-07-19",5241,5491,188236,207501,13,"1.3%"
"2020-07-07",207897,"2020-07-20",5260,5508,190552,208510,13,"1.38%"
"2020-07-08",208938,"2020-07-21",5282,5526,192793,209537,13,"1.46%"
"2020-07-09",209962,"2020-07-22",5300,5545,195690,210759,13,"1.63%"
"2020-07-10",210965,"2020-07-23",5323,5563,197206,211928,13,"1.63%"
"2020-07-11",211981,"2020-07-24",5344,5580,198561,212954,13,"1.64%"
"2020-07-12",212993,"2020-07-25",5363,5596,199878,214073,13,"1.64%"
"2020-07-13",214001,"2020-07-25",5382,5596,201053,214073,12,"1.64%"
"2020-07-14",214993,"2020-07-26",5402,5613,202122,215100,12,"1.63%"
"2020-07-15",215940,"2020-07-27",5419,5630,203152,216099,12,"1.63%"
"2020-07-16",216873,"2020-07-28",5440,5645,204260,217206,12,"1.58%"
"2020-07-17",217799,"2020-07-29",5458,5659,205292,218216,12,"1.56%"
"2020-07-18",218717,"2020-07-30",5475,5674,206488,219213,12,"1.56%"
"2020-07-19",219641,"2020-07-31",5491,5691,207501,220226,12,"1.57%"
"2020-07-20",220572,"2020-08-01",5508,5710,208510,221226,12,"1.59%"
"2020-07-21",221500,"2020-08-02",5526,5728,209537,222222,12,"1.59%"
"2020-07-22",222402,"2020-08-03",5545,5747,210759,223244,12,"1.62%"
"2020-07-23",223315,"2020-08-04",5563,5765,211928,224256,12,"1.64%"
"2020-07-24",224252,"2020-08-04",5580,5765,212954,224256,11,"1.64%"
"2020-07-25",225173,"2020-08-05",5596,5784,214073,225290,11,"1.68%"
"2020-07-26",226100,"2020-08-06",5613,5798,215100,226344,11,"1.65%"
"2020-07-27",227019,"2020-08-07",5630,5813,216099,227387,11,"1.62%"
"2020-07-28",227982,"2020-08-08",5645,5829,217206,228485,11,"1.63%"
"2020-07-29",228924,"2020-08-09",5659,5844,218216,229603,11,"1.62%"
"2020-07-30",229891,"2020-08-10",5674,5858,219213,230828,11,"1.58%"
"2020-07-31",230873,"2020-08-11",5691,5873,220226,232028,11,"1.54%"
"2020-08-01",231869,"2020-08-11",5710,5873,221226,232028,10,"1.51%"
"2020-08-02",232856,"2020-08-12",5728,5891,222222,232980,10,"1.52%"
"2020-08-03",233851,"2020-08-13",5747,5912,223244,233969,10,"1.54%"
"2020-08-04",234934,"2020-08-15",5765,5955,224256,235927,11,"1.63%"
"2020-08-05",236112,"2020-08-16",5784,5974,225290,236943,11,"1.63%"
"2020-08-06",237265,"2020-08-17",5798,5996,226344,237967,11,"1.7%"
"2020-08-07",238450,"2020-08-18",5813,6016,227387,238929,11,"1.76%"
"2020-08-08",239622,"2020-08-19",5829,6039,228485,239954,11,"1.83%"
"2020-08-09",240804,"2020-08-20",5844,6058,229603,240855,11,"1.9%"
"2020-08-10",241997,"2020-08-22",5858,6102,230828,242472,12,"2.1%"
"2020-08-11",243180,"2020-08-23",5873,6121,232028,243286,12,"2.2%"
"2020-08-12",244392,"2020-08-25",5891,6163,232980,244958,13,"2.27%"
"2020-08-13",245635,"2020-08-26",5912,6183,233969,245980,13,"2.26%"
"2020-08-14",246861,"2020-08-27",5934,6209,234914,247001,13,"2.28%"
"2020-08-15",248117,"2020-08-29",5955,6284,235927,249096,14,"2.5%"
"2020-08-16",249309,"2020-08-30",5974,6326,236943,250165,14,"2.66%"
"2020-08-17",250542,"2020-08-31",5996,6370,237967,251296,14,"2.81%"
"2020-08-18",251805,"2020-09-01",6016,6417,238929,252346,14,"2.99%"
"2020-08-19",253108,"2020-09-02",6039,6462,239954,253338,14,"3.16%"
"2020-08-20",254520,"2020-09-03",6058,6511,240855,254598,14,"3.3%"
"2020-08-21",255723,"2020-09-05",6080,6620,241649,256712,15,"3.58%"
"2020-08-22",257032,"2020-09-06",6102,6673,242472,257778,15,"3.73%"
"2020-08-23",258249,"2020-09-07",6121,6730,243286,258882,15,"3.9%"
"2020-08-24",259692,"2020-09-08",6139,6782,244047,260027,15,"4.02%"
"2020-08-25",261194,"2020-09-10",6163,6895,244958,262302,16,"4.22%"
"2020-08-26",262507,"2020-09-11",6183,6951,245980,263475,16,"4.39%"
"2020-08-27",263998,"2020-09-12",6209,6999,247001,264730,16,"4.46%"
"2020-08-28",265515,"2020-09-13",6245,7056,248054,265889,16,"4.55%"
"2020-08-29",267064,"2020-09-14",6284,7119,249096,267177,16,"4.62%"
"2020-08-30",268546,"2020-09-16",6326,7249,250165,269851,17,"4.69%"
"2020-08-31",270133,"2020-09-17",6370,7315,251296,271060,17,"4.78%"
"2020-09-01",271705,"2020-09-18",6417,7377,252346,272182,17,"4.84%"
"2020-09-02",273301,"2020-09-19",6462,7445,253338,273562,17,"4.86%"
"2020-09-03",274943,"2020-09-21",6511,7574,254598,276009,18,"4.96%"
"2020-09-04",276555,"2020-09-22",6564,7639,255672,277335,18,"4.96%"
"2020-09-05",278228,"2020-09-23",6620,7711,256712,278434,18,"5.02%"
